,0,player
MIN,583.0,Data/espn_player_stats\ajare-sanni.csv
FG%,735.0,Data/espn_player_stats\ajare-sanni.csv
3P%,629.5999999999999,Data/espn_player_stats\ajare-sanni.csv
FT%,1489.7,Data/espn_player_stats\ajare-sanni.csv
REB,59.0,Data/espn_player_stats\ajare-sanni.csv
AST,64.0,Data/espn_player_stats\ajare-sanni.csv
BLK,0.0,Data/espn_player_stats\ajare-sanni.csv
STL,23.0,Data/espn_player_stats\ajare-sanni.csv
PF,41.0,Data/espn_player_stats\ajare-sanni.csv
TO,31.0,Data/espn_player_stats\ajare-sanni.csv
PTS,224.0,Data/espn_player_stats\ajare-sanni.csv
Player,ajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanniajare-sanni,Data/espn_player_stats\ajare-sanni.csv
MIN,866.0,Data/espn_player_stats\ajay-mitchell.csv
FG%,1380.8,Data/espn_player_stats\ajay-mitchell.csv
3P%,683.4000000000001,Data/espn_player_stats\ajay-mitchell.csv
FT%,1755.1,Data/espn_player_stats\ajay-mitchell.csv
REB,60.0,Data/espn_player_stats\ajay-mitchell.csv
AST,101.0,Data/espn_player_stats\ajay-mitchell.csv
BLK,6.0,Data/espn_player_stats\ajay-mitchell.csv
STL,22.0,Data/espn_player_stats\ajay-mitchell.csv
PF,79.0,Data/espn_player_stats\ajay-mitchell.csv
TO,48.0,Data/espn_player_stats\ajay-mitchell.csv
PTS,312.0,Data/espn_player_stats\ajay-mitchell.csv
Player,ajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchellajay-mitchell,Data/espn_player_stats\ajay-mitchell.csv
MIN,832.0,Data/espn_player_stats\amadou-sow.csv
FG%,1601.9,Data/espn_player_stats\amadou-sow.csv
3P%,758.3,Data/espn_player_stats\amadou-sow.csv
FT%,1692.6000000000001,Data/espn_player_stats\amadou-sow.csv
REB,235.0,Data/espn_player_stats\amadou-sow.csv
AST,20.0,Data/espn_player_stats\amadou-sow.csv
BLK,23.0,Data/espn_player_stats\amadou-sow.csv
STL,21.0,Data/espn_player_stats\amadou-sow.csv
PF,69.0,Data/espn_player_stats\amadou-sow.csv
TO,55.0,Data/espn_player_stats\amadou-sow.csv
PTS,438.0,Data/espn_player_stats\amadou-sow.csv
Player,amadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sowamadou-sow,Data/espn_player_stats\amadou-sow.csv
MIN,38.0,Data/espn_player_stats\ariel-bland.csv
FG%,200.0,Data/espn_player_stats\ariel-bland.csv
3P%,0.0,Data/espn_player_stats\ariel-bland.csv
FT%,0.0,Data/espn_player_stats\ariel-bland.csv
REB,9.0,Data/espn_player_stats\ariel-bland.csv
AST,2.0,Data/espn_player_stats\ariel-bland.csv
BLK,2.0,Data/espn_player_stats\ariel-bland.csv
STL,0.0,Data/espn_player_stats\ariel-bland.csv
PF,4.0,Data/espn_player_stats\ariel-bland.csv
TO,2.0,Data/espn_player_stats\ariel-bland.csv
PTS,10.0,Data/espn_player_stats\ariel-bland.csv
Player,ariel-blandariel-blandariel-blandariel-blandariel-blandariel-blandariel-blandariel-bland,Data/espn_player_stats\ariel-bland.csv
MIN,714.0,Data/espn_player_stats\calvin-wishart.csv
FG%,1045.2,Data/espn_player_stats\calvin-wishart.csv
3P%,756.7,Data/espn_player_stats\calvin-wishart.csv
FT%,1296.7,Data/espn_player_stats\calvin-wishart.csv
REB,75.0,Data/espn_player_stats\calvin-wishart.csv
AST,72.0,Data/espn_player_stats\calvin-wishart.csv
BLK,4.0,Data/espn_player_stats\calvin-wishart.csv
STL,30.0,Data/espn_player_stats\calvin-wishart.csv
PF,60.0,Data/espn_player_stats\calvin-wishart.csv
TO,42.0,Data/espn_player_stats\calvin-wishart.csv
PTS,182.0,Data/espn_player_stats\calvin-wishart.csv
Player,calvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishartcalvin-wishart,Data/espn_player_stats\calvin-wishart.csv
MIN,283.0,Data/espn_player_stats\cole-anderson.csv
FG%,1002.7,Data/espn_player_stats\cole-anderson.csv
3P%,845.3,Data/espn_player_stats\cole-anderson.csv
FT%,450.0,Data/espn_player_stats\cole-anderson.csv
REB,19.0,Data/espn_player_stats\cole-anderson.csv
AST,9.0,Data/espn_player_stats\cole-anderson.csv
BLK,0.0,Data/espn_player_stats\cole-anderson.csv
STL,6.0,Data/espn_player_stats\cole-anderson.csv
PF,22.0,Data/espn_player_stats\cole-anderson.csv
TO,6.0,Data/espn_player_stats\cole-anderson.csv
PTS,111.0,Data/espn_player_stats\cole-anderson.csv
Player,cole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-andersoncole-anderson,Data/espn_player_stats\cole-anderson.csv
MIN,3.0,Data/espn_player_stats\david-pickles.csv
FG%,50.0,Data/espn_player_stats\david-pickles.csv
3P%,0.0,Data/espn_player_stats\david-pickles.csv
FT%,0.0,Data/espn_player_stats\david-pickles.csv
REB,0.0,Data/espn_player_stats\david-pickles.csv
AST,0.0,Data/espn_player_stats\david-pickles.csv
BLK,0.0,Data/espn_player_stats\david-pickles.csv
STL,0.0,Data/espn_player_stats\david-pickles.csv
PF,1.0,Data/espn_player_stats\david-pickles.csv
TO,1.0,Data/espn_player_stats\david-pickles.csv
PTS,2.0,Data/espn_player_stats\david-pickles.csv
Player,david-picklesdavid-pickles,Data/espn_player_stats\david-pickles.csv
MIN,11.0,Data/espn_player_stats\gage-gomez.csv
FG%,100.0,Data/espn_player_stats\gage-gomez.csv
3P%,100.0,Data/espn_player_stats\gage-gomez.csv
FT%,0.0,Data/espn_player_stats\gage-gomez.csv
REB,3.0,Data/espn_player_stats\gage-gomez.csv
AST,2.0,Data/espn_player_stats\gage-gomez.csv
BLK,0.0,Data/espn_player_stats\gage-gomez.csv
STL,0.0,Data/espn_player_stats\gage-gomez.csv
PF,0.0,Data/espn_player_stats\gage-gomez.csv
TO,0.0,Data/espn_player_stats\gage-gomez.csv
PTS,3.0,Data/espn_player_stats\gage-gomez.csv
Player,gage-gomezgage-gomezgage-gomezgage-gomez,Data/espn_player_stats\gage-gomez.csv
MIN,36.0,Data/espn_player_stats\jakov-kukic.csv
FG%,400.0,Data/espn_player_stats\jakov-kukic.csv
3P%,100.0,Data/espn_player_stats\jakov-kukic.csv
FT%,275.0,Data/espn_player_stats\jakov-kukic.csv
REB,11.0,Data/espn_player_stats\jakov-kukic.csv
AST,5.0,Data/espn_player_stats\jakov-kukic.csv
BLK,0.0,Data/espn_player_stats\jakov-kukic.csv
STL,1.0,Data/espn_player_stats\jakov-kukic.csv
PF,3.0,Data/espn_player_stats\jakov-kukic.csv
TO,6.0,Data/espn_player_stats\jakov-kukic.csv
PTS,22.0,Data/espn_player_stats\jakov-kukic.csv
Player,jakov-kukicjakov-kukicjakov-kukicjakov-kukicjakov-kukicjakov-kukicjakov-kukicjakov-kukicjakov-kukic,Data/espn_player_stats\jakov-kukic.csv
MIN,164.0,Data/espn_player_stats\jay-nagle.csv
FG%,436.7,Data/espn_player_stats\jay-nagle.csv
3P%,350.0,Data/espn_player_stats\jay-nagle.csv
FT%,200.0,Data/espn_player_stats\jay-nagle.csv
REB,23.0,Data/espn_player_stats\jay-nagle.csv
AST,19.0,Data/espn_player_stats\jay-nagle.csv
BLK,2.0,Data/espn_player_stats\jay-nagle.csv
STL,4.0,Data/espn_player_stats\jay-nagle.csv
PF,7.0,Data/espn_player_stats\jay-nagle.csv
TO,3.0,Data/espn_player_stats\jay-nagle.csv
PTS,26.0,Data/espn_player_stats\jay-nagle.csv
Player,jay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-naglejay-nagle,Data/espn_player_stats\jay-nagle.csv
MIN,662.0,Data/espn_player_stats\josh-pierre-louis.csv
FG%,1538.9,Data/espn_player_stats\josh-pierre-louis.csv
3P%,220.0,Data/espn_player_stats\josh-pierre-louis.csv
FT%,965.5999999999999,Data/espn_player_stats\josh-pierre-louis.csv
REB,107.0,Data/espn_player_stats\josh-pierre-louis.csv
AST,81.0,Data/espn_player_stats\josh-pierre-louis.csv
BLK,1.0,Data/espn_player_stats\josh-pierre-louis.csv
STL,32.0,Data/espn_player_stats\josh-pierre-louis.csv
PF,52.0,Data/espn_player_stats\josh-pierre-louis.csv
TO,66.0,Data/espn_player_stats\josh-pierre-louis.csv
PTS,228.0,Data/espn_player_stats\josh-pierre-louis.csv
Player,josh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louisjosh-pierre-louis,Data/espn_player_stats\josh-pierre-louis.csv
MIN,5.0,Data/espn_player_stats\max-sheldon.csv
FG%,100.0,Data/espn_player_stats\max-sheldon.csv
3P%,0.0,Data/espn_player_stats\max-sheldon.csv
FT%,0.0,Data/espn_player_stats\max-sheldon.csv
REB,1.0,Data/espn_player_stats\max-sheldon.csv
AST,0.0,Data/espn_player_stats\max-sheldon.csv
BLK,0.0,Data/espn_player_stats\max-sheldon.csv
STL,0.0,Data/espn_player_stats\max-sheldon.csv
PF,0.0,Data/espn_player_stats\max-sheldon.csv
TO,0.0,Data/espn_player_stats\max-sheldon.csv
PTS,2.0,Data/espn_player_stats\max-sheldon.csv
Player,max-sheldonmax-sheldon,Data/espn_player_stats\max-sheldon.csv
MIN,823.0,Data/espn_player_stats\miles-norris.csv
FG%,1197.2,Data/espn_player_stats\miles-norris.csv
