"_id","competitionId","teamId","playerId","scope","tournamentId","fullName","jerseyNum","height","position","hasImage","teamMarket","teamName","seasonLabel","conferenceId","divisionId","isLatest","isDraft","isTransfer","transferSeason","mins","poss","ptsScored","fgm","fga","fgm2","fga2","fgm3","fga3","fta","ftm","ast","defAst","orb","drb","reb","stl","blk","blkd","tov","pf","pfd","opf","pitp","pitpFgm","pitpFga","scp","scpFgm","scpFga","fbpts","fbptsFga","fbptsFgm","minsTm","dPossTm","orbTm","drbTm","rebTm","fgmTm","fgaTm","ftaTm","tovTm","drbAgst","orbAgst","rebAgst","fgaAgst","fga3Agst","gp","minsTmBy5","tsa","minsPg","minsP40","minsP100","ptsScoredPg","ptsScoredP40","ptsScoredP100","fgaPg","fgaP40","fgaP100","fga2Pg","fga2P40","fga2P100","fga3Pg","fga3P40","fga3P100","ftaPg","ftaP40","ftaP100","astPg","astP40","astP100","orbPg","orbP40","orbP100","drbPg","drbP40","drbP100","rebPg","rebP40","rebP100","stlPg","stlP40","stlP100","blkPg","blkP40","blkP100","pfdPg","pfdP40","pfdP100","scpPg","scpP40","scpP100","scpFgaPg","scpFgaP40","scpFgaP100","pitpPg","pitpP40","pitpP100","pitpFgaPg","pitpFgaP40","pitpFgaP100","fbptsPg","fbptsP40","fbptsP100","fbptsFgaPg","fbptsFgaP40","fbptsFgaP100","blkdPg","blkdP40","blkdP100","tovPg","tovP40","tovP100","pfPg","pfP40","pfP100","opfPg","opfP40","opfP100","fgPct","fg2Pct","fg3Pct","fga3Rate","ftPct","efgPct","tsPct","ftaRate","ftmRate","orbPct","drbPct","rebPct","astTov","astPct","astRatio","blkPct","blkdPerFga","pfdPerFga","stlPct","tovPct","usagePct","pfEff","stlPerPf","blkPerPf","scpFgPct","pitpFgPct","fbptsFgPct","hkmPct","astUsage","minsThreshold","isQualified","positionPctile","ptsScoredPctile","fgPctPctile","fg2PctPctile","fg3PctPctile","fga3RatePctile","ftPctPctile","efgPctPctile","tsPctPctile","ftaRatePctile","ftmRatePctile","pfEffPctile","stlPerPfPctile","blkPerPfPctile","orbPctPctile","drbPctPctile","rebPctPctile","astTovPctile","astPctPctile","astRatioPctile","blkPctPctile","stlPctPctile","hkmPctPctile","usagePctPctile","astUsagePctile","scpFgPctPctile","pitpFgPctPctile","fbptsFgPctPctile","pfdPerFgaPctile","minsPgPctile","minsP40Pctile","minsP100Pctile","ptsScoredPgPctile","ptsScoredP40Pctile","ptsScoredP100Pctile","fgaPgPctile","fgaP40Pctile","fgaP100Pctile","fga2PgPctile","fga2P40Pctile","fga2P100Pctile","fga3PgPctile","fga3P40Pctile","fga3P100Pctile","ftaPgPctile","ftaP40Pctile","ftaP100Pctile","astPgPctile","astP40Pctile","astP100Pctile","orbPgPctile","orbP40Pctile","orbP100Pctile","drbPgPctile","drbP40Pctile","drbP100Pctile","rebPgPctile","rebP40Pctile","rebP100Pctile","stlPgPctile","stlP40Pctile","stlP100Pctile","blkPgPctile","blkP40Pctile","blkP100Pctile","pfdPgPctile","pfdP40Pctile","pfdP100Pctile","scpPgPctile","scpP40Pctile","scpP100Pctile","scpFgaPgPctile","scpFgaP40Pctile","scpFgaP100Pctile","pitpPgPctile","pitpP40Pctile","pitpP100Pctile","pitpFgaPgPctile","pitpFgaP40Pctile","pitpFgaP100Pctile","fbptsPgPctile","fbptsP40Pctile","fbptsP100Pctile","fbptsFgaPgPctile","fbptsFgaP40Pctile","fbptsFgaP100Pctile","tovPctPctile","blkdPerFgaPctile","blkdPgPctile","blkdP40Pctile","blkdP100Pctile","tovPgPctile","tovP40Pctile","tovP100Pctile","pfPgPctile","pfP40Pctile","pfP100Pctile","opfPgPctile","opfP40Pctile","opfP100Pctile"
"30629-103395-1611577-season-0","30629","103395","1611577","season","0","Camren Pierce","1","70","G","true","Cal Poly","Mustangs","21-22","40","1","true","false","false","none","841.28","1350.3948514325","252","81","221","65","159","16","62","89","74","114","0","13","90","103","21","1","10","85","85","96","13","104","52","97","17","9","24","38","29","27","5675","1827.2228699999998","259","720","979","593","1450","533","412","670","260","930","1530","554","28","1135","260.2","30.04571","40","62.29882","9","11.98174","18.66121","7.89286","10.5078","16.36558","5.67857","7.55991","11.77433","2.21429","2.94789","4.59125","3.17857","4.23165","6.59066","4.07143","5.42031","8.44198","0.46429","0.61811","0.96268","3.21429","4.27919","6.66472","3.67857","4.8973","7.6274","0.75","0.99848","1.5551","0.03571","0.04755","0.07405","3.42857","4.56447","7.10903","0.60714","0.80829","1.25889","0.85714","1.14112","1.77726","3.71429","4.94485","7.70145","3.46429","4.61202","7.18308","1.35714","1.80677","2.81399","1.03571","1.37885","2.14752","0.35714","0.47547","0.74052","3.03571","4.04146","6.29446","3.03571","4.04146","6.29446","0.46429","0.61811","0.96268","0.36652","0.40881","0.25806","0.28054","0.83146","0.40271","0.48424","0.40271","0.33484","0.01888","0.1239","0.07279","1.34118","0.31796","0.24828","0.00138","0.04525","0.43439","0.01551","0.24626","0.22211","0.25882","0.24706","0.01176","0.375","0.53608","0.93103","0.01689","1.43154","53.25","true","0","0.65","0.27","0.26","0.21","0.18","0.83","0.15","0.29","0.84","0.9","0.09","0.14","0.19","0.36","0.66","0.58","0.62","0.98","0.88","0.21","0.29","0.15","0.73","0.94","0.24","0.63","0.7","0.92","0.77","1","0.88","0.65","0.44","0.48","0.67","0.43","0.5","0.8","0.73","0.77","0.45","0.21","0.22","0.86","0.8","0.83","0.95","0.93","0.95","0.53","0.33","0.36","0.82","0.66","0.71","0.77","0.55","0.6","0.54","0.26","0.29","0.24","0.21","0.21","0.93","0.91","0.93","0.47","0.24","0.26","0.59","0.34","0.36","0.76","0.65","0.68","0.75","0.61","0.64","0.68","0.52","0.55","0.73","0.59","0.62","0.1","0.53","0.37","0.56","0.53","0.02","0.06","0.04","0.01","0.17","0.14","0.03","0.07","0.06"
"30629-103395-981754-season-0","30629","103395","981754","season","0","Trevon Taylor","2","78","G","true","Cal Poly","Mustangs","21-22","40","1","true","false","false","none","816.9499999999999","1310.41883051","242","83","174","62","112","21","62","68","55","27","0","34","116","150","19","7","6","48","66","57","8","108","54","91","47","28","38","15","13","11","5475","1768.45687","249","692","941","576","1400","514","400","647","253","900","1475","533","27","1095","203.9","30.25741","40","62.34266","8.96296","11.84895","18.46738","6.44444","8.51949","13.2782","4.14815","5.48381","8.54689","2.2963","3.03568","4.73131","2.51852","3.32946","5.18918","1","1.32199","2.06041","1.25926","1.66473","2.59459","4.2963","5.67966","8.85213","5.55556","7.34439","11.44672","0.7037","0.93029","1.44992","0.25926","0.34274","0.53418","2.11111","2.79087","4.34975","1.74074","2.30124","3.58664","1.40741","1.86058","2.89984","4","5.28796","8.24164","3.37037","4.4556","6.94434","0.55556","0.73444","1.14467","0.48148","0.63651","0.99205","0.22222","0.29378","0.45787","1.77778","2.35021","3.66295","2.44444","3.23153","5.03656","0.2963","0.3917","0.61049","0.47701","0.55357","0.33871","0.35632","0.80882","0.53736","0.59343","0.3908","0.31609","0.05086","0.16453","0.10921","0.5625","0.07787","0.0968","0.00996","0.03448","0.32759","0.0144","0.19054","0.16665","0.39394","0.28788","0.10606","0.73684","0.59341","0.84615","0.02436","0.46727","53.25","true","0","0.63","0.89","0.86","0.57","0.3","0.75","0.8","0.88","0.83","0.88","0.23","0.2","0.62","0.83","0.91","0.91","0.08","0.21","0.18","0.66","0.24","0.37","0.33","0.25","0.97","0.82","0.37","0.75","0.79","1","0.88","0.65","0.43","0.47","0.55","0.22","0.26","0.66","0.47","0.51","0.47","0.22","0.24","0.75","0.63","0.66","0.38","0.13","0.15","0.92","0.81","0.82","0.95","0.9","0.93","0.95","0.89","0.92","0.5","0.22","0.25","0.78","0.66","0.67","0.72","0.55","0.59","0.93","0.87","0.88","0.85","0.73","0.77","0.79","0.69","0.73","0.74","0.58","0.62","0.32","0.13","0.14","0.4","0.2","0.2","0.28","0.7","0.57","0.78","0.76","0.27","0.48","0.43","0.11","0.4","0.35","0.13","0.24","0.22"
"30629-103395-1368679-season-0","30629","103395","1368679","season","0","Alimamy Koroma","15","80","F","true","Cal Poly","Mustangs","21-22","40","1","true","false","false","none","747.63","1198.0603255625","371","143","286","126","224","17","62","100","68","15","0","45","109","154","19","24","15","69","85","114","22","232","116","199","70","43","74","22","18","15","5675","1827.2228700000003","259","720","979","593","1450","533","412","670","260","930","1530","554","28","1135","330","26.70107","40","62.40337","13.25","19.84939","30.96672","10.21429","15.30169","23.87192","8","11.98454","18.69689","2.21429","3.31715","5.17503","3.57143","5.35024","8.34683","0.53571","0.80254","1.25202","1.60714","2.40761","3.75607","3.89286","5.83176","9.09804","5.5","8.23937","12.85411","0.67857","1.01655","1.5859","0.85714","1.28406","2.00324","4.07143","6.09927","9.51538","2.5","3.74517","5.84278","2.64286","3.95918","6.17665","8.28571","12.41256","19.36463","7.10714","10.64698","16.61018","0.78571","1.17705","1.8363","0.64286","0.96304","1.50243","0.53571","0.80254","1.25202","2.46429","3.69167","5.75931","3.03571","4.5477","7.0948","0.78571","1.17705","1.8363","0.5","0.5625","0.27419","0.21678","0.68","0.52972","0.56212","0.34965","0.23776","0.07354","0.16885","0.12247","0.21739","0.06058","0.03623","0.03733","0.05245","0.3986","0.01579","0.17293","0.28892","0.50588","0.22353","0.28235","0.58108","0.58291","0.83333","0.05312","0.20968","53.25","true","0","0.89","0.64","0.64","0.41","0.5","0.56","0.56","0.58","0.55","0.59","0.48","0.4","0.61","0.47","0.58","0.55","0.06","0.34","0.06","0.69","0.52","0.66","0.97","0.12","0.53","0.54","0.48","0.7","0.8","1","0.89","0.91","0.92","0.95","0.92","0.93","0.95","0.93","0.9","0.92","0.75","0.61","0.63","0.9","0.84","0.87","0.42","0.15","0.17","0.74","0.42","0.45","0.78","0.57","0.63","0.76","0.5","0.57","0.73","0.48","0.52","0.85","0.67","0.7","0.96","0.96","0.97","0.93","0.85","0.88","0.95","0.88","0.91","0.94","0.91","0.93","0.95","0.93","0.95","0.71","0.56","0.58","0.75","0.6","0.63","0.4","0.56","0.14","0.29","0.26","0.04","0.08","0.06","0.04","0.38","0.33","0.01","0.05","0.04"
"30629-103395-1612345-season-0","30629","103395","1612345","season","0","Brantly Stevenson","4","76","F","true","Cal Poly","Mustangs","21-22","40","1","true","false","false","none","736.95","1168.3972094150001","211","78","183","55","117","23","66","42","32","42","0","29","91","120","22","8","10","50","59","57","10","90","45","91","12","7","15","25","16","15","5075","1624.3614300000002","246","640","886","537","1314","472","357","600","233","833","1364","490","25","1015","201.5","29.478","40","63.07358","8.44","11.45261","18.05893","7.32","9.93283","15.66248","4.68","6.3505","10.01372","2.64","3.58233","5.64876","1.68","2.27967","3.59467","1.68","2.27967","3.59467","1.16","1.57406","2.48203","3.64","4.93928","7.78845","4.8","6.51333","10.27048","0.88","1.19411","1.88292","0.32","0.43422","0.6847","2.28","3.09383","4.87848","0.48","0.65133","1.02705","0.6","0.81417","1.28381","3.6","4.885","7.70286","3.64","4.93928","7.78845","1","1.35694","2.13968","0.64","0.86844","1.3694","0.4","0.54278","0.85587","2","2.71389","4.27937","2.36","3.20239","5.04965","0.4","0.54278","0.85587","0.42623","0.47009","0.34848","0.36066","0.7619","0.48907","0.52357","0.22951","0.17486","0.04721","0.14357","0.09615","0.84","0.13466","0.14311","0.01261","0.05464","0.31148","0.01865","0.19882","0.18437","0.50847","0.37288","0.13559","0.46667","0.49451","0.9375","0.031259999999999996","0.73038","53.25","true","0","0.64","0.3","0.24","0.72","0.68","0.79","0.34","0.37","0.24","0.35","0.49","0.75","0.27","0.19","0.35","0.23","0.63","0.87","0.79","0.21","0.67","0.29","0.52","0.88","0.22","0.2","0.71","0.5","0.89","1","0.93","0.69","0.36","0.42","0.76","0.45","0.52","0.7","0.37","0.41","0.8","0.64","0.66","0.58","0.24","0.27","0.89","0.78","0.81","0.54","0.18","0.2","0.74","0.34","0.42","0.68","0.21","0.27","0.86","0.63","0.68","0.42","0.2","0.22","0.75","0.45","0.5","0.21","0.05","0.05","0.25","0.04","0.04","0.61","0.29","0.33","0.67","0.35","0.39","0.8","0.63","0.66","0.75","0.53","0.57","0.25","0.54","0.27","0.55","0.52","0.1","0.32","0.26","0.23","0.74","0.69","0.11","0.35","0.31"
"30629-103395-1612340-season-0","30629","103395","1612340","season","0","Kobe Sanders","3","78","G","true","Cal Poly","Mustangs","21-22","40","1","true","false","false","none","665.72","1072.3184078875001","172","54","145","24","55","30","90","56","34","51","0","17","50","67","18","7","4","47","78","56","10","44","22","43","17","7","17","34","30","21","5475","1768.45687","249","692","941","576","1400","514","400","647","253","900","1475","533","27","1095","169.6","24.6563","40","62.08231","6.37037","10.33468","16.04001","5.37037","8.71237","13.5221","2.03704","3.30469","5.12907","3.33333","5.40768","8.39303","2.07407","3.36478","5.22233","1.88889","3.06435","4.75605","0.62963","1.02145","1.58535","1.85185","3.00427","4.66279","2.48148","4.02572","6.24814","0.66667","1.08154","1.67861","0.25926","0.4206","0.65279","2.07407","3.36478","5.22233","0.62963","1.02145","1.58535","0.62963","1.02145","1.58535","1.62963","2.64375","4.10326","1.59259","2.58367","4.01","1.25926","2.0429","3.1707","1.11111","1.80256","2.79768","0.14815","0.24034","0.37302","1.74074","2.82401","4.38303","2.88889","4.68666","7.27396","0.37037","0.60085","0.93256","0.37241","0.43636","0.33333","0.62069","0.60714","0.47586","0.50708","0.38621","0.23448","0.03121","0.08703","0.05986","1.08511","0.17219","0.19055","0.01222","0.02759","0.38621","0.01674","0.21695","0.17587","0.32051","0.23077","0.08974","0.41176","0.51163","0.7","0.02896","0.97908","53.25","true","0","0.48","0.3","0.37","0.55","0.78","0.17","0.46","0.43","0.82","0.69","0.14","0.13","0.55","0.61","0.27","0.37","0.44","0.71","0.69","0.74","0.35","0.54","0.41","0.77","0.32","0.53","0.1","0.86","0.56","1","0.86","0.46","0.29","0.34","0.46","0.24","0.28","0.37","0.18","0.2","0.64","0.56","0.59","0.67","0.63","0.67","0.66","0.61","0.64","0.68","0.58","0.61","0.46","0.28","0.32","0.5","0.34","0.38","0.48","0.32","0.35","0.78","0.73","0.75","0.71","0.72","0.75","0.49","0.35","0.37","0.43","0.27","0.29","0.43","0.29","0.31","0.41","0.25","0.27","0.65","0.6","0.63","0.77","0.77","0.8","0.18","0.79","0.71","0.83","0.82","0.29","0.29","0.26","0.02","0.08","0.06","0.06","0.08","0.07"
"30629-103395-1320993-season-0","30629","103395","1320993","season","0","Julien Franklin","5","79","G","true","Cal Poly","Mustangs","21-22","40","1","true","false","false","none","610.3700000000002","986.1251775675","125","41","116","29","70","12","46","43","31","23","0","22","77","99","10","5","5","30","59","42","6","54","27","57","24","16","24","27","20","18","5675","1827.2228700000003","259","720","979","593","1450","533","412","670","260","930","1530","554","28","1135","134.9","21.79893","40","61.89579","4.46429","8.19175","12.67588","4.14286","7.60195","11.76321","2.5","4.58738","7.09849","1.64286","3.01456","4.66472","1.53571","2.81796","4.3605","0.82143","1.50728","2.33236","0.78571","1.44175","2.23095","2.75","5.04612","7.80834","3.53571","6.48787","10.03929","0.35714","0.65534","1.01407","0.17857","0.32767","0.50704","1.5","2.75243","4.25909","0.85714","1.57282","2.43377","0.85714","1.57282","2.43377","1.92857","3.53884","5.47598","2.03571","3.73544","5.7802","0.96429","1.76942","2.73799","0.71429","1.31068","2.02814","0.17857","0.32767","0.50704","1.07143","1.96602","3.04221","2.10714","3.86651","5.98301","0.21429","0.3932","0.60844","0.35345","0.41429","0.26087","0.39655","0.72093","0.40517","0.46331","0.37069","0.26724","0.04404","0.14611","0.09643","0.76667","0.08276","0.12239","0.00953","0.0431","0.36207","0.01018","0.18191","0.14628","0.25424","0.16949","0.08475","0.66667","0.47368","0.9","0.01971","0.56576","53.25","true","0","0.38","0.21","0.27","0.22","0.36","0.43","0.16","0.2","0.79","0.78","0.08","0.06","0.53","0.77","0.82","0.84","0.2","0.24","0.34","0.65","0.1","0.22","0.19","0.38","0.92","0.35","0.58","0.82","0.47","1","0.83","0.34","0.14","0.16","0.35","0.14","0.16","0.45","0.34","0.37","0.33","0.22","0.23","0.53","0.51","0.55","0.31","0.18","0.2","0.77","0.74","0.76","0.72","0.82","0.85","0.74","0.82","0.85","0.22","0.09","0.1","0.65","0.64","0.65","0.54","0.53","0.57","0.61","0.63","0.66","0.59","0.58","0.61","0.49","0.43","0.45","0.51","0.46","0.49","0.52","0.5","0.53","0.57","0.56","0.58","0.32","0.56","0.65","0.74","0.73","0.55","0.64","0.61","0.23","0.21","0.17","0.26","0.24","0.22"
"30629-103395-968002-season-0","30629","103395","968002","season","0","Kyle Colvin","33","78","F","true","Cal Poly","Mustangs","21-22","40","1","true","false","false","none","530.8","853.2708002850001","161","50","121","33","72","17","49","55","44","6","0","17","65","82","6","1","7","25","21","41","4","42","21","46","31","17","31","14","8","7","4825","1552.3170000000002","217","605","822","506","1236","461","337","578","218","796","1304","473","24","965","145.2","22.11667","40","62.20768","6.70833","12.13263","18.86857","5.04167","9.11831","14.18073","3","5.42577","8.43812","2.04167","3.69254","5.74261","2.29167","4.14469","6.44578","0.25","0.45215","0.70318","0.70833","1.28109","1.99233","2.70833","4.89827","7.61775","3.41667","6.17935","9.61008","0.25","0.45215","0.70318","0.04167","0.07536","0.1172","1.70833","3.08968","4.80504","1.29167","2.3361","3.63308","1.29167","2.3361","3.63308","1.75","3.16503","4.92224","1.91667","3.46647","5.39102","0.58333","1.05501","1.64075","0.33333","0.60286","0.93757","0.29167","0.52751","0.82037","1.04167","1.88395","2.9299","0.875","1.58252","2.46112","0.16667","0.30143","0.46878","0.41322","0.45833","0.34694","0.40496","0.8","0.48347","0.55441","0.45455","0.36364","0.03888","0.14359","0.09214","0.24","0.02628","0.03405","0.00219","0.05785","0.33884","0.00703","0.14689","0.17424","0.33333","0.28571","0.04762","0.54839","0.45652","0.875","0.009219999999999999","0.15083","53.25","true","0","0.53","0.24","0.21","0.71","0.73","0.88","0.32","0.54","0.74","0.87","0.21","0.57","0.07","0.12","0.35","0.19","0.07","0.07","0.05","0.04","0.09","0.02","0.43","0.06","0.42","0.12","0.58","0.56","0.63","1","0.87","0.58","0.42","0.48","0.56","0.34","0.4","0.48","0.26","0.29","0.73","0.65","0.67","0.72","0.66","0.69","0.17","0.05","0.05","0.3","0.11","0.12","0.57","0.33","0.39","0.48","0.16","0.2","0.25","0.08","0.09","0.05","0.04","0.04","0.61","0.45","0.48","0.63","0.47","0.51","0.62","0.44","0.48","0.33","0.13","0.13","0.4","0.17","0.18","0.6","0.49","0.52","0.49","0.36","0.38","0.61","0.5","0.43","0.57","0.54","0.46","0.68","0.65","0.88","0.99","0.98","0.54","0.65","0.64"
"30629-103395-967997-season-0","30629","103395","967997","season","0","Tuukka Jaakkola","14","82","F","true","Cal Poly","Mustangs","21-22","40","1","true","false","false","none","279.47999999999996","445.67011618750007","70","22","60","22","60","0","0","36","26","4","0","19","30","49","4","9","7","18","47","36","7","42","21","55","10","7","14","2","4","2","5675","1827.2228700000003","259","720","979","593","1450","533","412","670","260","930","1530","554","28","1135","75.8","9.98143","40","62.71006","2.5","10.01861","15.70668","2.14286","8.58738","13.46287","2.14286","8.58738","13.46287","0","0","0","1.28571","5.15243","8.07772","0.14286","0.57249","0.89752","0.67857","2.71934","4.26324","1.07143","4.29369","6.73144","1.75","7.01302","10.99468","0.14286","0.57249","0.89752","0.32143","1.28811","2.01943","1.28571","5.15243","8.07772","0.35714","1.43123","2.24381","0.5","2.00372","3.14134","1.5","6.01116","9.42401","1.96429","7.87176","12.34097","0.07143","0.28625","0.44876","0.14286","0.57249","0.89752","0.25","1.00186","1.57067","0.64286","2.57621","4.03886","1.67857","6.72678","10.54592","0.25","1.00186","1.57067","0.36667","0.36667","","0","0.72222","0.36667","0.46174","0.6","0.43333","0.08306","0.12432","0.10424","0.22222","0.03225","0.04088","0.03745","0.11667","0.6","0.00889","0.19182","0.18177","0.2766","0.08511","0.19149","0.5","0.38182","0.5","0.04634","0.17742","53.25","true","0","0.28","0.11","0.04","0.16","0.15","0.68","0.05","0.14","0.9","0.94","0.13","0.07","0.41","0.57","0.2","0.32","0.06","0.1","0.08","0.69","0.16","0.56","0.49","0.08","0.33","0.04","0.07","0.93","0.22","1","0.91","0.21","0.25","0.29","0.21","0.28","0.33","0.37","0.63","0.67","0.15","0.15","0.15","0.46","0.82","0.85","0.08","0.08","0.09","0.28","0.52","0.57","0.16","0.2","0.24","0.19","0.29","0.35","0.12","0.15","0.17","0.42","0.67","0.71","0.48","0.89","0.91","0.15","0.19","0.21","0.19","0.31","0.35","0.28","0.41","0.45","0.41","0.72","0.76","0.11","0.14","0.14","0.24","0.34","0.36","0.28","0.09","0.51","0.16","0.13","0.7","0.38","0.32","0.56","0.09","0.06","0.34","0.08","0.07"
"30629-103395-935473-season-0","30629","103395","935473","season","0","Jacob Davison","10","76","G","true","Cal Poly","Mustangs","21-22","40","1","true","false","false","none","189.46","306.087559465","83","27","73","18","44","9","29","32","20","9","0","7","18","25","6","3","3","16","11","30","1","28","14","26","6","3","8","7","5","5","1400","452.22591000000006","76","180","256","163","385","126","86","168","62","230","363","142","7","280","87.1","27.06571","40","61.89732","11.85714","17.52349","27.11642","10.42857","15.41222","23.84938","6.28571","9.28956","14.37497","4.14286","6.12266","9.47441","4.57143","6.75604","10.45452","1.28571","1.90014","2.94034","1","1.47788","2.28693","2.57143","3.80027","5.88067","3.57143","5.27816","8.1676","0.85714","1.26676","1.96022","0.42857","0.63338","0.98011","4.28571","6.33379","9.80112","0.85714","1.26676","1.96022","1.14286","1.68901","2.61363","4","5.91154","9.14771","3.71429","5.48929","8.4943","1","1.47788","2.28693","0.71429","1.05563","1.63352","0.42857","0.63338","0.98011","2.28571","3.37802","5.22726","1.57143","2.32239","3.59374","0.14286","0.21113","0.3267","0.36986","0.40909","0.31034","0.39726","0.625","0.43151","0.47646","0.43836","0.27397","0.0424","0.10993","0.07602","0.5625","0.10805","0.0803","0.02006","0.0411","0.41096","0.01961","0.15522","0.28938","0.81818","0.54545","0.27273","0.375","0.53846","1","0.03967","0.37338","53.25","true","0","0.27","0.28","0.26","0.41","0.36","0.19","0.22","0.25","0.89","0.8","0.81","0.65","0.92","0.75","0.53","0.62","0.08","0.4","0.11","0.89","0.48","0.8","0.97","0.14","0.24","0.64","1","0.89","0.65","1","0.83","0.81","0.85","0.89","0.85","0.9","0.93","0.85","0.87","0.89","0.75","0.65","0.68","0.96","0.97","0.98","0.48","0.29","0.32","0.85","0.75","0.77","0.68","0.52","0.57","0.75","0.62","0.66","0.62","0.45","0.48","0.91","0.86","0.87","0.98","0.99","0.99","0.61","0.48","0.5","0.74","0.65","0.68","0.79","0.77","0.79","0.78","0.74","0.77","0.55","0.4","0.42","0.57","0.43","0.45","0.5","0.6","0.28","0.38","0.35","0.12","0.15","0.12","0.51","0.76","0.72","0.43","0.55","0.54"
"30629-103395-1701273-season-0","30629","103395","1701273","season","0","Daniel Esparza","24","74","G","true","Cal Poly","Mustangs","21-22","40","1","true","false","true","latest","103.88","171.212195635","14","6","33","4","7","2","26","0","0","1","0","5","8","13","2","0","3","2","9","1","0","2","1","3","6","3","5","0","0","0","3275","1060.28962","157","410","567","341","841","336","245","388","148","536","878","310","16","655","33","6.4925","40","60.67325","0.875","5.39084","8.17699","2.0625","12.70697","19.27433","0.4375","2.69542","4.08849","1.625","10.01155","15.18583","0","0","0","0.0625","0.38506","0.58407","0.3125","1.9253","2.92035","0.5","3.08048","4.67256","0.8125","5.00578","7.59292","0.125","0.77012","1.16814","0","0","0","0.0625","0.38506","0.58407","0.375","2.31036","3.50442","0.3125","1.9253","2.92035","0.125","0.77012","1.16814","0.1875","1.15518","1.75221","0","0","0","0","0","0","0.1875","1.15518","1.75221","0.125","0.77012","1.16814","0.5625","3.46554","5.25663","0","0","0","0.18182","0.57143","0.07692","0.78788","","0.21212","0.21212","0","0","0.05785","0.0904","0.07432","0.5","0.0208","0.02778","0","0.09091","0.0303","0.01189","0.05714","0.17886","0.22222","0.22222","0","0.6","0.33333","","0.01189","0.11629","53.25","true","0","0.03","0.01","0.89","0.03","0.95","0","0.01","0.01","0.01","0.02","0.06","0.12","0.18","0.88","0.31","0.6","0.06","0.01","0.01","0.18","0.15","0.06","0.44","0.01","0.81","0.07","0","0.01","0.05","1","0.69","0.03","0.04","0.04","0.13","0.69","0.71","0.05","0.12","0.12","0.32","0.96","0.97","0.01","0.01","0.01","0.01","0.01","0.01","0.34","0.86","0.87","0.05","0.3","0.32","0.09","0.57","0.59","0.05","0.14","0.15","0.18","0.18","0.18","0.01","0.01","0.01","0.28","0.87","0.87","0.18","0.76","0.77","0.03","0.05","0.05","0.03","0.06","0.06","0.04","0.04","0.04","0.04","0.04","0.04","0.98","0.11","0.63","0.07","0.06","0.99","0.98","0.97","0.93","0.32","0.3","1","1","1"
