"_id","competitionId","teamId","playerId","scope","tournamentId","fullName","jerseyNum","height","position","hasImage","teamMarket","teamName","seasonLabel","conferenceId","divisionId","isLatest","isDraft","isTransfer","transferSeason","mins","poss","ptsScored","fgm","fga","fgm2","fga2","fgm3","fga3","fta","ftm","ast","defAst","orb","drb","reb","stl","blk","blkd","tov","pf","pfd","opf","pitp","pitpFgm","pitpFga","scp","scpFgm","scpFga","fbpts","fbptsFga","fbptsFgm","minsTm","dPossTm","orbTm","drbTm","rebTm","fgmTm","fgaTm","ftaTm","tovTm","drbAgst","orbAgst","rebAgst","fgaAgst","fga3Agst","gp","minsTmBy5","tsa","minsPg","minsP40","minsP100","ptsScoredPg","ptsScoredP40","ptsScoredP100","fgaPg","fgaP40","fgaP100","fga2Pg","fga2P40","fga2P100","fga3Pg","fga3P40","fga3P100","ftaPg","ftaP40","ftaP100","astPg","astP40","astP100","orbPg","orbP40","orbP100","drbPg","drbP40","drbP100","rebPg","rebP40","rebP100","stlPg","stlP40","stlP100","blkPg","blkP40","blkP100","pfdPg","pfdP40","pfdP100","scpPg","scpP40","scpP100","scpFgaPg","scpFgaP40","scpFgaP100","pitpPg","pitpP40","pitpP100","pitpFgaPg","pitpFgaP40","pitpFgaP100","fbptsPg","fbptsP40","fbptsP100","fbptsFgaPg","fbptsFgaP40","fbptsFgaP100","blkdPg","blkdP40","blkdP100","tovPg","tovP40","tovP100","pfPg","pfP40","pfP100","opfPg","opfP40","opfP100","fgPct","fg2Pct","fg3Pct","fga3Rate","ftPct","efgPct","tsPct","ftaRate","ftmRate","orbPct","drbPct","rebPct","astTov","astPct","astRatio","blkPct","blkdPerFga","pfdPerFga","stlPct","tovPct","usagePct","pfEff","stlPerPf","blkPerPf","scpFgPct","pitpFgPct","fbptsFgPct","hkmPct","astUsage","minsThreshold","isQualified","positionPctile","ptsScoredPctile","fgPctPctile","fg2PctPctile","fg3PctPctile","fga3RatePctile","ftPctPctile","efgPctPctile","tsPctPctile","ftaRatePctile","ftmRatePctile","pfEffPctile","stlPerPfPctile","blkPerPfPctile","orbPctPctile","drbPctPctile","rebPctPctile","astTovPctile","astPctPctile","astRatioPctile","blkPctPctile","stlPctPctile","hkmPctPctile","usagePctPctile","astUsagePctile","scpFgPctPctile","pitpFgPctPctile","fbptsFgPctPctile","pfdPerFgaPctile","minsPgPctile","minsP40Pctile","minsP100Pctile","ptsScoredPgPctile","ptsScoredP40Pctile","ptsScoredP100Pctile","fgaPgPctile","fgaP40Pctile","fgaP100Pctile","fga2PgPctile","fga2P40Pctile","fga2P100Pctile","fga3PgPctile","fga3P40Pctile","fga3P100Pctile","ftaPgPctile","ftaP40Pctile","ftaP100Pctile","astPgPctile","astP40Pctile","astP100Pctile","orbPgPctile","orbP40Pctile","orbP100Pctile","drbPgPctile","drbP40Pctile","drbP100Pctile","rebPgPctile","rebP40Pctile","rebP100Pctile","stlPgPctile","stlP40Pctile","stlP100Pctile","blkPgPctile","blkP40Pctile","blkP100Pctile","pfdPgPctile","pfdP40Pctile","pfdP100Pctile","scpPgPctile","scpP40Pctile","scpP100Pctile","scpFgaPgPctile","scpFgaP40Pctile","scpFgaP100Pctile","pitpPgPctile","pitpP40Pctile","pitpP100Pctile","pitpFgaPgPctile","pitpFgaP40Pctile","pitpFgaP100Pctile","fbptsPgPctile","fbptsP40Pctile","fbptsP100Pctile","fbptsFgaPgPctile","fbptsFgaP40Pctile","fbptsFgaP100Pctile","tovPctPctile","blkdPerFgaPctile","blkdPgPctile","blkdP40Pctile","blkdP100Pctile","tovPgPctile","tovP40Pctile","tovP100Pctile","pfPgPctile","pfP40Pctile","pfP100Pctile","opfPgPctile","opfP40Pctile","opfP100Pctile"
"30629-103399-952384-season-0","30629","103399","952384","season","0","E.J. Anosike","55","79","F","true","Cal St. Fullerton","Titans","21-22","40","1","true","false","false","none","1047.06","1716.7993298557074","520","188","364","180","334","8","30","175","136","56","0","99","168","267","27","10","27","62","81","166","15","310","155","267","127","81","118","60","39","36","6399.4166669999995","2106.18762","312","758","1070","792","1781","625","388","738","287","1025","1772","665","32","1279.8833333999999","441","32.72062","40","60.98907","16.25","19.86515","30.28892","11.375","13.9056","21.20224","10.4375","12.75954","19.45481","0.9375","1.14607","1.74744","5.46875","6.68539","10.19339","1.75","2.13932","3.26188","3.09375","3.78202","5.76654","5.25","6.41797","9.78565","8.34375","10.19999","15.5522","0.84375","1.03146","1.57269","0.3125","0.38202","0.58248","5.1875","6.34157","9.66916","3.96875","4.85168","7.39749","3.6875","4.50786","6.87326","9.6875","11.84268","18.05686","8.34375","10.19999","15.5522","1.875","2.29213","3.49488","1.21875","1.48989","2.27167","0.84375","1.03146","1.57269","1.9375","2.36854","3.61137","2.53125","3.09438","4.71808","0.46875","0.57303","0.87372","0.51648","0.53892","0.26667","0.08242","0.77714","0.52747","0.58957","0.48077","0.37363","0.11525","0.19651","0.15579","0.90323","0.12176","0.10018","0.01104","0.07418","0.45604","0.01567","0.12326","0.25157","0.45679","0.33333","0.12346","0.68644","0.58052","0.92308","0.026709999999999998","0.484","53.25","true","0","0.98","0.68","0.54","0.4","0.34","0.82","0.54","0.74","0.78","0.89","0.4","0.69","0.25","0.84","0.78","0.84","0.67","0.82","0.52","0.18","0.51","0.2","0.9","0.61","0.87","0.53","0.69","0.79","0.96","1","0.73","0.97","0.92","0.94","0.95","0.86","0.88","0.98","0.93","0.94","0.54","0.39","0.4","0.98","0.94","0.95","0.91","0.74","0.76","0.98","0.8","0.82","0.93","0.7","0.73","0.97","0.79","0.81","0.84","0.49","0.52","0.41","0.17","0.18","0.99","0.97","0.97","0.99","0.96","0.96","0.99","0.94","0.95","0.97","0.89","0.91","0.98","0.91","0.92","0.95","0.87","0.88","0.93","0.83","0.84","0.78","0.33","0.02","0.14","0.13","0.11","0.45","0.44","0.17","0.76","0.75","0.06","0.32","0.3"
"30629-103399-939542-season-0","30629","103399","939542","season","0","Damari Milstead","11","74","G","true","Cal St. Fullerton","Titans","21-22","40","1","true","false","false","none","985.78","1621.806844112738","388","137","314","90","189","47","125","86","67","91","0","17","85","102","64","3","18","62","58","81","9","154","77","154","16","7","27","113","70","64","6399.4166669999995","2106.18762","312","758","1070","792","1781","625","388","738","287","1025","1772","665","32","1279.8833333999999","351.8","30.80562","40","60.78282","12.125","15.74388","23.92393","9.8125","12.74118","19.36112","5.90625","7.66905","11.65367","3.90625","5.07213","7.70745","2.6875","3.48962","5.30273","2.84375","3.69251","5.61103","0.53125","0.68981","1.04821","2.65625","3.44905","5.24107","3.1875","4.13885","6.28928","2","2.59693","3.94622","0.09375","0.12173","0.18498","2.53125","3.28674","4.99443","0.5","0.64923","0.98655","0.84375","1.09558","1.66481","4.8125","6.24886","9.49558","4.8125","6.24886","9.49558","3.53125","4.5852","6.96754","2.1875","2.84039","4.31617","0.5625","0.73039","1.10987","1.9375","2.51577","3.8229","1.8125","2.35347","3.57626","0.28125","0.36519","0.55494","0.43631","0.47619","0.376","0.39809","0.77907","0.51115","0.55145","0.27389","0.21338","0.02102","0.10561","0.06321","1.46774","0.19239","0.18026","0.00352","0.05732","0.25796","0.03945","0.14982","0.21985","1.15517","1.10345","0.05172","0.25926","0.5","0.91429","0.04297","0.8751","53.25","true","0","0.86","0.72","0.56","0.77","0.36","0.64","0.68","0.71","0.56","0.61","0.95","0.97","0.36","0.42","0.47","0.43","0.7","0.78","0.64","0.33","0.96","0.84","0.72","0.68","0.09","0.49","0.63","0.56","0.81","1","0.71","0.83","0.74","0.77","0.81","0.69","0.72","0.82","0.75","0.76","0.73","0.5","0.52","0.78","0.66","0.68","0.84","0.74","0.75","0.6","0.39","0.4","0.7","0.42","0.44","0.67","0.37","0.39","0.98","0.96","0.96","0.44","0.33","0.33","0.81","0.7","0.71","0.38","0.17","0.17","0.58","0.31","0.32","0.86","0.8","0.81","0.87","0.82","0.84","0.98","0.97","0.98","0.97","0.96","0.96","0.54","0.37","0.16","0.28","0.27","0.22","0.41","0.38","0.38","0.75","0.73","0.16","0.28","0.27"
"30629-103399-933189-season-0","30629","103399","933189","season","0","Vincent Lee","13","80","F","true","Cal St. Fullerton","Titans","21-22","40","1","true","false","false","none","864.7999999999998","1425.5054280704685","256","100","191","100","190","0","1","80","56","18","0","75","119","194","17","13","13","43","61","77","12","190","95","169","71","45","75","15","12","10","6399.4166669999995","2106.1876199999997","312","758","1070","792","1781","625","388","738","287","1025","1772","665","32","1279.8833333999999","226.2","27.025","40","60.6662","8","11.84089","17.95854","5.96875","8.83441","13.39876","5.9375","8.78816","13.32861","0.03125","0.04625","0.07015","2.5","3.70028","5.61204","0.5625","0.83256","1.26271","2.34375","3.46901","5.26129","3.71875","5.50416","8.34792","6.0625","8.97317","13.60921","0.53125","0.78631","1.19256","0.40625","0.6013","0.91196","2.40625","3.56152","5.40159","2.21875","3.284","4.98069","2.34375","3.46901","5.26129","5.9375","8.78816","13.32861","5.28125","7.81684","11.85544","0.46875","0.6938","1.05226","0.375","0.55504","0.84181","0.40625","0.6013","0.91196","1.34375","1.9889","3.01647","1.90625","2.82146","4.27918","0.375","0.55504","0.84181","0.52356","0.52632","0","0.00524","0.7","0.52356","0.56587","0.41885","0.29319","0.10571","0.16853","0.13705","0.4186","0.04137","0.06267","0.01738","0.06806","0.40314","0.01195","0.15973","0.16302","0.4918","0.27869","0.21311","0.6","0.56213","0.83333","0.029330000000000002","0.25377","53.25","true","0","0.74","0.7","0.48","0.16","0.16","0.62","0.52","0.61","0.67","0.74","0.46","0.55","0.47","0.78","0.58","0.7","0.21","0.16","0.2","0.32","0.32","0.25","0.33","0.18","0.6","0.45","0.48","0.71","0.82","1","0.68","0.67","0.39","0.42","0.65","0.31","0.33","0.8","0.64","0.66","0.17","0.16","0.16","0.76","0.56","0.58","0.44","0.16","0.17","0.91","0.74","0.75","0.75","0.49","0.52","0.83","0.62","0.65","0.59","0.31","0.32","0.53","0.31","0.32","0.78","0.59","0.61","0.89","0.76","0.77","0.91","0.8","0.81","0.83","0.69","0.71","0.84","0.71","0.73","0.52","0.3","0.31","0.54","0.33","0.33","0.5","0.39","0.26","0.5","0.48","0.3","0.63","0.62","0.44","0.83","0.83","0.14","0.33","0.32"
"30629-103399-1602892-season-0","30629","103399","1602892","season","0","Latrell Wrightsell Jr.","3","75","G","true","Cal St. Fullerton","Titans","21-22","40","1","true","false","false","none","833.08","1359.762707473477","208","70","197","49","118","21","79","54","47","53","0","8","78","86","25","2","8","42","40","61","8","72","36","75","12","7","23","37","25","24","6199.4166669999995","2023.85345","301","729","1030","759","1719","591","372","715","280","995","1714","638","31","1239.8833333999999","220.8","26.87355","40","61.26657","6.70968","9.98704","15.29679","6.35484","9.45888","14.48782","3.80645","5.66572","8.67798","2.54839","3.79315","5.80984","1.74194","2.59279","3.97128","1.70968","2.54477","3.89774","0.25806","0.38412","0.58834","2.51613","3.74514","5.73629","2.77419","4.12926","6.32463","0.80645","1.20036","1.83856","0.06452","0.09603","0.14708","1.96774","2.92889","4.48608","0.3871","0.57618","0.88251","0.74194","1.10434","1.69147","2.32258","3.45705","5.29504","2.41935","3.60109","5.51567","1.19355","1.77654","2.72106","0.80645","1.20036","1.83856","0.25806","0.38412","0.58834","1.35484","2.01661","3.08877","1.29032","1.92058","2.94169","0.25806","0.38412","0.58834","0.35533","0.41525","0.26582","0.40102","0.87037","0.40863","0.47101","0.27411","0.23858","0.01172","0.11505","0.06321","1.2619","0.12046","0.16785","0.00277","0.04061","0.30964","0.01838","0.15984","0.16634","0.675","0.625","0.05","0.30435","0.48","0.96","0.021150000000000002","0.72418","53.25","true","0","0.55","0.21","0.28","0.24","0.37","0.91","0.16","0.23","0.56","0.7","0.67","0.75","0.35","0.16","0.58","0.43","0.56","0.46","0.59","0.28","0.42","0.27","0.33","0.55","0.13","0.38","0.77","0.71","0.64","1","0.77","0.49","0.26","0.29","0.54","0.32","0.35","0.61","0.5","0.53","0.52","0.32","0.34","0.58","0.46","0.48","0.61","0.49","0.5","0.26","0.15","0.15","0.66","0.5","0.53","0.57","0.37","0.4","0.58","0.4","0.42","0.34","0.28","0.28","0.68","0.59","0.62","0.29","0.14","0.15","0.51","0.32","0.33","0.56","0.42","0.44","0.58","0.44","0.45","0.62","0.51","0.53","0.62","0.51","0.53","0.47","0.61","0.51","0.67","0.66","0.43","0.62","0.6","0.66","0.89","0.88","0.19","0.25","0.24"
"30629-103399-979075-season-0","30629","103399","979075","season","0","Tray Maddox Jr.","2","76","G","true","Cal St. Fullerton","Titans","21-22","40","1","true","false","false","none","776.99","1279.5494006625947","284","99","243","58","117","41","126","54","45","56","0","7","70","77","32","3","10","52","69","55","7","80","40","68","14","7","20","43","29","24","5999.4166669999995","1970.6861399999998","287","709","996","737","1668","567","360","698","263","961","1656","630","30","1199.8833333999999","266.8","25.89967","40","60.72372","9.46667","14.62052","22.19531","8.1","12.50981","18.99106","3.9","6.02324","9.14384","4.2","6.48657","9.84722","1.8","2.77996","4.22024","1.86667","2.88292","4.37654","0.23333","0.36036","0.54707","2.33333","3.60365","5.47068","2.56667","3.96401","6.01774","1.06667","1.64738","2.50088","0.1","0.15444","0.23446","1.83333","2.83144","4.29839","0.46667","0.72073","1.09414","0.66667","1.02961","1.56305","2.66667","4.11846","6.2522","2.26667","3.50069","5.31437","1.43333","2.21367","3.36056","0.96667","1.49294","2.26642","0.33333","0.51481","0.78153","1.73333","2.677","4.06393","2.3","3.55217","5.39252","0.23333","0.36036","0.54707","0.40741","0.49573","0.3254","0.51852","0.83333","0.49177","0.53223","0.22222","0.18519","0.01097","0.11121","0.06076","1.07692","0.14805","0.14943","0.00452","0.04115","0.22634","0.02508","0.16313","0.21614","0.50725","0.46377","0.04348","0.35","0.58824","0.82759","0.0296","0.68497","53.25","true","0","0.71","0.53","0.65","0.49","0.61","0.83","0.56","0.6","0.38","0.49","0.43","0.52","0.32","0.14","0.54","0.39","0.43","0.62","0.49","0.38","0.72","0.56","0.69","0.51","0.2","0.8","0.3","0.44","0.61","1","0.7","0.68","0.66","0.69","0.69","0.66","0.7","0.63","0.55","0.57","0.76","0.7","0.71","0.6","0.5","0.52","0.66","0.57","0.58","0.23","0.13","0.13","0.61","0.46","0.48","0.53","0.33","0.34","0.75","0.69","0.72","0.46","0.38","0.38","0.64","0.56","0.58","0.35","0.19","0.2","0.46","0.27","0.28","0.62","0.52","0.54","0.56","0.42","0.43","0.71","0.66","0.67","0.7","0.64","0.66","0.45","0.6","0.41","0.51","0.5","0.29","0.35","0.32","0.15","0.3","0.28","0.22","0.29","0.28"
"30629-103399-1309583-season-0","30629","103399","1309583","season","0","Tory San Antonio","23","75","G","true","Cal St. Fullerton","Titans","21-22","40","1","true","false","false","none","611.1299999999999","1003.3739497876006","90","32","86","19","49","13","37","23","13","32","0","17","87","104","20","12","8","22","68","49","4","30","15","36","9","4","14","10","8","6","5599.4166669999995","1845.50947","266","667","933","685","1557","527","341","655","249","904","1544","590","28","1119.8833333999999","96.1","21.82607","40","60.9075","3.21429","5.89073","8.96974","3.07143","5.62892","8.57108","1.75","3.20717","4.88352","1.32143","2.42174","3.68756","0.82143","1.50541","2.29227","1.14286","2.09448","3.18924","0.60714","1.11269","1.69428","3.10714","5.69437","8.67075","3.71429","6.80706","10.36503","0.71429","1.30905","1.99327","0.42857","0.78543","1.19596","1.75","3.20717","4.88352","0.32143","0.58907","0.89697","0.5","0.91634","1.39529","1.07143","1.96358","2.98991","1.28571","2.35629","3.58789","0.35714","0.65453","0.99664","0.28571","0.52362","0.79731","0.28571","0.52362","0.79731","0.78571","1.43996","2.1926","2.42857","4.45077","6.77713","0.14286","0.26181","0.39865","0.37209","0.38776","0.35135","0.43023","0.56522","0.44767","0.46826","0.26744","0.15116","0.03382","0.17405","0.10374","1.45455","0.09362","0.21316","0.02305","0.09302","0.56977","0.01986","0.18625","0.10163","0.47059","0.29412","0.17647","0.28571","0.41667","0.75","0.042910000000000004","0.92118","53.25","true","0","0.28","0.3","0.19","0.64","0.43","0.12","0.3","0.22","0.54","0.36","0.37","0.21","0.81","0.65","0.94","0.88","0.69","0.3","0.78","0.92","0.49","0.84","0.03","0.72","0.11","0.2","0.16","0.98","0.47","1","0.72","0.23","0.05","0.05","0.25","0.04","0.05","0.32","0.17","0.18","0.26","0.15","0.16","0.3","0.17","0.18","0.43","0.36","0.37","0.66","0.63","0.64","0.8","0.9","0.92","0.77","0.85","0.87","0.51","0.48","0.5","0.91","0.91","0.92","0.62","0.67","0.69","0.23","0.15","0.15","0.33","0.22","0.23","0.29","0.17","0.18","0.33","0.21","0.22","0.2","0.11","0.11","0.25","0.14","0.15","0.3","0.1","0.47","0.5","0.49","0.69","0.84","0.83","0.11","0.11","0.09","0.43","0.45","0.44"
"30629-103399-1602883-season-0","30629","103399","1602883","season","0","Jalen Harris","0","73","G","true","Cal St. Fullerton","Titans","21-22","40","1","true","false","false","none","528.8399999999999","867.2861404058585","259","82","192","55","129","27","63","84","68","26","0","8","20","28","23","2","18","37","52","59","10","88","44","105","24","10","23","74","51","47","5599.4166669999995","1845.06108","268","667","935","693","1563","532","337","654","248","902","1542","582","28","1119.8833333999999","229","18.88714","40","60.97642","9.25","19.59005","29.86327","6.85714","14.52235","22.13802","4.60714","9.7572","14.87398","2.25","4.76515","7.26404","3","6.35353","9.68538","0.92857","1.96657","2.99786","0.28571","0.6051","0.92242","0.71429","1.51274","2.30604","1","2.11784","3.22846","0.82143","1.73966","2.65195","0.07143","0.15127","0.2306","2.10714","4.4626","6.80283","0.85714","1.81529","2.76725","0.82143","1.73966","2.65195","3.14286","6.65608","10.14659","3.75","7.94191","12.10673","2.64286","5.59716","8.53236","1.82143","3.8575","5.88041","0.64286","1.36147","2.07544","1.32143","2.79858","4.26618","1.85714","3.93314","5.99571","0.35714","0.75637","1.15302","0.42708","0.42636","0.42857","0.32813","0.80952","0.4974","0.5655","0.4375","0.35417","0.01837","0.04629","0.03228","0.7027","0.10601","0.08905","0.00441","0.09375","0.30729","0.0264","0.13912","0.26391","0.48077","0.44231","0.03846","0.43478","0.41905","0.92157","0.03081","0.40169","53.25","true","0","0.66","0.67","0.32","0.93","0.25","0.75","0.6","0.78","0.88","0.92","0.38","0.48","0.3","0.34","0.02","0.03","0.15","0.38","0.14","0.38","0.76","0.6","0.92","0.17","0.38","0.2","0.66","0.71","0.39","1","0.74","0.67","0.93","0.94","0.58","0.85","0.87","0.71","0.9","0.91","0.46","0.46","0.47","0.83","0.96","0.97","0.35","0.32","0.33","0.3","0.32","0.33","0.11","0.02","0.02","0.14","0.03","0.03","0.59","0.74","0.77","0.37","0.37","0.38","0.72","0.9","0.91","0.61","0.73","0.75","0.57","0.68","0.7","0.7","0.83","0.84","0.78","0.93","0.94","0.94","0.99","0.99","0.94","0.99","0.99","0.62","0.1","0.11","0.03","0.03","0.45","0.3","0.28","0.36","0.2","0.17","0.07","0.03","0.03"
"30629-103399-1602889-season-0","30629","103399","1602889","season","0","Dante Maddox Jr.","21","74","G","true","Cal St. Fullerton","Titans","21-22","40","1","true","false","true","latest","442.74","738.1119848925","156","58","137","43","77","15","60","35","25","24","0","17","43","60","20","3","3","29","33","36","5","68","34","64","24","13","22","30","19","16","4600","1518.71741","236","554","790","581","1304","452","267","536","211","747","1278","477","23","920","152.4","19.24957","40","59.98277","6.78261","14.09405","21.135","5.95652","12.37747","18.56087","3.34783","6.95668","10.43202","2.6087","5.42079","8.12885","1.52174","3.16213","4.74183","1.04348","2.16832","3.25154","0.73913","1.53589","2.30317","1.86957","3.8849","5.82567","2.6087","5.42079","8.12885","0.86957","1.80693","2.70962","0.13043","0.27104","0.40644","1.56522","3.25247","4.87731","1.04348","2.16832","3.25154","0.95652","1.98762","2.98058","2.95652","6.14356","9.21269","2.78261","5.78217","8.67077","1.30435","2.71039","4.06442","0.82609","1.71658","2.57414","0.13043","0.27104","0.40644","1.26087","2.62005","3.92894","1.43478","2.98143","4.47087","0.21739","0.45173","0.6774","0.42336","0.55844","0.25","0.43796","0.71429","0.4781","0.51181","0.25547","0.18248","0.04576","0.1168","0.08112","0.82759","0.1083","0.11685","0.00778","0.0219","0.26277","0.02736","0.15987","0.21298","0.69697","0.60606","0.09091","0.59091","0.53125","0.84211","0.03514","0.5085","53.25","true","0","0.45","0.64","0.87","0.2","0.45","0.41","0.47","0.46","0.5","0.48","0.69","0.73","0.56","0.79","0.59","0.68","0.24","0.4","0.31","0.57","0.79","0.71","0.67","0.3","0.79","0.61","0.36","0.57","0.4","1","0.57","0.49","0.62","0.63","0.51","0.65","0.67","0.55","0.66","0.67","0.53","0.56","0.56","0.53","0.59","0.6","0.39","0.38","0.38","0.75","0.77","0.78","0.46","0.54","0.55","0.54","0.65","0.66","0.63","0.78","0.79","0.54","0.56","0.57","0.56","0.69","0.69","0.71","0.84","0.84","0.65","0.78","0.78","0.67","0.78","0.79","0.65","0.77","0.78","0.66","0.78","0.79","0.63","0.74","0.75","0.47","0.85","0.75","0.8","0.8","0.48","0.37","0.36","0.58","0.49","0.49","0.25","0.18","0.17"
"30629-103399-954347-season-0","30629","103399","954347","season","0","Ibrahim Famouke Doumbia","14","79","F","true","Cal St. Fullerton","Titans","21-22","40","1","true","false","false","none","140.04000000000002","228.8789092464296","24","10","20","10","15","0","5","10","4","2","0","12","31","43","2","8","0","5","18","11","2","20","10","14","9","5","10","1","4","1","4599.4166669999995","1518.5942200000002","223","553","776","576","1292","429","281","541","198","739","1267","476","23","919.8833333999999","24.4","6.0887","40","61.18519","1.04348","6.85518","10.48589","0.86957","5.71265","8.73825","0.65217","4.28449","6.55368","0.21739","1.42816","2.18456","0.43478","2.85633","4.36912","0.08696","0.57127","0.87382","0.52174","3.42759","5.24295","1.34783","8.85461","13.54428","1.86957","12.28221","18.78723","0.08696","0.57127","0.87382","0.34783","2.28506","3.4953","0.47826","3.14196","4.80603","0.3913","2.57069","3.93221","0.43478","2.85633","4.36912","0.86957","5.71265","8.73825","0.6087","3.99886","6.11677","0.04348","0.28563","0.43691","0.17391","1.14253","1.74765","0","0","0","0.21739","1.42816","2.18456","0.78261","5.14139","7.86442","0.08696","0.57127","0.87382","0.5","0.66667","0","0.25","0.4","0.5","0.4918","0.5","0.2","0.10317","0.27115","0.18644","0.4","0.02574","0.06369","0.06643","0","0.55","0.00865","0.17007","0.10962","0.55556","0.11111","0.44444","0.5","0.71429","0.25","0.07508000000000001","0.23481","53.25","true","0","0.08","0.64","0.93","0.16","0.53","0.07","0.41","0.22","0.81","0.44","0.54","0.11","0.84","0.76","0.98","0.96","0.2","0.07","0.21","0.91","0.15","0.86","0.06","0.16","0.33","0.94","0.01","0.9","0.05","1","0.76","0.04","0.07","0.09","0.03","0.07","0.08","0.05","0.15","0.16","0.32","0.43","0.43","0.12","0.37","0.39","0.04","0.08","0.08","0.16","0.73","0.75","0.25","0.97","0.97","0.21","0.94","0.95","0.05","0.15","0.16","0.45","0.9","0.91","0.12","0.46","0.48","0.17","0.55","0.58","0.14","0.63","0.65","0.13","0.38","0.4","0.08","0.24","0.26","0.09","0.13","0.14","0.29","0.71","0.72","0.42","1","1","1","1","0.96","0.86","0.85","0.91","0.26","0.23","0.76","0.32","0.3"
"30629-103399-1612793-season-0","30629","103399","1612793","season","0","Lado Laku","1","82","F","true","Cal St. Fullerton","Titans","21-22","40","1","true","false","false","none","117.2","197.0246253375","34","8","23","8","23","0","0","24","18","1","0","11","5","16","0","6","2","10","24","16","5","16","8","22","6","5","11","2","2","2","3800","1270.2751399999997","210","471","681","470","1087","390","236","447","181","628","1073","394","19","760","33.6","6.16842","40","59.48495","1.78947","11.6041","17.25673","1.21053","7.84983","11.67367","1.21053","7.84983","11.67367","0","0","0","1.26316","8.19113","12.18122","0.05263","0.3413","0.50755","0.57895","3.75427","5.58306","0.26316","1.70648","2.53775","0.84211","5.46075","8.12081","0","0","0","0.31579","2.04778","3.0453","0.84211","5.46075","8.12081","0.31579","2.04778","3.0453","0.57895","3.75427","5.58306","0.84211","5.46075","8.12081","1.15789","7.50853","11.16612","0.10526","0.68259","1.0151","0.10526","0.68259","1.0151","0.10526","0.68259","1.0151","0.52632","3.41297","5.07551","1.26316","8.19113","12.18122","0.26316","1.70648","2.53775","0.34783","0.34783","","0","0.75","0.34783","0.50595","1.04348","0.78261","0.10857","0.04973","0.07926","0.1","0.01551","0.02244","0.0573","0.08696","0.69565","0","0.22957","0.18899","0.25","0","0.25","0.45455","0.36364","1","0.0573","0.08207","53.25","true","0","0.14","0.08","0.04","0.16","0.15","0.77","0.04","0.29","0.98","0.99","0.11","0.01","0.55","0.8","0.01","0.1","0.03","0.03","0.03","0.87","0.01","0.71","0.56","0.03","0.2","0.03","1","0.96","0.06","1","0.47","0.12","0.37","0.37","0.07","0.21","0.21","0.16","0.54","0.54","0.15","0.15","0.15","0.45","0.98","0.98","0.02","0.03","0.03","0.2","0.79","0.79","0","0.01","0.01","0.02","0.09","0.09","0.01","0.01","0.01","0.41","0.87","0.87","0.31","0.92","0.92","0.13","0.37","0.38","0.24","0.84","0.85","0.12","0.35","0.36","0.22","0.67","0.67","0.15","0.3","0.3","0.17","0.41","0.41","0.13","0.23","0.8","0.41","0.41","0.8","0.13","0.12","0.75","0.03","0.03","0.31","0.02","0.02"
