"_id","competitionId","teamId","playerId","scope","tournamentId","fullName","jerseyNum","height","position","hasImage","teamMarket","teamName","seasonLabel","conferenceId","divisionId","isLatest","isDraft","isTransfer","transferSeason","mins","poss","ptsScored","fgm","fga","fgm2","fga2","fgm3","fga3","fta","ftm","ast","defAst","orb","drb","reb","stl","blk","blkd","tov","pf","pfd","opf","pitp","pitpFgm","pitpFga","scp","scpFgm","scpFga","fbpts","fbptsFga","fbptsFgm","minsTm","dPossTm","orbTm","drbTm","rebTm","fgmTm","fgaTm","ftaTm","tovTm","drbAgst","orbAgst","rebAgst","fgaAgst","fga3Agst","gp","minsTmBy5","tsa","minsPg","minsP40","minsP100","ptsScoredPg","ptsScoredP40","ptsScoredP100","fgaPg","fgaP40","fgaP100","fga2Pg","fga2P40","fga2P100","fga3Pg","fga3P40","fga3P100","ftaPg","ftaP40","ftaP100","astPg","astP40","astP100","orbPg","orbP40","orbP100","drbPg","drbP40","drbP100","rebPg","rebP40","rebP100","stlPg","stlP40","stlP100","blkPg","blkP40","blkP100","pfdPg","pfdP40","pfdP100","scpPg","scpP40","scpP100","scpFgaPg","scpFgaP40","scpFgaP100","pitpPg","pitpP40","pitpP100","pitpFgaPg","pitpFgaP40","pitpFgaP100","fbptsPg","fbptsP40","fbptsP100","fbptsFgaPg","fbptsFgaP40","fbptsFgaP100","blkdPg","blkdP40","blkdP100","tovPg","tovP40","tovP100","pfPg","pfP40","pfP100","opfPg","opfP40","opfP100","fgPct","fg2Pct","fg3Pct","fga3Rate","ftPct","efgPct","tsPct","ftaRate","ftmRate","orbPct","drbPct","rebPct","astTov","astPct","astRatio","blkPct","blkdPerFga","pfdPerFga","stlPct","tovPct","usagePct","pfEff","stlPerPf","blkPerPf","scpFgPct","pitpFgPct","fbptsFgPct","hkmPct","astUsage","minsThreshold","isQualified","positionPctile","ptsScoredPctile","fgPctPctile","fg2PctPctile","fg3PctPctile","fga3RatePctile","ftPctPctile","efgPctPctile","tsPctPctile","ftaRatePctile","ftmRatePctile","pfEffPctile","stlPerPfPctile","blkPerPfPctile","orbPctPctile","drbPctPctile","rebPctPctile","astTovPctile","astPctPctile","astRatioPctile","blkPctPctile","stlPctPctile","hkmPctPctile","usagePctPctile","astUsagePctile","scpFgPctPctile","pitpFgPctPctile","fbptsFgPctPctile","pfdPerFgaPctile","minsPgPctile","minsP40Pctile","minsP100Pctile","ptsScoredPgPctile","ptsScoredP40Pctile","ptsScoredP100Pctile","fgaPgPctile","fgaP40Pctile","fgaP100Pctile","fga2PgPctile","fga2P40Pctile","fga2P100Pctile","fga3PgPctile","fga3P40Pctile","fga3P100Pctile","ftaPgPctile","ftaP40Pctile","ftaP100Pctile","astPgPctile","astP40Pctile","astP100Pctile","orbPgPctile","orbP40Pctile","orbP100Pctile","drbPgPctile","drbP40Pctile","drbP100Pctile","rebPgPctile","rebP40Pctile","rebP100Pctile","stlPgPctile","stlP40Pctile","stlP100Pctile","blkPgPctile","blkP40Pctile","blkP100Pctile","pfdPgPctile","pfdP40Pctile","pfdP100Pctile","scpPgPctile","scpP40Pctile","scpP100Pctile","scpFgaPgPctile","scpFgaP40Pctile","scpFgaP100Pctile","pitpPgPctile","pitpP40Pctile","pitpP100Pctile","pitpFgaPgPctile","pitpFgaP40Pctile","pitpFgaP100Pctile","fbptsPgPctile","fbptsP40Pctile","fbptsP100Pctile","fbptsFgaPgPctile","fbptsFgaP40Pctile","fbptsFgaP100Pctile","tovPctPctile","blkdPerFgaPctile","blkdPgPctile","blkdP40Pctile","blkdP100Pctile","tovPgPctile","tovP40Pctile","tovP100Pctile","pfPgPctile","pfP40Pctile","pfP100Pctile","opfPgPctile","opfP40Pctile","opfP100Pctile"
"30629-103389-933042-season-0","30629","103389","933042","season","0","Justin McCall","22","78","F","true","CSU Bakersfield","Roadrunners","21-22","40","1","true","false","false","none","710.6999999999998","1131.9992083450604","307","120","242","118","232","2","10","91","65","22","0","43","78","121","13","9","8","40","55","86","9","190","95","155","59","37","60","25","20","17","5399.5166659999995","1721.7608600000003","317","614","931","647","1540","470","316","637","210","847","1306","541","27","1079.9033332","282","26.32222","40","62.78273","11.37037","17.27874","27.12016","8.96296","13.62037","21.37811","8.59259","13.05755","20.49471","0.37037","0.56283","0.88339","3.37037","5.12171","8.03887","0.81481","1.23822","1.94346","1.59259","2.42015","3.79859","2.88889","4.39004","6.89046","4.48148","6.81019","10.68905","0.48148","0.73167","1.14841","0.33333","0.50654","0.79505","3.18519","4.8403","7.59718","2.18519","3.32067","5.21202","2.22222","3.37695","5.30036","7.03704","10.69368","16.78446","5.74074","8.72379","13.69259","0.92593","1.40706","2.20848","0.74074","1.12565","1.76679","0.2963","0.45026","0.70671","1.48148","2.2513","3.53357","2.03704","3.09554","4.85866","0.33333","0.50654","0.79505","0.49587","0.50862","0.2","0.04132","0.71429","0.5","0.54433","0.37603","0.2686","0.06849","0.14384","0.10341","0.55","0.07194","0.06395","0.01788","0.03306","0.35537","0.01147","0.12421","0.23722","0.4","0.23636","0.16364","0.61667","0.6129","0.85","0.02935","0.30326","53.25","true","0","0.82","0.61","0.4","0.27","0.28","0.66","0.41","0.47","0.6","0.69","0.31","0.43","0.34","0.41","0.36","0.31","0.34","0.47","0.21","0.34","0.29","0.25","0.84","0.27","0.65","0.69","0.5","0.6","0.79","1","0.91","0.86","0.82","0.87","0.86","0.84","0.89","0.94","0.94","0.96","0.38","0.3","0.31","0.89","0.82","0.85","0.6","0.34","0.38","0.73","0.42","0.47","0.6","0.22","0.27","0.63","0.26","0.32","0.54","0.25","0.29","0.44","0.25","0.27","0.9","0.85","0.88","0.88","0.77","0.8","0.89","0.78","0.81","0.9","0.84","0.87","0.88","0.8","0.85","0.77","0.65","0.68","0.81","0.7","0.73","0.78","0.79","0.42","0.66","0.64","0.25","0.5","0.46","0.38","0.76","0.73","0.19","0.39","0.36"
"30629-103389-933032-season-0","30629","103389","933032","season","0","Justin Edler-Davis","10","76","G","true","CSU Bakersfield","Roadrunners","21-22","40","1","true","false","false","none","689.88","1096.9092131551786","232","91","220","66","147","25","73","31","25","16","0","55","118","173","25","2","4","26","77","46","3","68","34","67","60","34","56","22","16","13","5399.5166659999995","1721.76086","317","614","931","647","1540","470","316","637","210","847","1306","541","27","1079.9033332","233.6","25.55111","40","62.89308","8.59259","13.45161","21.15034","8.14815","12.75584","20.05635","5.44444","8.52322","13.40129","2.7037","4.23262","6.65506","1.14815","1.79741","2.82612","0.59259","0.9277","1.45864","2.03704","3.18896","5.01409","4.37037","6.84177","10.7575","6.40741","10.03073","15.77159","0.92593","1.44953","2.27913","0.07407","0.11596","0.18233","1.7037","2.66713","4.1936","2.22222","3.47887","5.46991","2.07407","3.24694","5.10525","2.51852","3.94271","6.19924","2.48148","3.88473","6.10807","0.81481","1.27558","2.00564","0.59259","0.9277","1.45864","0.14815","0.23192","0.36466","0.96296","1.50751","2.3703","2.85185","4.46454","7.01972","0.11111","0.17394","0.2735","0.41364","0.44898","0.34247","0.33182","0.80645","0.47045","0.49658","0.14091","0.11364","0.09025","0.22416","0.15231","0.61538","0.04964","0.05805","0.00409","0.01818","0.20909","0.02273","0.10014","0.19703","0.35065","0.32468","0.02597","0.60714","0.50746","0.8125","0.02682","0.25194","53.25","true","0","0.61","0.57","0.43","0.59","0.26","0.74","0.43","0.36","0.15","0.21","0.18","0.27","0.24","0.98","0.99","0.99","0.11","0.07","0.04","0.36","0.62","0.46","0.57","0.05","0.83","0.51","0.26","0.37","0.59","1","0.92","0.62","0.57","0.63","0.69","0.69","0.76","0.79","0.82","0.85","0.54","0.38","0.41","0.41","0.25","0.27","0.21","0.05","0.06","0.98","0.98","0.98","0.95","0.98","0.99","0.98","0.99","0.99","0.67","0.57","0.62","0.38","0.32","0.33","0.6","0.51","0.55","0.98","0.98","0.98","0.97","0.97","0.98","0.6","0.49","0.53","0.6","0.48","0.52","0.45","0.32","0.34","0.48","0.36","0.39","0.89","0.88","0.71","0.84","0.83","0.61","0.82","0.79","0.02","0.1","0.07","0.53","0.63","0.6"
"30629-103389-1694337-season-0","30629","103389","1694337","season","0","Kaleb Higgins","14","70","G","true","CSU Bakersfield","Roadrunners","21-22","40","1","true","false","false","none","653.48","1036.355049975769","260","92","262","63","164","29","98","62","47","64","0","12","37","49","26","0","11","30","43","64","2","70","35","90","31","16","30","18","22","16","5399.5166659999995","1721.76086","317","614","931","647","1540","470","316","637","210","847","1306","541","27","1079.9033332","289.3","24.20296","40","63.05561","9.62963","15.91479","25.08793","9.7037","16.03722","25.28091","6.07407","10.03856","15.82469","3.62963","5.99865","9.45622","2.2963","3.79507","5.98251","2.37037","3.91749","6.17549","0.44444","0.73453","1.1579","1.37037","2.2648","3.57021","1.81481","2.99933","4.72811","0.96296","1.59148","2.50879","0","0","0","2.37037","3.91749","6.17549","1.14815","1.89753","2.99125","1.11111","1.83632","2.8947599999999998","2.59259","4.28475","6.75444","3.33333","5.50897","8.68428","0.66667","1.10179","1.73686","0.81481","1.34664","2.12282","0.40741","0.67332","1.06141","1.11111","1.83632","2.8947599999999998","1.59259","2.63206","4.14916","0.07407","0.12242","0.19298","0.35115","0.38415","0.29592","0.37405","0.75806","0.40649","0.44936","0.23664","0.17939","0.02079","0.0742","0.04554","2.13333","0.21368","0.16698","0","0.04198","0.24427","0.02495","0.09396","0.25578","0.60465","0.60465","0","0.53333","0.38889","0.72727","0.02495","0.83541","53.25","true","0","0.67","0.2","0.18","0.34","0.33","0.57","0.16","0.16","0.43","0.47","0.57","0.73","0.18","0.41","0.15","0.14","0.92","0.85","0.58","0.18","0.72","0.39","0.89","0.65","0.66","0.14","0.13","0.51","0.54","1","0.93","0.69","0.76","0.82","0.8","0.92","0.96","0.83","0.91","0.94","0.68","0.63","0.68","0.71","0.72","0.76","0.77","0.78","0.81","0.51","0.43","0.46","0.31","0.09","0.11","0.34","0.11","0.15","0.69","0.66","0.72","0.18","0.18","0.18","0.78","0.83","0.86","0.76","0.76","0.8","0.72","0.72","0.76","0.61","0.55","0.59","0.73","0.74","0.78","0.38","0.25","0.27","0.62","0.57","0.62","0.91","0.58","0.31","0.34","0.3","0.54","0.7","0.66","0.5","0.65","0.58","0.66","0.73","0.71"
"30629-103389-1309503-season-0","30629","103389","1309503","season","0","Shawn Stith","32","80","F","true","CSU Bakersfield","Roadrunners","21-22","40","1","true","false","false","none","596.94","940.3585471289207","205","70","144","69","136","1","8","90","64","28","0","48","55","103","11","4","9","52","80","90","17","110","55","102","43","30","55","10","10","8","5399.5166659999995","1721.76086","317","614","931","647","1540","470","316","637","210","847","1306","541","27","1079.9033332","183.6","22.10889","40","63.48004","7.59259","13.73672","21.8002","5.33333","9.64921","15.31331","5.03704","9.11314","14.46257","0.2963","0.53607","0.85074","3.33333","6.03076","9.57082","1.03704","1.87624","2.97759","1.77778","3.2164","5.10444","2.03704","3.68546","5.84883","3.81481","6.90187","10.95327","0.40741","0.73709","1.16977","0.14815","0.26803","0.42537","3.33333","6.03076","9.57082","1.59259","2.88136","4.57272","2.03704","3.68546","5.84883","4.07407","7.37093","11.69767","3.77778","6.83486","10.84693","0.37037","0.67008","1.06342","0.37037","0.67008","1.06342","0.33333","0.60308","0.95708","1.92593","3.48444","5.52981","2.96296","5.36067","8.50739","0.62963","1.13914","1.80782","0.48611","0.50735","0.125","0.05556","0.71111","0.48958","0.55828","0.625","0.44444","0.09102","0.12075","0.1048","0.53846","0.09734","0.10622","0.00946","0.0625","0.625","0.01156","0.22071","0.20662","0.1875","0.1375","0.05","0.54545","0.53922","0.8","0.02102","0.47111","53.25","true","0","0.63","0.56","0.4","0.2","0.3","0.65","0.35","0.56","0.91","0.95","0.05","0.18","0.08","0.66","0.18","0.33","0.33","0.67","0.57","0.14","0.3","0.11","0.69","0.59","0.41","0.36","0.39","0.94","0.63","1","0.95","0.64","0.58","0.65","0.59","0.42","0.49","0.74","0.67","0.74","0.35","0.3","0.31","0.88","0.9","0.93","0.71","0.65","0.7","0.79","0.67","0.72","0.42","0.1","0.13","0.54","0.27","0.35","0.45","0.26","0.31","0.19","0.11","0.12","0.92","0.95","0.97","0.73","0.65","0.7","0.86","0.83","0.87","0.66","0.56","0.61","0.69","0.59","0.65","0.43","0.29","0.31","0.53","0.41","0.43","0.15","0.45","0.37","0.49","0.45","0.11","0.11","0.08","0.05","0.22","0.17","0.02","0.06","0.05"
"30629-103389-1600435-season-0","30629","103389","1600435","season","0","Cameron Smith","3","79","F","true","CSU Bakersfield","Roadrunners","21-22","40","1","true","false","false","none","466.12999999999994","740.9961440704308","158","57","141","55","124","2","17","53","42","12","0","36","60","96","17","14","4","23","69","47","5","64","32","67","32","20","40","18","18","16","5200.183333","1661.65219","306","591","897","632","1485","451","305","604","203","807","1261","524","26","1040.0366666","164.3","17.92808","40","62.90586","6.07692","13.55845","21.32265","5.42308","12.09963","19.02844","4.76923","10.64081","16.73423","0.65385","1.45882","2.29421","2.03846","4.54809","7.15253","0.46154","1.02976","1.61944","1.38462","3.08927","4.85832","2.30769","5.14878","8.09721","3.69231","8.23805","12.95553","0.65385","1.45882","2.29421","0.53846","1.20138","1.88935","1.80769","4.03321","6.34281","1.23077","2.74602","4.31851","1.53846","3.43252","5.39814","2.46154","5.49203","8.63702","2.57692","5.74947","9.04188","0.69231","1.54463","2.42916","0.69231","1.54463","2.42916","0.15385","0.34325","0.53981","0.88462","1.9737","3.10393","2.65385","5.92109","9.31179","0.19231","0.42906","0.67477","0.40426","0.44355","0.11765","0.12057","0.79245","0.41135","0.48083","0.37589","0.29787","0.08827","0.16861","0.1257","0.52174","0.05304","0.0602","0.04238","0.02837","0.33333","0.02283","0.12278","0.21019","0.44928","0.24638","0.2029","0.5","0.47761","0.88889","0.06521","0.25234","53.25","true","0","0.53","0.21","0.17","0.19","0.39","0.85","0.09","0.18","0.6","0.75","0.39","0.46","0.44","0.62","0.58","0.58","0.31","0.26","0.18","0.75","0.81","0.79","0.71","0.18","0.33","0.16","0.61","0.54","0.49","1","0.92","0.53","0.56","0.63","0.6","0.71","0.77","0.71","0.82","0.86","0.47","0.43","0.44","0.67","0.74","0.77","0.37","0.24","0.26","0.64","0.64","0.68","0.48","0.4","0.47","0.52","0.5","0.58","0.7","0.78","0.81","0.66","0.63","0.66","0.64","0.71","0.76","0.6","0.61","0.66","0.71","0.79","0.82","0.45","0.36","0.39","0.51","0.46","0.5","0.66","0.71","0.74","0.78","0.84","0.87","0.79","0.83","0.69","0.76","0.75","0.55","0.64","0.59","0.13","0.15","0.12","0.47","0.49","0.46"
"30629-103389-1694334-season-0","30629","103389","1694334","season","0","Dalph Panopio","13","73","G","true","CSU Bakersfield","Roadrunners","21-22","40","1","true","false","false","none","411.21999999999997","653.2800490944478","112","38","93","22","48","16","45","24","20","44","0","10","34","44","11","2","6","34","34","28","2","30","15","31","16","11","21","5","6","5","5199.5166659999995","1653.05086","303","590","893","621","1477","454","304","610","202","812","1257","523","26","1039.9033332","103.6","15.81615","40","62.94697","4.30769","10.89441","17.14426","3.57692","9.04625","14.23585","1.84615","4.66903","7.34754","1.73077","4.37722","6.88832","0.92308","2.33452","3.67377","1.69231","4.27995","6.73524","0.38462","0.97272","1.53074","1.30769","3.30723","5.20451","1.69231","4.27995","6.73524","0.42308","1.06999","1.68381","0.07692","0.19454","0.30615","1.07692","2.7236","4.28606","0.61538","1.55634","2.44918","0.80769","2.0427","3.21455","1.15385","2.91815","4.59221","1.19231","3.01542","4.74528","0.19231","0.48636","0.76537","0.23077","0.58363","0.91844","0.23077","0.58363","0.91844","1.30769","3.30723","5.20451","1.30769","3.30723","5.20451","0.07692","0.19454","0.30615","0.4086","0.45833","0.35556","0.48387","0.83333","0.49462","0.54054","0.25806","0.21505","0.0277","0.10856","0.06526","1.29412","0.21198","0.24234","0.00689","0.06452","0.30108","0.01683","0.24716","0.17562","0.38235","0.32353","0.05882","0.52381","0.48387","0.83333","0.02372","1.20704","53.25","true","0","0.34","0.53","0.48","0.66","0.54","0.83","0.58","0.65","0.51","0.62","0.22","0.26","0.41","0.55","0.51","0.46","0.59","0.84","0.86","0.52","0.35","0.35","0.41","0.88","0.63","0.39","0.34","0.69","0.31","1","0.93","0.32","0.35","0.4","0.3","0.27","0.33","0.34","0.35","0.39","0.35","0.4","0.44","0.34","0.39","0.42","0.6","0.83","0.86","0.43","0.56","0.59","0.3","0.37","0.43","0.31","0.41","0.47","0.27","0.31","0.35","0.39","0.44","0.46","0.4","0.52","0.57","0.48","0.62","0.66","0.56","0.79","0.83","0.31","0.34","0.37","0.31","0.34","0.36","0.1","0.07","0.08","0.19","0.17","0.18","0.1","0.29","0.55","0.43","0.39","0.45","0.17","0.13","0.65","0.37","0.31","0.65","0.59","0.56"
"30629-103389-1694377-season-0","30629","103389","1694377","season","0","Ivan Reynolds","23","76","G","true","CSU Bakersfield","Roadrunners","21-22","40","1","true","false","false","none","362.46999999999997","580.2887321170151","36","15","39","14","33","1","6","15","5","22","0","12","30","42","15","3","0","20","33","14","2","28","14","30","8","5","8","7","7","4","4799.516666","1535.39071","277","546","823","572","1359","431","286","564","193","757","1169","487","24","959.9033332000001","45.6","15.10292","40","62.46373","1.5","3.97274","6.20381","1.625","4.3038","6.72079","1.375","3.64168","5.68682","0.25","0.66212","1.03397","0.625","1.65531","2.58492","0.91667","2.42779","3.79122","0.5","1.32425","2.06794","1.25","3.31062","5.16984","1.75","4.63487","7.23778","0.625","1.65531","2.58492","0.125","0.33106","0.51698","0.58333","1.5449599999999999","2.41259","0.33333","0.88283","1.37862","0.33333","0.88283","1.37862","1.16667","3.08991","4.82518","1.25","3.31062","5.16984","0.29167","0.7724799999999999","1.2063","0.29167","0.7724799999999999","1.2063","0","0","0","0.83333","2.20708","3.44656","1.375","3.64168","5.68682","0.08333","0.22071","0.34466","0.38462","0.42424","0.16667","0.15385","0.33333","0.39744","0.39474","0.38462","0.12821","0.03779","0.10751","0.0704","1.1","0.10946","0.25114","0.01165","0","0.35897","0.02587","0.30488","0.09469","0.54545","0.45455","0.09091","0.625","0.46667","0.57143","0.03752","1.15598","53.25","true","0","0.12","0.38","0.31","0.07","0.05","0.02","0.14","0.08","0.82","0.26","0.48","0.5","0.56","0.7","0.49","0.55","0.45","0.41","0.88","0.73","0.74","0.76","0.02","0.86","0.85","0.32","0.04","0.81","0.29","1","0.89","0.06","0.02","0.02","0.08","0.01","0.02","0.25","0.22","0.24","0.03","0.02","0.02","0.23","0.21","0.23","0.35","0.45","0.49","0.57","0.71","0.73","0.28","0.37","0.43","0.32","0.5","0.55","0.44","0.69","0.75","0.53","0.64","0.66","0.2","0.16","0.18","0.24","0.28","0.3","0.2","0.2","0.22","0.31","0.37","0.39","0.33","0.39","0.42","0.16","0.14","0.15","0.25","0.26","0.28","0.03","1","1","1","1","0.67","0.54","0.5","0.62","0.27","0.22","0.63","0.53","0.51"
"30629-103389-1606122-season-0","30629","103389","1606122","season","0","David Walker","12","75","G","true","CSU Bakersfield","Roadrunners","21-22","40","1","true","false","true","latest","332.34999999999997","536.1265191077451","139","57","124","50","98","7","26","34","18","10","0","7","35","42","4","6","6","18","24","29","4","76","38","71","11","7","16","23","16","15","4600.183333","1480.1167200000002","274","525","799","564","1323","397","274","536","172","708","1109","459","23","920.0366666","139","14.45","40","61.99096","6.04348","16.72935","25.92672","5.3913","14.92403","23.12887","4.26087","11.79479","18.27927","1.13043","3.12923","4.8496","1.47826","4.09207","6.34179","0.43478","1.20355","1.86523","0.30435","0.84249","1.30566","1.52174","4.21243","6.52831","1.82609","5.05491","7.83397","0.17391","0.48142","0.74609","0.26087","0.72213","1.11914","1.26087","3.4903","5.40917","0.47826","1.32391","2.05175","0.69565","1.92568","2.98437","3.30435","9.14698","14.17576","3.08696","8.54521","13.24314","1","2.76817","4.29003","0.69565","1.92568","2.98437","0.26087","0.72213","1.11914","0.78261","2.16639","3.35742","1.04348","2.88852","4.47656","0.17391","0.48142","0.74609","0.45968","0.5102","0.26923","0.20968","0.52941","0.4879","0.5","0.27419","0.14516","0.02392","0.13901","0.07715","0.55556","0.06815","0.05989","0.02555","0.04839","0.23387","0.00748","0.11468","0.24525","0.41667","0.16667","0.25","0.4375","0.53521","0.9375","0.03303","0.27788","53.25","true","0","0.41","0.84","0.72","0.25","0.1","0.09","0.54","0.38","0.56","0.33","0.27","0.06","0.9","0.48","0.78","0.63","0.08","0.16","0.05","0.94","0.04","0.66","0.85","0.07","0.38","0.63","0.71","0.47","0.28","1","0.85","0.44","0.81","0.85","0.46","0.87","0.91","0.68","0.97","0.97","0.21","0.23","0.25","0.52","0.77","0.8","0.13","0.1","0.11","0.33","0.49","0.51","0.36","0.64","0.68","0.34","0.58","0.62","0.08","0.04","0.04","0.78","0.89","0.9","0.46","0.75","0.78","0.36","0.51","0.54","0.48","0.76","0.78","0.72","0.95","0.96","0.69","0.95","0.96","0.55","0.8","0.83","0.56","0.81","0.83","0.79","0.48","0.51","0.29","0.26","0.7","0.56","0.53","0.76","0.53","0.48","0.34","0.15","0.14"
"30629-103389-1600437-season-0","30629","103389","1600437","season","0","Grehlon Easter","5","75","G","true","CSU Bakersfield","Roadrunners","21-22","40","1","true","false","true","latest","302.31","479.94769080738865","39","14","50","14","36","0","14","12","11","15","0","11","16","27","8","1","1","13","35","18","1","14","7","17","6","5","10","4","3","3","4399.5166659999995","1399.32757","253","489","742","513","1241","389","258","522","161","683","1058","417","22","879.9033331999999","55.3","13.74136","40","62.98811","1.77273","5.16027","8.12589","2.27273","6.61573","10.4178","1.63636","4.76332","7.50082","0.63636","1.8524","2.91698","0.54545","1.58777","2.50027","0.68182","1.98472","3.12534","0.5","1.45546","2.29192","0.72727","2.11703","3.3337","1.22727","3.57249","5.62561","0.36364","1.05852","1.66685","0.04545","0.13231","0.20836","0.81818","2.38166","3.75041","0.27273","0.79389","1.25014","0.45455","1.32315","2.08356","0.63636","1.8524","2.91698","0.77273","2.24935","3.54205","0.18182","0.52926","0.83342","0.13636","0.39694","0.62507","0.04545","0.13231","0.20836","0.59091","1.72009","2.70863","1.59091","4.63101","7.29246","0.04545","0.13231","0.20836","0.28","0.38889","0","0.28","0.91667","0.28","0.35262","0.24","0.22","0.04131","0.07165","0.05515","1.15385","0.09245","0.18012","0.00454","0.02","0.36","0.01664","0.19039","0.11899","0.25714","0.22857","0.02857","0.5","0.41176","1","0.021179999999999997","0.77696","53.25","true","0","0.14","0.06","0.19","0.02","0.17","0.96","0.03","0.04","0.45","0.64","0.08","0.12","0.25","0.74","0.13","0.29","0.49","0.3","0.64","0.38","0.34","0.27","0.07","0.6","0.59","0.19","1","0.82","0.26","1","0.93","0.09","0.03","0.04","0.16","0.08","0.1","0.3","0.37","0.41","0.1","0.09","0.1","0.19","0.19","0.21","0.26","0.32","0.36","0.57","0.74","0.77","0.12","0.07","0.08","0.19","0.24","0.28","0.22","0.3","0.35","0.27","0.34","0.35","0.29","0.41","0.47","0.2","0.23","0.26","0.3","0.44","0.48","0.17","0.16","0.17","0.2","0.2","0.21","0.1","0.08","0.09","0.1","0.09","0.1","0.28","0.86","0.91","0.91","0.9","0.79","0.74","0.71","0.5","0.09","0.06","0.77","0.7","0.69"
"30629-103389-1600431-season-0","30629","103389","1600431","season","0","Travis Henson","2","78","F","true","CSU Bakersfield","Roadrunners","21-22","40","1","true","false","false","none","239.89000000000001","380.6599999104207","79","26","61","17","33","9","28","21","18","6","0","5","29","34","7","3","0","10","24","15","2","16","8","14","2","1","3","11","9","9","4999.3333330000005","1592.63019","299","566","865","597","1424","446","296","587","193","780","1203","494","25","999.8666666000001","70.2","9.5956","40","63.01949","3.16","13.1727","20.75343","2.44","10.17133","16.0248","1.32","5.50252","8.66915","1.12","4.66881","7.35565","0.84","3.5016","5.51673","0.24","1.00046","1.5762099999999999","0.2","0.83372","1.31351","1.16","4.83555","7.61835","1.36","5.66927","8.93186","0.28","1.1672","1.83891","0.12","0.50023","0.7881","0.6","2.50115","3.94052","0.08","0.33349","0.5254","0.12","0.50023","0.7881","0.64","2.66789","4.20323","0.56","2.3344","3.67782","0.44","1.83417","2.88972","0.36","1.50069","2.36431","0","0","0","0.4","1.66743","2.62702","0.96","4.00183","6.3048399999999996","0.08","0.33349","0.5254","0.42623","0.51515","0.32143","0.45902","0.85714","0.5","0.56268","0.34426","0.29508","0.02352","0.15925","0.08615","0.6","0.05118","0.06957","0.01764","0","0.2459","0.01832","0.12463","0.17453","0.41667","0.29167","0.125","0.33333","0.57143","1","0.03596","0.29324","53.25","true","0","0.3","0.3","0.44","0.59","0.78","0.95","0.41","0.59","0.54","0.75","0.34","0.58","0.25","0.03","0.49","0.14","0.41","0.25","0.25","0.33","0.65","0.37","0.43","0.25","0.07","0.48","1","0.31","0.2","1","0.93","0.29","0.53","0.59","0.26","0.48","0.55","0.2","0.27","0.3","0.57","0.75","0.78","0.29","0.51","0.56","0.16","0.22","0.25","0.03","0.04","0.04","0.19","0.31","0.39","0.11","0.11","0.14","0.31","0.61","0.66","0.15","0.25","0.27","0.19","0.3","0.34","0.02","0.02","0.02","0.02","0.01","0.02","0.08","0.09","0.11","0.07","0.08","0.09","0.49","0.79","0.81","0.52","0.83","0.86","0.78","1","1","1","1","0.87","0.77","0.73","0.85","0.53","0.45","0.77","0.62","0.59"
