"_id","competitionId","teamId","playerId","scope","tournamentId","fullName","jerseyNum","height","position","hasImage","teamMarket","teamName","seasonLabel","conferenceId","divisionId","isLatest","isDraft","isTransfer","transferSeason","mins","poss","ptsScored","fgm","fga","fgm2","fga2","fgm3","fga3","fta","ftm","ast","defAst","orb","drb","reb","stl","blk","blkd","tov","pf","pfd","opf","pitp","pitpFgm","pitpFga","scp","scpFgm","scpFga","fbpts","fbptsFga","fbptsFgm","minsTm","dPossTm","orbTm","drbTm","rebTm","fgmTm","fgaTm","ftaTm","tovTm","drbAgst","orbAgst","rebAgst","fgaAgst","fga3Agst","gp","minsTmBy5","tsa","minsPg","minsP40","minsP100","ptsScoredPg","ptsScoredP40","ptsScoredP100","fgaPg","fgaP40","fgaP100","fga2Pg","fga2P40","fga2P100","fga3Pg","fga3P40","fga3P100","ftaPg","ftaP40","ftaP100","astPg","astP40","astP100","orbPg","orbP40","orbP100","drbPg","drbP40","drbP100","rebPg","rebP40","rebP100","stlPg","stlP40","stlP100","blkPg","blkP40","blkP100","pfdPg","pfdP40","pfdP100","scpPg","scpP40","scpP100","scpFgaPg","scpFgaP40","scpFgaP100","pitpPg","pitpP40","pitpP100","pitpFgaPg","pitpFgaP40","pitpFgaP100","fbptsPg","fbptsP40","fbptsP100","fbptsFgaPg","fbptsFgaP40","fbptsFgaP100","blkdPg","blkdP40","blkdP100","tovPg","tovP40","tovP100","pfPg","pfP40","pfP100","opfPg","opfP40","opfP100","fgPct","fg2Pct","fg3Pct","fga3Rate","ftPct","efgPct","tsPct","ftaRate","ftmRate","orbPct","drbPct","rebPct","astTov","astPct","astRatio","blkPct","blkdPerFga","pfdPerFga","stlPct","tovPct","usagePct","pfEff","stlPerPf","blkPerPf","scpFgPct","pitpFgPct","fbptsFgPct","hkmPct","astUsage","minsThreshold","isQualified","positionPctile","ptsScoredPctile","fgPctPctile","fg2PctPctile","fg3PctPctile","fga3RatePctile","ftPctPctile","efgPctPctile","tsPctPctile","ftaRatePctile","ftmRatePctile","pfEffPctile","stlPerPfPctile","blkPerPfPctile","orbPctPctile","drbPctPctile","rebPctPctile","astTovPctile","astPctPctile","astRatioPctile","blkPctPctile","stlPctPctile","hkmPctPctile","usagePctPctile","astUsagePctile","scpFgPctPctile","pitpFgPctPctile","fbptsFgPctPctile","pfdPerFgaPctile","minsPgPctile","minsP40Pctile","minsP100Pctile","ptsScoredPgPctile","ptsScoredP40Pctile","ptsScoredP100Pctile","fgaPgPctile","fgaP40Pctile","fgaP100Pctile","fga2PgPctile","fga2P40Pctile","fga2P100Pctile","fga3PgPctile","fga3P40Pctile","fga3P100Pctile","ftaPgPctile","ftaP40Pctile","ftaP100Pctile","astPgPctile","astP40Pctile","astP100Pctile","orbPgPctile","orbP40Pctile","orbP100Pctile","drbPgPctile","drbP40Pctile","drbP100Pctile","rebPgPctile","rebP40Pctile","rebP100Pctile","stlPgPctile","stlP40Pctile","stlP100Pctile","blkPgPctile","blkP40Pctile","blkP100Pctile","pfdPgPctile","pfdP40Pctile","pfdP100Pctile","scpPgPctile","scpP40Pctile","scpP100Pctile","scpFgaPgPctile","scpFgaP40Pctile","scpFgaP100Pctile","pitpPgPctile","pitpP40Pctile","pitpP100Pctile","pitpFgaPgPctile","pitpFgaP40Pctile","pitpFgaP100Pctile","fbptsPgPctile","fbptsP40Pctile","fbptsP100Pctile","fbptsFgaPgPctile","fbptsFgaP40Pctile","fbptsFgaP100Pctile","tovPctPctile","blkdPerFgaPctile","blkdPgPctile","blkdP40Pctile","blkdP100Pctile","tovPgPctile","tovP40Pctile","tovP100Pctile","pfPgPctile","pfP40Pctile","pfP100Pctile","opfPgPctile","opfP40Pctile","opfP100Pctile"
"30629-103390-1601897-season-0","30629","103390","1601897","season","0","Atin Wright","4","73","G","true","CSUN","Matadors","21-22","40","1","true","false","false","none","984.3700000000001","1591.8322453275","420","136","377","83","203","53","174","114","95","46","0","22","42","64","33","1","11","53","59","99","10","102","51","105","43","21","34","107","77","69","5875","1900.27563","285","634","919","661","1632","489","351","774","308","1082","1596","614","29","1175","427.2","33.94379","40","61.8388","14.48276","17.06675","26.38469","13","15.31944","23.6834","7","8.24893","12.7526","6","7.07051","10.9308","3.93103","4.6324","7.16156","1.58621","1.86922","2.88975","0.75862","0.89397","1.38206","1.44828","1.70668","2.63847","2.2069","2.60065","4.02052","1.13793","1.34096","2.07308","0.03448","0.04064","0.06282","3.41379","4.02288","6.21925","1.48276","1.74731","2.70129","1.17241","1.38159","2.1359","3.51724","4.14478","6.40771","3.62069","4.26669","6.59617","3.68966","4.34796","6.72181","2.65517","3.1289","4.83719","0.37931","0.44699","0.69103","1.82759","2.15366","3.3295","2.03448","2.39747","3.70642","0.34483","0.40635","0.62821","0.36074","0.40887","0.3046","0.46154","0.83333","0.43103","0.49157","0.30239","0.25199","0.0248","0.05322","0.03818","0.86792","0.11011","0.08743","0.00122","0.02918","0.2626","0.02073","0.11038","0.26074","0.57627","0.55932","0.01695","0.61765","0.48571","0.8961","0.021949999999999997","0.4223","53.25","true","0","0.89","0.24","0.26","0.38","0.5","0.83","0.22","0.33","0.65","0.74","0.54","0.67","0.2","0.5","0.04","0.06","0.27","0.41","0.14","0.2","0.53","0.3","0.91","0.19","0.84","0.4","0.56","0.57","0.94","1","0.83","0.91","0.83","0.86","0.95","0.89","0.92","0.89","0.8","0.82","0.93","0.77","0.8","0.93","0.85","0.87","0.57","0.28","0.31","0.76","0.52","0.54","0.34","0.03","0.03","0.43","0.06","0.07","0.79","0.5","0.53","0.23","0.19","0.2","0.93","0.84","0.86","0.87","0.7","0.73","0.75","0.47","0.5","0.74","0.53","0.55","0.76","0.55","0.58","0.99","0.97","0.98","0.99","0.97","0.98","0.82","0.77","0.34","0.59","0.57","0.25","0.57","0.53","0.26","0.74","0.69","0.08","0.22","0.21"
"30629-103390-950379-season-0","30629","103390","950379","season","0","Elijah Hardy","0","74","G","true","CSUN","Matadors","21-22","40","1","true","false","false","none","930.37","1502.5035444275","361","140","365","96","225","44","140","58","37","84","0","16","103","119","45","1","10","69","54","49","1","74","37","86","39","18","43","60","43","37","6075","1957.2456300000003","295","657","952","678","1684","494","367","799","317","1116","1652","634","30","1215","390.5","31.01233","40","61.92132","12.03333","15.52071","24.02657","12.16667","15.69268","24.29279","7.5","9.67357","14.97501","4.66667","6.01911","9.31778","1.93333","2.49363","3.86022","2.8","3.61147","5.59067","0.53333","0.6879","1.06489","3.43333","4.42835","6.85523","3.96667","5.11624","7.92011","1.5","1.93471","2.995","0.03333","0.04299","0.06656","1.63333","2.10669","3.26122","1.3","1.67675","2.59567","1.43333","1.84873","2.86189","2.46667","3.18153","4.92511","2.86667","3.69745","5.72378","2","2.57962","3.99334","1.43333","1.84873","2.86189","0.33333","0.42994","0.66556","2.3","2.96656","4.59234","1.8","2.32166","3.594","0.03333","0.04299","0.06656","0.38356","0.42667","0.31429","0.38356","0.63793","0.44384","0.46223","0.1589","0.10137","0.0191","0.1381","0.07515","1.21739","0.22154","0.15455","0.00128","0.0274","0.13425","0.03003","0.15016","0.26455","0.85185","0.83333","0.01852","0.4186","0.43023","0.86047","0.031310000000000004","0.83742","53.25","true","0","0.82","0.37","0.32","0.43","0.34","0.22","0.28","0.2","0.2","0.17","0.83","0.9","0.21","0.36","0.77","0.61","0.54","0.86","0.52","0.2","0.85","0.61","0.92","0.65","0.33","0.23","0.43","0.12","0.82","1","0.84","0.82","0.73","0.77","0.93","0.91","0.94","0.92","0.89","0.91","0.82","0.63","0.67","0.64","0.43","0.46","0.83","0.72","0.75","0.6","0.39","0.41","0.85","0.69","0.74","0.81","0.6","0.63","0.92","0.82","0.85","0.22","0.2","0.2","0.58","0.33","0.36","0.82","0.68","0.7","0.86","0.73","0.76","0.59","0.39","0.4","0.66","0.46","0.48","0.86","0.75","0.78","0.87","0.79","0.81","0.54","0.79","0.41","0.61","0.59","0.12","0.25","0.21","0.39","0.76","0.72","0.83","0.85","0.85"
"30629-103390-981930-season-0","30629","103390","981930","season","0","Christian Gray","11","78","F","true","CSUN","Matadors","21-22","40","1","true","false","false","none","586.7799999999999","952.2792654166667","146","52","118","52","117","0","1","72","42","30","0","60","74","134","26","8","12","52","73","69","20","100","50","99","62","40","62","14","16","11","5675","1835.19359","282","611","893","642","1576","468","350","734","299","1033","1547","608","28","1135","149.7","20.95643","40","61.61848","5.21429","9.95262","15.33164","4.21429","8.0439","12.39132","4.17857","7.97573","12.28631","0.03571","0.06817","0.10501","2.57143","4.90814","7.56081","1.07143","2.04506","3.15034","2.14286","4.09012","6.30067","2.64286","5.04448","7.77083","4.78571","9.1346","14.0715","0.92857","1.77238","2.73029","0.28571","0.54535","0.84009","2.46429","4.70364","7.24577","2.21429","4.22646","6.5107","2.21429","4.22646","6.5107","3.57143","6.81686","10.50112","3.53571","6.7487","10.39611","0.5","0.95436","1.47016","0.57143","1.0907","1.68018","0.42857","0.81802","1.26013","1.85714","3.54477","5.46058","2.60714","4.97631","7.66582","0.71429","1.36337","2.10022","0.44068","0.44444","0","0.00847","0.58333","0.44068","0.48764","0.61017","0.35593","0.11423","0.15729","0.13458","0.57692","0.10718","0.12949","0.01648","0.10169","0.58475","0.0274","0.25783","0.18298","0.46575","0.35616","0.10959","0.64516","0.50505","0.6875","0.04388","0.58575","53.25","true","0","0.5","0.36","0.17","0.16","0.18","0.3","0.15","0.2","0.91","0.86","0.42","0.72","0.2","0.84","0.47","0.68","0.37","0.74","0.72","0.3","0.91","0.52","0.51","0.75","0.77","0.25","0.18","0.92","0.59","1","0.81","0.46","0.24","0.27","0.47","0.22","0.25","0.64","0.56","0.59","0.19","0.17","0.18","0.78","0.79","0.81","0.72","0.71","0.73","0.88","0.86","0.87","0.55","0.37","0.42","0.68","0.64","0.69","0.87","0.89","0.91","0.38","0.27","0.29","0.79","0.83","0.86","0.89","0.91","0.93","0.89","0.91","0.93","0.6","0.5","0.53","0.66","0.58","0.62","0.54","0.44","0.45","0.71","0.68","0.69","0.07","0.15","0.24","0.27","0.25","0.13","0.1","0.08","0.15","0.29","0.25","0.01","0.03","0.03"
"30629-103390-979832-season-0","30629","103390","979832","season","0","Onyi Eyisi","13","81","F","true","CSUN","Matadors","21-22","40","1","true","false","false","none","585.9699999999999","941.5043169308333","256","99","175","99","175","0","0","85","58","11","0","30","84","114","16","14","10","24","74","89","6","186","93","153","45","29","41","17","16","11","5475","1765.98702","256","608","864","610","1505","452","335","721","286","1007","1504","561","27","1095","212.4","21.70259","40","62.23763","9.48148","17.4753","27.19053","6.48148","11.946","18.58728","6.48148","11.946","18.58728","0","0","0","3.14815","5.80234","9.02811","0.40741","0.75089","1.16834","1.11111","2.04789","3.18639","3.11111","5.73408","8.92189","4.22222","7.78197","12.10828","0.59259","1.09221","1.69941","0.51852","0.95568","1.48698","3.2963","6.0754","9.45296","1.66667","3.07183","4.77959","1.51852","2.79878","4.35473","6.88889","12.6969","19.75562","5.66667","10.44422","16.25059","0.62963","1.16047","1.80562","0.59259","1.09221","1.69941","0.37037","0.68263","1.06213","0.88889","1.63831","2.54911","2.74074","5.05145","7.85976","0.22222","0.40958","0.63728","0.56571","0.56571","","0","0.68235","0.56571","0.60264","0.48571","0.33143","0.05738","0.17558","0.11386","0.45833","0.04837","0.04446","0.02774","0.05714","0.50857","0.01693","0.10152","0.21667","0.40541","0.21622","0.18919","0.70732","0.60784","0.6875","0.04467","0.22324","53.25","true","0","0.74","0.83","0.65","0.16","0.15","0.56","0.74","0.79","0.79","0.82","0.32","0.39","0.41","0.29","0.63","0.43","0.25","0.22","0.09","0.54","0.58","0.53","0.74","0.14","0.9","0.67","0.18","0.86","0.62","1","0.87","0.76","0.84","0.87","0.69","0.69","0.75","0.84","0.89","0.92","0.15","0.15","0.15","0.86","0.89","0.91","0.32","0.13","0.14","0.51","0.31","0.33","0.65","0.54","0.61","0.61","0.41","0.48","0.64","0.54","0.59","0.64","0.52","0.54","0.91","0.96","0.97","0.76","0.7","0.74","0.71","0.61","0.65","0.89","0.93","0.94","0.88","0.92","0.94","0.63","0.54","0.58","0.73","0.68","0.7","0.9","0.5","0.3","0.41","0.38","0.55","0.78","0.75","0.1","0.28","0.23","0.4","0.51","0.49"
"30629-103390-1601907-season-0","30629","103390","1601907","season","0","Fidelis Okereke","24","78","F","true","CSUN","Matadors","21-22","40","1","true","false","false","none","557.95","897.5088770491668","147","58","110","58","110","0","0","63","31","13","0","64","85","149","23","27","8","28","84","71","13","116","58","104","48","30","47","5","6","4","5875","1900.27563","285","634","919","661","1632","489","351","774","308","1082","1596","614","29","1175","137.7","19.23966","40","62.16652","5.06897","10.53858","16.37867","3.7931","7.88601","12.25615","3.7931","7.88601","12.25615","0","0","0","2.17241","4.51653","7.01943","0.44828","0.93198","1.44845","2.2069","4.58822","7.13085","2.93103","6.09374","9.47066","5.13793","10.68196","16.60151","0.7931","1.64889","2.56265","0.93103","1.93566","3.00833","2.44828","5.09006","7.91079","1.65517","3.44117","5.34814","1.62069","3.36948","5.23672","4","8.31616","12.92466","3.58621","7.45587","11.58763","0.17241","0.35846","0.5571","0.2069","0.43015","0.66852","0.27586","0.57353","0.89136","0.96552","2.00735","3.11975","2.89655","6.02204","9.35924","0.44828","0.93198","1.44845","0.52727","0.52727","","0","0.49206","0.52727","0.53377","0.57273","0.28182","0.12727","0.19002","0.15681","0.46429","0.05081","0.07274","0.0579","0.07273","0.64545","0.02549","0.16896","0.15877","0.59524","0.27381","0.32143","0.6383","0.55769","0.66667","0.08338999999999999","0.32002","53.25","true","0","0.5","0.71","0.49","0.16","0.15","0.13","0.54","0.42","0.89","0.72","0.62","0.53","0.69","0.9","0.73","0.85","0.25","0.24","0.29","0.87","0.87","0.9","0.3","0.3","0.74","0.44","0.17","0.95","0.53","1","0.86","0.46","0.29","0.32","0.43","0.21","0.24","0.58","0.55","0.59","0.15","0.15","0.15","0.69","0.73","0.76","0.36","0.2","0.21","0.89","0.91","0.93","0.61","0.63","0.69","0.72","0.83","0.87","0.81","0.85","0.87","0.87","0.85","0.86","0.79","0.89","0.91","0.75","0.79","0.82","0.74","0.78","0.81","0.65","0.66","0.69","0.67","0.66","0.7","0.23","0.16","0.16","0.33","0.23","0.25","0.43","0.34","0.45","0.52","0.5","0.51","0.63","0.59","0.07","0.14","0.12","0.07","0.1","0.1"
"30629-103390-951350-season-0","30629","103390","951350","season","0","Darius Beane","25","75","G","true","CSUN","Matadors","21-22","40","1","true","false","false","none","525.29","845.483620205","128","49","129","45","114","4","15","33","26","20","0","18","50","68","18","4","6","30","37","31","2","60","30","59","10","6","14","27","19","18","5075","1633.3200600000002","253","535","788","572","1421","397","306","665","262","927","1368","533","25","1015","143.5","21.0116","40","62.12894","5.12","9.747","15.13926","5.16","9.82315","15.25754","4.56","8.68092","13.48341","0.6","1.14223","1.77413","1.32","2.5129","3.90309","0.8","1.52297","2.36551","0.72","1.37067","2.12896","2","3.80742","5.91378","2.72","5.17809","8.04273","0.72","1.37067","2.12896","0.16","0.30459","0.4731","1.24","2.3606","3.66654","0.4","0.76148","1.18276","0.56","1.06608","1.65586","2.4","4.5689","7.09653","2.36","4.49276","6.97825","1.08","2.05601","3.19344","0.76","1.44682","2.24723","0.24","0.45689","0.70965","1.2","2.28445","3.54827","1.48","2.81749","4.37619","0.08","0.1523","0.23655","0.37984","0.39474","0.26667","0.11628","0.78788","0.39535","0.44599","0.25581","0.20155","0.03789","0.12122","0.07661","0.66667","0.08096","0.10335","0.00926","0.04651","0.24031","0.02129","0.17289","0.17631","0.59459","0.48649","0.10811","0.42857","0.50847","0.94737","0.03055","0.45919","53.25","true","0","0.39","0.35","0.21","0.24","0.03","0.67","0.13","0.16","0.5","0.57","0.56","0.55","0.63","0.7","0.64","0.63","0.13","0.23","0.22","0.64","0.56","0.59","0.42","0.24","0.37","0.52","0.74","0.49","0.45","1","0.86","0.38","0.25","0.28","0.43","0.36","0.41","0.7","0.83","0.86","0.09","0.04","0.04","0.47","0.44","0.47","0.31","0.19","0.21","0.74","0.72","0.74","0.51","0.52","0.58","0.56","0.61","0.65","0.52","0.52","0.56","0.61","0.61","0.63","0.45","0.4","0.45","0.3","0.21","0.23","0.38","0.3","0.32","0.58","0.6","0.63","0.58","0.59","0.62","0.57","0.6","0.64","0.59","0.62","0.65","0.38","0.51","0.54","0.58","0.56","0.5","0.51","0.46","0.56","0.56","0.51","0.64","0.67","0.65"
"30629-103390-1601896-season-0","30629","103390","1601896","season","0","Kailen Rains","3","78","G","true","CSUN","Matadors","21-22","40","1","true","false","false","none","493.28000000000003","788.0848641366666","70","24","84","13","50","11","34","15","11","13","0","1","37","38","18","1","5","20","38","19","7","12","6","25","0","0","1","15","10","10","5875","1897.9056300000002","284","635","919","654","1623","486","361","773","299","1072","1592","612","29","1175","90.6","17.00966","40","62.59224","2.41379","5.67629","8.88229","2.89655","6.81155","10.65875","1.72414","4.05449","6.34449","1.17241","2.75705","4.31426","0.51724","1.21635","1.90335","0.44828","1.05417","1.64957","0.03448","0.08109","0.12689","1.27586","3.00032","4.69493","1.31034","3.08141","4.82182","0.62069","1.45962","2.28402","0.03448","0.08109","0.12689","0.65517","1.54071","2.41091","0","0","0","0.03448","0.08109","0.12689","0.41379","0.97308","1.52268","0.86207","2.02725","3.17225","0.51724","1.21635","1.90335","0.34483","0.8109","1.2689","0.17241","0.40545","0.63445","0.68966","1.6218","2.5378","1.31034","3.08141","4.82182","0.24138","0.56763","0.88823","0.28571","0.26","0.32353","0.40476","0.73333","0.35119","0.38631","0.17857","0.13095","0.00225","0.09436","0.04546","0.65","0.05188","0.10518","0.00243","0.05952","0.22619","0.02259","0.18083","0.11987","0.5","0.47368","0.02632","0","0.24","1","0.02502","0.4328","53.25","true","0","0.23","0.06","0.03","0.48","0.38","0.47","0.07","0.07","0.24","0.27","0.42","0.53","0.24","0.03","0.36","0.13","0.12","0.08","0.23","0.26","0.61","0.39","0.07","0.2","0.03","0.03","1","0.44","0.34","1","0.9","0.16","0.04","0.05","0.23","0.09","0.11","0.32","0.27","0.3","0.22","0.19","0.2","0.18","0.11","0.12","0.14","0.07","0.08","0.03","0.03","0.03","0.29","0.28","0.32","0.21","0.12","0.16","0.44","0.58","0.62","0.23","0.26","0.26","0.23","0.16","0.18","0.05","0.05","0.05","0.02","0.01","0.01","0.1","0.06","0.06","0.22","0.16","0.18","0.3","0.29","0.31","0.3","0.29","0.31","0.33","0.34","0.67","0.65","0.62","0.74","0.78","0.75","0.65","0.45","0.4","0.21","0.1","0.08"
"30629-103390-1331572-season-0","30629","103390","1331572","season","0","Miles James","33","78","G","true","CSUN","Matadors","21-22","40","1","true","false","false","none","472.35","752.8101958750001","99","41","111","31","73","10","38","15","7","20","0","16","52","68","14","3","7","22","66","17","3","44","22","46","19","10","21","7","6","4","5075","1639.7986899999999","264","553","817","574","1433","415","303","670","271","941","1375","529","25","1015","117.6","18.894","40","62.7449","3.96","8.38361","13.15073","4.44","9.39981","14.74475","2.92","6.18186","9.697","1.52","3.21795","5.04775","0.6","1.27024","1.99253","0.8","1.69366","2.65671","0.64","1.35493","2.12537","2.08","4.40351","6.90745","2.72","5.75844","9.03282","0.56","1.18556","1.8597","0.12","0.25405","0.39851","0.68","1.43961","2.25821","0.76","1.60898","2.52388","0.84","1.77834","2.78955","1.76","3.72605","5.84477","1.84","3.89542","6.11044","0.28","0.59278","0.92985","0.24","0.5081","0.79701","0.28","0.59278","0.92985","0.88","1.86303","2.92238","2.64","5.58908","8.76715","0.12","0.25405","0.39851","0.36937","0.42466","0.26316","0.34234","0.46667","0.41441","0.42092","0.13514","0.06306","0.03681","0.13561","0.08312","0.90909","0.08845","0.12531","0.00762","0.06306","0.15315","0.01835","0.15759","0.15635","0.25758","0.21212","0.04545","0.47619","0.47826","0.66667","0.02597","0.56572","53.25","true","0","0.31","0.28","0.31","0.23","0.27","0.04","0.18","0.11","0.14","0.07","0.08","0.1","0.33","0.69","0.76","0.71","0.3","0.28","0.36","0.56","0.42","0.43","0.26","0.38","0.48","0.37","0.09","0.17","0.39","1","0.92","0.3","0.15","0.18","0.37","0.31","0.36","0.5","0.57","0.62","0.3","0.25","0.27","0.21","0.12","0.14","0.31","0.24","0.26","0.69","0.72","0.74","0.53","0.69","0.75","0.56","0.7","0.76","0.38","0.39","0.43","0.52","0.54","0.56","0.24","0.14","0.15","0.56","0.64","0.68","0.58","0.69","0.74","0.45","0.46","0.49","0.46","0.49","0.52","0.16","0.09","0.1","0.2","0.13","0.15","0.48","0.3","0.48","0.42","0.38","0.64","0.68","0.65","0.05","0.03","0.02","0.5","0.46","0.44"
"30629-103390-933049-season-0","30629","103390","933049","season","0","Brendan Harrick","32","77","G","true","CSUN","Matadors","21-22","40","1","true","false","true","latest","457.54","755.6672577616666","119","46","129","24","54","22","75","6","5","11","0","20","51","71","6","14","7","15","31","11","2","40","20","35","34","16","26","15","7","7","4025","1328.19079","202","475","677","466","1157","331","243","545","213","758","1130","438","20","805","131.6","22.877","40","60.54781","5.95","10.40346","15.74767","6.45","11.2777","17.07101","2.7","4.7209","7.146","3.75","6.5568","9.925","0.3","0.52454","0.794","0.55","0.96166","1.45567","1","1.74848","2.64667","2.55","4.45863","6.749","3.55","6.20711","9.39567","0.3","0.52454","0.794","0.7","1.22394","1.85267","0.55","0.96166","1.45567","1.7","2.97242","4.49933","1.3","2.27303","3.44067","2","3.49696","5.29334","1.75","3.05984","4.63167","0.75","1.31136","1.985","0.35","0.61197","0.92633","0.35","0.61197","0.92633","0.75","1.31136","1.985","1.55","2.71015","4.10233","0.1","0.17485","0.26467","0.35659","0.44444","0.29333","0.5814","0.83333","0.44186","0.45213","0.04651","0.03876","0.04711","0.13042","0.08705","0.73333","0.05026","0.06978","0.03559","0.05426","0.08527","0.00795","0.10229","0.16692","0.64516","0.19355","0.45161","0.61538","0.57143","1","0.043539999999999995","0.3011","53.25","true","0","0.36","0.22","0.41","0.33","0.72","0.83","0.27","0.17","0.03","0.04","0.63","0.08","0.98","0.8","0.72","0.75","0.18","0.07","0.08","0.98","0.05","0.85","0.34","0.09","0.84","0.75","1","0.04","0.5","1","0.66","0.43","0.3","0.32","0.55","0.53","0.54","0.47","0.36","0.37","0.7","0.71","0.72","0.09","0.03","0.03","0.19","0.06","0.06","0.85","0.82","0.83","0.67","0.7","0.72","0.75","0.77","0.79","0.17","0.05","0.05","0.98","0.98","0.98","0.18","0.05","0.05","0.92","0.95","0.96","0.81","0.86","0.87","0.5","0.43","0.44","0.44","0.35","0.35","0.42","0.33","0.33","0.3","0.18","0.19","0.88","0.41","0.38","0.4","0.39","0.71","0.88","0.87","0.53","0.61","0.59","0.57","0.62","0.62"
"30629-103390-1601899-season-0","30629","103390","1601899","season","0","Marcel Stevens","12","74","G","true","CSUN","Matadors","21-22","40","1","true","false","false","none","244.44","386.99619446500003","36","10","28","5","14","5","14","13","11","14","0","6","13","19","8","0","1","13","26","16","1","8","4","11","4","3","6","4","3","3","4800","1547.5792499999998","223","503","726","531","1331","367","290","643","248","891","1314","494","24","960","33.7","10.185","40","63.16341","1.5","5.89102","9.30242","1.16667","4.5819","7.23521","0.58333","2.29095","3.61761","0.58333","2.29095","3.61761","0.54167","2.12731","3.35921","0.58333","2.29095","3.61761","0.25","0.98184","1.5504","0.54167","2.12731","3.35921","0.79167","3.10915","4.90961","0.33333","1.30911","2.0672","0","0","0","0.66667","2.61823","4.13441","0.16667","0.65456","1.0336","0.25","0.98184","1.5504","0.33333","1.30911","2.0672","0.45833","1.80003","2.84241","0.16667","0.65456","1.0336","0.125","0.49092","0.7752","0.04167","0.16364","0.2584","0.54167","2.12731","3.35921","1.08333","4.25462","6.71841","0.04167","0.16364","0.2584","0.35714","0.35714","0.35714","0.5","0.84615","0.44643","0.53412","0.46429","0.39286","0.02721","0.06798","0.04615","1.07692","0.11182","0.23057","0","0.03571","0.57143","0.0203","0.27825","0.10294","0.30769","0.30769","0","0.5","0.36364","1","0.0203","1.08626","53.25","true","0","0.12","0.22","0.12","0.67","0.57","0.86","0.29","0.61","0.91","0.95","0.13","0.24","0.18","0.54","0.1","0.14","0.43","0.42","0.83","0.18","0.51","0.24","0.03","0.83","0.59","0.1","1","0.98","0.16","1","0.94","0.06","0.05","0.06","0.04","0.02","0.02","0.07","0.08","0.09","0.09","0.13","0.15","0.19","0.32","0.36","0.21","0.41","0.45","0.25","0.56","0.59","0.06","0.07","0.09","0.08","0.13","0.17","0.2","0.48","0.53","0.18","0.18","0.18","0.24","0.49","0.54","0.11","0.17","0.18","0.12","0.25","0.28","0.07","0.09","0.1","0.1","0.13","0.15","0.09","0.11","0.12","0.1","0.12","0.14","0.06","0.68","0.92","0.89","0.89","0.82","0.58","0.52","0.75","0.14","0.1","0.78","0.65","0.63"
