"_id","competitionId","teamId","playerId","scope","tournamentId","fullName","jerseyNum","height","position","hasImage","teamMarket","teamName","seasonLabel","conferenceId","divisionId","isLatest","isDraft","isTransfer","transferSeason","mins","poss","ptsScored","fgm","fga","fgm2","fga2","fgm3","fga3","fta","ftm","ast","defAst","orb","drb","reb","stl","blk","blkd","tov","pf","pfd","opf","pitp","pitpFgm","pitpFga","scp","scpFgm","scpFga","fbpts","fbptsFga","fbptsFgm","minsTm","dPossTm","orbTm","drbTm","rebTm","fgmTm","fgaTm","ftaTm","tovTm","drbAgst","orbAgst","rebAgst","fgaAgst","fga3Agst","gp","minsTmBy5","tsa","minsPg","minsP40","minsP100","ptsScoredPg","ptsScoredP40","ptsScoredP100","fgaPg","fgaP40","fgaP100","fga2Pg","fga2P40","fga2P100","fga3Pg","fga3P40","fga3P100","ftaPg","ftaP40","ftaP100","astPg","astP40","astP100","orbPg","orbP40","orbP100","drbPg","drbP40","drbP100","rebPg","rebP40","rebP100","stlPg","stlP40","stlP100","blkPg","blkP40","blkP100","pfdPg","pfdP40","pfdP100","scpPg","scpP40","scpP100","scpFgaPg","scpFgaP40","scpFgaP100","pitpPg","pitpP40","pitpP100","pitpFgaPg","pitpFgaP40","pitpFgaP100","fbptsPg","fbptsP40","fbptsP100","fbptsFgaPg","fbptsFgaP40","fbptsFgaP100","blkdPg","blkdP40","blkdP100","tovPg","tovP40","tovP100","pfPg","pfP40","pfP100","opfPg","opfP40","opfP100","fgPct","fg2Pct","fg3Pct","fga3Rate","ftPct","efgPct","tsPct","ftaRate","ftmRate","orbPct","drbPct","rebPct","astTov","astPct","astRatio","blkPct","blkdPerFga","pfdPerFga","stlPct","tovPct","usagePct","pfEff","stlPerPf","blkPerPf","scpFgPct","pitpFgPct","fbptsFgPct","hkmPct","astUsage","minsThreshold","isQualified","positionPctile","ptsScoredPctile","fgPctPctile","fg2PctPctile","fg3PctPctile","fga3RatePctile","ftPctPctile","efgPctPctile","tsPctPctile","ftaRatePctile","ftmRatePctile","pfEffPctile","stlPerPfPctile","blkPerPfPctile","orbPctPctile","drbPctPctile","rebPctPctile","astTovPctile","astPctPctile","astRatioPctile","blkPctPctile","stlPctPctile","hkmPctPctile","usagePctPctile","astUsagePctile","scpFgPctPctile","pitpFgPctPctile","fbptsFgPctPctile","pfdPerFgaPctile","minsPgPctile","minsP40Pctile","minsP100Pctile","ptsScoredPgPctile","ptsScoredP40Pctile","ptsScoredP100Pctile","fgaPgPctile","fgaP40Pctile","fgaP100Pctile","fga2PgPctile","fga2P40Pctile","fga2P100Pctile","fga3PgPctile","fga3P40Pctile","fga3P100Pctile","ftaPgPctile","ftaP40Pctile","ftaP100Pctile","astPgPctile","astP40Pctile","astP100Pctile","orbPgPctile","orbP40Pctile","orbP100Pctile","drbPgPctile","drbP40Pctile","drbP100Pctile","rebPgPctile","rebP40Pctile","rebP100Pctile","stlPgPctile","stlP40Pctile","stlP100Pctile","blkPgPctile","blkP40Pctile","blkP100Pctile","pfdPgPctile","pfdP40Pctile","pfdP100Pctile","scpPgPctile","scpP40Pctile","scpP100Pctile","scpFgaPgPctile","scpFgaP40Pctile","scpFgaP100Pctile","pitpPgPctile","pitpP40Pctile","pitpP100Pctile","pitpFgaPgPctile","pitpFgaP40Pctile","pitpFgaP100Pctile","fbptsPgPctile","fbptsP40Pctile","fbptsP100Pctile","fbptsFgaPgPctile","fbptsFgaP40Pctile","fbptsFgaP100Pctile","tovPctPctile","blkdPerFgaPctile","blkdPgPctile","blkdP40Pctile","blkdP100Pctile","tovPgPctile","tovP40Pctile","tovP100Pctile","pfPgPctile","pfP40Pctile","pfP100Pctile","opfPgPctile","opfP40Pctile","opfP100Pctile"
"30629-103685-1331755-season-0","30629","103685","1331755","season","0","Noel Coleman","4","73","G","false","Hawaii","Rainbow Warriors","21-22","40","1","true","false","false","none","603.5500000000001","979.7500182150001","295","99","225","54","123","45","102","64","52","39","0","18","44","62","11","3","14","34","34","53","3","82","41","85","32","18","30","66","46","41","4000","1298.54144","189","538","727","498","1108","344","254","446","181","627","1139","360","20","800","253.2","30.1775","40","61.60245","14.75","19.55099","30.10972","11.25","14.91177","22.96504","6.15","8.15177","12.55422","5.1","6.76","10.41082","3.2","4.24157","6.53228","1.95","2.58471","3.98061","0.9","1.19294","1.8372","2.2","2.91608","4.49094","3.1","4.10902","6.32814","0.55","0.72902","1.12274","0.15","0.19882","0.3062","2.65","3.51255","5.40954","1.6","2.12079","3.26614","1.5","1.98824","3.06201","4.1","5.43451","8.36948","4.25","5.63334","8.67568","3.3","4.37412","6.73641","2.3","3.04863","4.69508","0.7","0.92784","1.42894","1.7","2.25333","3.47027","1.7","2.25333","3.47027","0.15","0.19882","0.3062","0.44","0.43902","0.44118","0.45333","0.8125","0.54","0.58254","0.28444","0.23111","0.03757","0.08111","0.06069","1.14706","0.14094","0.11957","0.0051","0.06222","0.23556","0.01123","0.1184","0.25151","0.41176","0.32353","0.08824","0.6","0.48235","0.8913","0.01633","0.56038","53.25","true","0","0.73","0.75","0.38","0.95","0.48","0.76","0.82","0.85","0.6","0.68","0.26","0.26","0.55","0.7","0.21","0.39","0.48","0.57","0.32","0.42","0.14","0.14","0.88","0.38","0.81","0.39","0.55","0.48","0.78","1","0.81","0.92","0.93","0.95","0.89","0.87","0.9","0.84","0.79","0.81","0.86","0.73","0.76","0.86","0.8","0.82","0.68","0.5","0.52","0.83","0.66","0.68","0.57","0.25","0.28","0.65","0.36","0.4","0.37","0.12","0.14","0.59","0.45","0.46","0.83","0.75","0.78","0.9","0.83","0.85","0.88","0.78","0.8","0.8","0.71","0.74","0.82","0.76","0.78","0.98","0.97","0.98","0.98","0.97","0.98","0.77","0.31","0.09","0.15","0.13","0.3","0.52","0.49","0.45","0.79","0.76","0.4","0.58","0.56"
"30629-103685-952739-season-0","30629","103685","952739","season","0","Jerome Desrosiers","22","79","F","true","Hawaii","Rainbow Warriors","21-22","40","1","true","false","false","none","582.85","919.7449985675","184","68","143","47","76","21","67","34","27","24","0","25","75","100","11","1","4","35","31","40","5","88","44","71","30","17","24","22","14","14","3600","1138.34284","166","453","619","396","942","316","235","413","140","553","981","261","18","720","158","32.38056","40","63.37083","10.22222","12.62761","20.00555","7.94444","9.81385","15.547789999999999","4.22222","5.21575","8.26316","3.72222","4.5981","7.28463","1.88889","2.33336","3.69668","1.33333","1.64708","2.60942","1.38889","1.71571","2.71814","4.16667","5.14712","8.15443","5.55556","6.86283","10.87258","0.61111","0.75491","1.19598","0.05556","0.06863","0.10873","2.22222","2.74513","4.34903","1.66667","2.05885","3.26177","1.33333","1.64708","2.60942","4.88889","6.03929","9.56787","3.94444","4.87261","7.71953","1.22222","1.50982","2.39197","0.77778","0.9608","1.52216","0.22222","0.27451","0.4349","1.94444","2.40199","3.8054","1.72222","2.12748","3.3705","0.27778","0.34314","0.54363","0.47552","0.61842","0.31343","0.46853","0.79412","0.54895","0.58228","0.23776","0.18881","0.05334","0.15624","0.1054","0.68571","0.09502","0.11062","0.00172","0.02797","0.27972","0.01194","0.18138","0.18112","0.3871","0.35484","0.03226","0.70833","0.61972","1","0.013659999999999999","0.52462","53.25","true","0","0.58","0.52","0.84","0.56","0.79","0.86","0.66","0.7","0.27","0.4","0.29","0.72","0.05","0.25","0.46","0.33","0.49","0.66","0.6","0.04","0.32","0.04","0.49","0.67","0.9","0.73","1","0.4","0.96","1","0.94","0.81","0.48","0.55","0.81","0.44","0.51","0.64","0.24","0.28","0.9","0.74","0.77","0.64","0.25","0.28","0.82","0.55","0.6","0.65","0.21","0.25","0.82","0.4","0.48","0.77","0.26","0.34","0.67","0.28","0.32","0.06","0.04","0.04","0.74","0.37","0.42","0.76","0.38","0.43","0.64","0.19","0.23","0.75","0.42","0.46","0.71","0.34","0.38","0.86","0.69","0.73","0.82","0.6","0.64","0.34","0.83","0.55","0.83","0.82","0.11","0.44","0.38","0.55","0.95","0.94","0.29","0.6","0.58"
"30629-103685-1442778-season-0","30629","103685","1442778","season","0","Junior Madut","0","78","G","true","Hawaii","Rainbow Warriors","21-22","40","1","true","false","false","none","561.9599999999999","887.01995769","193","66","160","41","91","25","69","53","36","33","0","21","67","88","6","6","8","39","52","51","3","66","33","68","25","12","25","33","26","21","3600","1138.34284","166","453","619","396","942","316","235","413","140","553","981","261","18","720","183.3","31.22","40","63.3537","10.72222","13.73763","21.75825","8.88889","11.38871","18.03793","5.05556","6.47733","10.25907","3.83333","4.91138","7.77886","2.94444","3.77251","5.97506","1.83333","2.34892","3.72032","1.16667","1.49477","2.36748","3.72222","4.76902","7.55338","4.88889","6.26379","9.92086","0.33333","0.42708","0.67642","0.33333","0.42708","0.67642","2.83333","3.63015","5.74959","1.38889","1.77949","2.81843","1.38889","1.77949","2.81843","3.66667","4.69784","7.44064","3.77778","4.8402","7.66612","1.83333","2.34892","3.72032","1.44444","1.85067","2.93116","0.44444","0.56944","0.9019","2.16667","2.776","4.39674","2.88889","3.70133","5.86233","0.16667","0.21354","0.33821","0.4125","0.45055","0.36232","0.43125","0.67925","0.49062","0.52646","0.33125","0.225","0.04647","0.14476","0.0962","0.84615","0.13576","0.12925","0.01068","0.05","0.31875","0.00675","0.17542","0.21644","0.23077","0.11538","0.11538","0.48","0.48529","0.80769","0.01743","0.62724","53.25","true","0","0.52","0.56","0.44","0.7","0.43","0.31","0.56","0.56","0.71","0.66","0.06","0.02","0.65","0.79","0.8","0.84","0.25","0.55","0.38","0.69","0.03","0.16","0.7","0.46","0.5","0.4","0.25","0.73","0.83","1","0.95","0.75","0.59","0.67","0.74","0.54","0.63","0.75","0.61","0.66","0.72","0.48","0.53","0.83","0.71","0.76","0.65","0.43","0.47","0.9","0.76","0.79","0.89","0.77","0.82","0.91","0.78","0.84","0.2","0.03","0.03","0.86","0.74","0.76","0.87","0.78","0.82","0.85","0.71","0.76","0.84","0.69","0.74","0.75","0.61","0.66","0.79","0.64","0.7","0.82","0.7","0.74","0.88","0.79","0.82","0.37","0.46","0.26","0.45","0.41","0.14","0.31","0.25","0.02","0.25","0.19","0.36","0.55","0.52"
"30629-103685-1587808-season-0","30629","103685","1587808","season","0","Jovon McClanahan","3","70","G","true","Hawaii","Rainbow Warriors","21-22","40","1","true","false","false","none","520.9200000000001","824.0521323875","129","40","104","25","61","15","43","47","34","66","0","10","35","45","13","0","3","36","43","52","1","32","16","32","6","2","5","21","17","14","3600","1138.34284","166","453","619","396","942","316","235","413","140","553","981","261","18","720","124.7","28.94","40","63.21445","7.16667","9.90555","15.65435","5.77778","7.98587","12.62056","3.38889","4.68402","7.40244","2.38889","3.30185","5.21812","2.61111","3.609","5.70352","3.66667","5.06796","8.0092","0.55556","0.76787","1.21352","1.94444","2.68755","4.2473","2.5","3.45543","5.46082","0.72222","0.99823","1.57757","0","0","0","2.88889","3.99294","6.31028","0.33333","0.46072","0.72811","0.27778","0.38394","0.60676","1.77778","2.45719","3.88325","1.77778","2.45719","3.88325","1.16667","1.61253","2.54838","0.94444","1.30538","2.06298","0.16667","0.23036","0.36405","2","2.76434","4.36866","2.38889","3.30185","5.21812","0.05556","0.07679","0.12135","0.38462","0.40984","0.34884","0.41346","0.7234","0.45673","0.51724","0.45192","0.32692","0.02387","0.08158","0.05307","1.83333","0.26774","0.29116","0","0.02885","0.5","0.01578","0.22405","0.16875","0.30233","0.30233","0","0.4","0.5","0.82353","0.01578","1.58661","53.25","true","0","0.39","0.38","0.26","0.63","0.39","0.43","0.35","0.49","0.9","0.89","0.12","0.23","0.18","0.48","0.21","0.26","0.84","0.94","0.94","0.18","0.3","0.12","0.35","0.96","0.3","0.49","0.29","0.96","0.72","1","0.94","0.52","0.26","0.31","0.49","0.17","0.22","0.56","0.35","0.4","0.49","0.26","0.28","0.77","0.69","0.73","0.92","0.91","0.93","0.63","0.45","0.48","0.49","0.18","0.23","0.51","0.21","0.26","0.52","0.26","0.3","0.18","0.18","0.18","0.87","0.84","0.87","0.24","0.11","0.12","0.15","0.03","0.04","0.46","0.25","0.29","0.45","0.23","0.26","0.61","0.45","0.48","0.69","0.55","0.59","0.16","0.78","0.68","0.84","0.83","0.2","0.31","0.26","0.12","0.38","0.31","0.75","0.81","0.8"
"30629-103685-950743-season-0","30629","103685","950743","season","0","Kamaka Hepa","44","82","F","true","Hawaii","Rainbow Warriors","21-22","40","1","true","false","false","none","495.42999999999995","782.472993405","162","51","122","23","51","28","71","38","32","21","0","19","70","89","8","14","4","34","33","34","7","28","14","31","26","16","29","19","16","14","3400","1075.49284","157","433","590","374","893","299","221","390","135","525","936","246","17","680","138.7","29.14294","40","63.31592","9.52941","13.07955","20.70359","7.17647","9.85003","15.59159","3","4.11764","6.5178","4.17647","5.73239","9.0738","2.23529","3.06804","4.8564","1.23529","1.6955","2.6838","1.11765","1.53402","2.4282","4.11765","5.65166","8.946","5.23529","7.18568","11.37419","0.47059","0.6459","1.0224","0.82353","1.13033","1.7892","2","2.74509","4.3452","1.52941","2.09919","3.3228","1.70588","2.3414","3.7062","1.64706","2.26066","3.5784","1.82353","2.50288","3.9618","1.11765","1.53402","2.4282","0.94118","1.29181","2.0448","0.23529","0.32295","0.5112","2","2.74509","4.3452","1.94118","2.66435","4.2174","0.41176","0.56517","0.8946","0.41803","0.45098","0.39437","0.58197","0.84211","0.53279","0.58399","0.31148","0.2623","0.04768","0.16915","0.10956","0.61765","0.09481","0.1084","0.02785","0.03279","0.27869","0.01021","0.19685","0.19033","0.66667","0.24242","0.42424","0.55172","0.45161","0.875","0.03806","0.49813","53.25","true","0","0.54","0.26","0.18","0.86","0.89","0.94","0.58","0.71","0.46","0.67","0.71","0.45","0.82","0.19","0.58","0.38","0.43","0.66","0.58","0.54","0.22","0.41","0.57","0.63","0.43","0.11","0.58","0.4","0.89","1","0.94","0.76","0.52","0.59","0.75","0.44","0.51","0.48","0.14","0.16","0.93","0.85","0.87","0.71","0.42","0.46","0.78","0.57","0.62","0.52","0.17","0.19","0.81","0.52","0.61","0.73","0.31","0.39","0.53","0.19","0.22","0.83","0.61","0.63","0.69","0.37","0.42","0.71","0.39","0.44","0.76","0.45","0.5","0.31","0.07","0.08","0.39","0.09","0.1","0.83","0.7","0.74","0.88","0.77","0.8","0.26","0.79","0.53","0.78","0.76","0.1","0.31","0.24","0.42","0.87","0.84","0.1","0.32","0.28"
"30629-103685-1311140-season-0","30629","103685","1311140","season","0","Bernardo Da Silva","5","81","F","true","Hawaii","Rainbow Warriors","21-22","40","1","true","false","false","none","383.86","600.6926346124999","130","51","103","51","103","0","0","42","28","15","0","24","63","87","8","16","10","15","35","41","2","80","40","76","37","21","31","10","7","6","3200","1002.24291","149","402","551","352","834","284","202","362","129","491","865","235","16","640","121.5","23.99125","40","63.9029","8.125","13.54661","21.64168","6.4375","10.73308","17.14687","6.4375","10.73308","17.14687","0","0","0","2.625","4.3766","6.99193","0.9375","1.56307","2.49712","1.5","2.50091","3.99539","3.9375","6.56489","10.48789","5.4375","9.06581","14.48328","0.5","0.83364","1.3318","1","1.66727","2.66359","2.5625","4.27239","6.82545","2.3125","3.85557","6.15956","1.9375","3.23034","5.16071","5","8.33637","13.31796","4.75","7.91955","12.65206","0.625","1.04205","1.66474","0.4375","0.72943","1.16532","0.625","1.04205","1.66474","0.9375","1.56307","2.49712","2.1875","3.64716","5.82661","0.125","0.20841","0.33295","0.49515","0.49515","","0","0.66667","0.49515","0.53498","0.40777","0.27184","0.07831","0.19781","0.13921","1","0.09368","0.09902","0.04234","0.09709","0.39806","0.01331","0.10991","0.196","0.68571","0.22857","0.45714","0.67742","0.52632","0.85714","0.055650000000000005","0.47796","53.25","true","0","0.45","0.61","0.34","0.16","0.15","0.53","0.37","0.42","0.65","0.7","0.73","0.42","0.84","0.51","0.78","0.72","0.75","0.65","0.51","0.75","0.39","0.7","0.61","0.6","0.85","0.31","0.53","0.7","0.69","1","0.96","0.67","0.56","0.65","0.69","0.55","0.64","0.84","0.83","0.87","0.15","0.15","0.15","0.79","0.7","0.76","0.66","0.51","0.57","0.69","0.45","0.51","0.79","0.73","0.81","0.75","0.63","0.73","0.57","0.34","0.39","0.89","0.79","0.82","0.81","0.76","0.81","0.91","0.87","0.91","0.84","0.74","0.8","0.76","0.66","0.71","0.8","0.72","0.79","0.63","0.48","0.52","0.6","0.45","0.47","0.87","0.17","0.08","0.14","0.1","0.52","0.81","0.77","0.31","0.61","0.54","0.66","0.77","0.75"
"30629-103685-1689369-season-0","30629","103685","1689369","season","0","Amoro Lado","1","74","G","true","Hawaii","Rainbow Warriors","21-22","40","1","true","false","false","none","265.26","421.39928045249997","85","29","76","13","26","16","50","14","11","5","0","3","17","20","4","0","2","15","16","13","3","20","10","19","14","8","9","9","6","5","3600","1138.34284","166","453","619","396","942","316","235","413","140","553","981","261","18","720","82.2","14.73667","40","62.94743","4.72222","12.81761","20.17089","4.22222","11.46045","18.03515","1.44444","3.92068","6.16992","2.77778","7.53977","11.86523","0.77778","2.11114","3.32226","0.27778","0.75398","1.18652","0.16667","0.45239","0.71191","0.94444","2.56352","4.03418","1.11111","3.01591","4.74609","0.22222","0.60318","0.94922","0","0","0","0.72222","1.96034","3.08496","0.77778","2.11114","3.32226","0.5","1.35716","2.13574","1.11111","3.01591","4.74609","1.05556","2.86511","4.50879","0.5","1.35716","2.13574","0.33333","0.90477","1.42383","0.11111","0.30159","0.47461","0.83333","2.26193","3.55957","0.88889","2.41273","3.79687","0.16667","0.45239","0.71191","0.38158","0.5","0.32","0.65789","0.78571","0.48684","0.51703","0.18421","0.14474","0.01406","0.07781","0.04632","0.33333","0.04277","0.04894","0","0.02632","0.17105","0.00954","0.15438","0.20039","0.25","0.25","0","0.88889","0.52632","0.83333","0.00954","0.21343","53.25","true","0","0.27","0.36","0.69","0.46","0.83","0.66","0.54","0.49","0.26","0.33","0.08","0.15","0.18","0.22","0.18","0.15","0.03","0.05","0.03","0.18","0.08","0.03","0.59","0.03","0.98","0.59","0.34","0.23","0.28","1","0.93","0.36","0.51","0.57","0.35","0.55","0.63","0.26","0.25","0.28","0.56","0.82","0.85","0.29","0.32","0.35","0.06","0.03","0.04","0.16","0.2","0.22","0.19","0.15","0.19","0.16","0.11","0.15","0.11","0.07","0.08","0.18","0.18","0.18","0.26","0.28","0.32","0.57","0.82","0.85","0.33","0.46","0.5","0.3","0.36","0.38","0.28","0.31","0.34","0.29","0.34","0.37","0.29","0.34","0.37","0.5","0.8","0.79","0.77","0.75","0.67","0.52","0.46","0.82","0.73","0.67","0.36","0.18","0.15"
"30629-103685-967287-season-0","30629","103685","967287","season","0","Mate Colina","11","84","C","true","Hawaii","Rainbow Warriors","21-22","40","1","true","false","false","none","251.39999999999995","402.00169393500005","104","37","79","32","62","5","17","31","25","3","0","18","36","54","2","2","6","18","42","35","4","64","32","62","15","12","22","6","6","5","3200","1018.03865","153","399","552","350","837","283","214","364","127","491","877","238","16","640","92.6","15.7125","40","62.53705","6.5","16.54733","25.87054","4.9375","12.56961","19.65166","3.875","9.86476","15.42282","1.0625","2.70485","4.22884","1.9375","4.93238","7.71141","0.1875","0.47733","0.74627","1.125","2.86396","4.47759","2.25","5.72792","8.95519","3.375","8.59189","13.43278","0.125","0.31822","0.49751","0.125","0.31822","0.49751","2.1875","5.56881","8.70643","0.9375","2.38663","3.73133","1.375","3.5004","5.47261","4","10.18298","15.92033","3.875","9.86476","15.42282","0.375","0.95465","1.49253","0.375","0.95465","1.49253","0.375","0.95465","1.49253","1.125","2.86396","4.47759","2.625","6.68258","10.44772","0.25","0.63644","0.99502","0.46835","0.51613","0.29412","0.21519","0.80645","0.5","0.56156","0.39241","0.31646","0.08863","0.17423","0.1318","0.16667","0.02986","0.0264","0.00797","0.07595","0.44304","0.005","0.16269","0.23961","0.09524","0.04762","0.04762","0.54545","0.51613","0.83333","0.012969999999999999","0.12462","53.25","true","0","0.54","0.2","0.3","0.62","0.88","0.94","0.28","0.45","0.49","0.75","0.01","0.09","0.02","0.44","0.49","0.45","0.11","0.19","0.08","0.02","0.12","0.02","0.88","0.1","0.32","0.2","0.52","0.59","0.59","1","0.93","0.72","0.79","0.83","0.73","0.84","0.88","0.66","0.67","0.74","0.89","0.91","0.91","0.73","0.77","0.81","0.26","0.12","0.13","0.51","0.34","0.39","0.57","0.4","0.5","0.55","0.34","0.42","0.22","0.11","0.12","0.09","0.02","0.02","0.78","0.9","0.93","0.51","0.35","0.41","0.7","0.69","0.72","0.68","0.64","0.7","0.71","0.82","0.86","0.75","0.73","0.74","0.8","0.81","0.84","0.65","0.42","0.25","0.24","0.2","0.31","0.31","0.27","0.13","0.2","0.16","0.4","0.46","0.4"
"30629-103685-1587810-season-0","30629","103685","1587810","season","0","Beon Riley","10","78","G","true","Hawaii","Rainbow Warriors","21-22","40","1","true","false","false","none","139.25","219.71269076750002","31","9","27","5","15","4","12","15","9","10","0","11","14","25","6","2","2","7","21","13","2","10","5","13","3","2","6","0","2","0","2600","814.79387","121","322","443","289","674","226","173","287","95","382","701","178","13","520","33.6","10.71154","40","63.37822","2.38462","8.90485","14.10934","2.07692","7.75583","12.28878","1.15385","4.3088","6.8271","0.92308","3.44704","5.46168","1.15385","4.3088","6.8271","0.76923","2.87253","4.5514","0.84615","3.15978","5.00654","1.07692","4.02154","6.37196","1.92308","7.18133","11.3785","0.46154","1.72352","2.73084","0.15385","0.57451","0.91028","1","3.73429","5.91682","0.23077","0.86176","1.36542","0.46154","1.72352","2.73084","0.76923","2.87253","4.5514","1","3.73429","5.91682","0","0","0","0.15385","0.57451","0.91028","0.15385","0.57451","0.91028","0.53846","2.01077","3.18598","1.61538","6.03232","9.55794","0.15385","0.57451","0.91028","0.33333","0.33333","0.33333","0.44444","0.6","0.40741","0.46131","0.55556","0.33333","0.10068","0.12537","0.11316","1.42857","0.14622","0.19763","0.01428","0.07407","0.48148","0.0275","0.17241","0.16019","0.38095","0.28571","0.09524","0.33333","0.38462","0","0.04178","0.91279","53.25","true","0","0.1","0.14","0.09","0.55","0.46","0.16","0.16","0.19","0.96","0.9","0.22","0.2","0.58","0.99","0.67","0.92","0.68","0.6","0.72","0.79","0.8","0.83","0.29","0.72","0.18","0.13","0","0.95","0.17","1","0.95","0.15","0.18","0.22","0.13","0.15","0.19","0.2","0.3","0.34","0.16","0.28","0.31","0.42","0.81","0.85","0.29","0.57","0.61","0.8","0.98","0.98","0.23","0.59","0.66","0.36","0.88","0.92","0.3","0.73","0.79","0.6","0.83","0.85","0.37","0.8","0.84","0.16","0.27","0.3","0.3","0.66","0.72","0.21","0.34","0.37","0.26","0.46","0.5","0.04","0.04","0.04","0.12","0.17","0.18","0.39","0.2","0.7","0.44","0.4","0.82","0.63","0.57","0.49","0.02","0.01","0.4","0.09","0.07"
"30629-103685-967297-season-0","30629","103685","967297","season","0","Zoar Nedd","20","78","F","true","Hawaii","Rainbow Warriors","21-22","40","1","true","false","false","none","41.559999999999995","65.1018844","6","1","12","0","1","1","11","4","3","1","0","1","10","11","1","0","0","2","3","3","0","0","0","1","3","1","2","2","2","2","2400","764.98092","109","309","418","266","627","239","149","279","90","369","657","173","12","480","13.8","3.46333","40","63.8384","0.5","5.77478","9.21632","1","11.54957","18.43265","0.08333","0.96246","1.53605","0.91667","10.5871","16.89659","0.33333","3.84986","6.14422","0.08333","0.96246","1.53605","0.08333","0.96246","1.53605","0.83333","9.62464","15.36054","0.91667","10.5871","16.89659","0.08333","0.96246","1.53605","0","0","0","0.25","2.88739","4.60816","0.25","2.88739","4.60816","0.16667","1.92493","3.07211","0","0","0","0.08333","0.96246","1.53605","0.16667","1.92493","3.07211","0.16667","1.92493","3.07211","0","0","0","0.16667","1.92493","3.07211","0.25","2.88739","4.60816","0","0","0","0.08333","0","0.09091","0.91667","0.75","0.125","0.21739","0.33333","0.25","0.02977","0.28946","0.16143","0.5","0.04539","0.05967","0","0","0.25","0.0151","0.1269","0.20657","0.33333","0.33333","0","0.5","0","1","0.0151","0.21973","53.25","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
