_id,competitionId,teamId,playerId,scope,tournamentId,fullName,jerseyNum,height,position,hasImage,teamMarket,teamName,seasonLabel,conferenceId,divisionId,isLatest,isDraft,isTransfer,transferSeason,mins,poss,ptsScored,fgm,fga,fgm2,fga2,fgm3,fga3,fta,ftm,ast,defAst,orb,drb,reb,stl,blk,blkd,tov,pf,pfd,opf,pitp,pitpFgm,pitpFga,scp,scpFgm,scpFga,fbpts,fbptsFga,fbptsFgm,minsTm,dPossTm,orbTm,drbTm,rebTm,fgmTm,fgaTm,ftaTm,tovTm,drbAgst,orbAgst,rebAgst,fgaAgst,fga3Agst,gp,minsTmBy5,tsa,minsPg,minsP40,minsP100,ptsScoredPg,ptsScoredP40,ptsScoredP100,fgaPg,fgaP40,fgaP100,fga2Pg,fga2P40,fga2P100,fga3Pg,fga3P40,fga3P100,ftaPg,ftaP40,ftaP100,astPg,astP40,astP100,orbPg,orbP40,orbP100,drbPg,drbP40,drbP100,rebPg,rebP40,rebP100,stlPg,stlP40,stlP100,blkPg,blkP40,blkP100,pfdPg,pfdP40,pfdP100,scpPg,scpP40,scpP100,scpFgaPg,scpFgaP40,scpFgaP100,pitpPg,pitpP40,pitpP100,pitpFgaPg,pitpFgaP40,pitpFgaP100,fbptsPg,fbptsP40,fbptsP100,fbptsFgaPg,fbptsFgaP40,fbptsFgaP100,blkdPg,blkdP40,blkdP100,tovPg,tovP40,tovP100,pfPg,pfP40,pfP100,opfPg,opfP40,opfP100,fgPct,fg2Pct,fg3Pct,fga3Rate,ftPct,efgPct,tsPct,ftaRate,ftmRate,orbPct,drbPct,rebPct,astTov,astPct,astRatio,blkPct,blkdPerFga,pfdPerFga,stlPct,tovPct,usagePct,pfEff,stlPerPf,blkPerPf,scpFgPct,pitpFgPct,fbptsFgPct,hkmPct,astUsage,minsThreshold,isQualified,positionPctile,ptsScoredPctile,fgPctPctile,fg2PctPctile,fg3PctPctile,fga3RatePctile,ftPctPctile,efgPctPctile,tsPctPctile,ftaRatePctile,ftmRatePctile,pfEffPctile,stlPerPfPctile,blkPerPfPctile,orbPctPctile,drbPctPctile,rebPctPctile,astTovPctile,astPctPctile,astRatioPctile,blkPctPctile,stlPctPctile,hkmPctPctile,usagePctPctile,astUsagePctile,scpFgPctPctile,pitpFgPctPctile,fbptsFgPctPctile,pfdPerFgaPctile,minsPgPctile,minsP40Pctile,minsP100Pctile,ptsScoredPgPctile,ptsScoredP40Pctile,ptsScoredP100Pctile,fgaPgPctile,fgaP40Pctile,fgaP100Pctile,fga2PgPctile,fga2P40Pctile,fga2P100Pctile,fga3PgPctile,fga3P40Pctile,fga3P100Pctile,ftaPgPctile,ftaP40Pctile,ftaP100Pctile,astPgPctile,astP40Pctile,astP100Pctile,orbPgPctile,orbP40Pctile,orbP100Pctile,drbPgPctile,drbP40Pctile,drbP100Pctile,rebPgPctile,rebP40Pctile,rebP100Pctile,stlPgPctile,stlP40Pctile,stlP100Pctile,blkPgPctile,blkP40Pctile,blkP100Pctile,pfdPgPctile,pfdP40Pctile,pfdP100Pctile,scpPgPctile,scpP40Pctile,scpP100Pctile,scpFgaPgPctile,scpFgaP40Pctile,scpFgaP100Pctile,pitpPgPctile,pitpP40Pctile,pitpP100Pctile,pitpFgaPgPctile,pitpFgaP40Pctile,pitpFgaP100Pctile,fbptsPgPctile,fbptsP40Pctile,fbptsP100Pctile,fbptsFgaPgPctile,fbptsFgaP40Pctile,fbptsFgaP100Pctile,tovPctPctile,blkdPerFgaPctile,blkdPgPctile,blkdP40Pctile,blkdP100Pctile,tovPgPctile,tovP40Pctile,tovP100Pctile,pfPgPctile,pfP40Pctile,pfP100Pctile,opfPgPctile,opfP40Pctile,opfP100Pctile
30629-103825-966099-season-0,30629,103825,966099,season,0,Colin Slater,14,73,G,TRUE,Long Beach St.,Dirtbags,21-22,40,1,TRUE,FALSE,FALSE,none,1028.99,1802.38533,460,153,359,87,191,66,168,103,88,91,0,9,78,87,25,3,6,48,59,98,4,100,50,113,33,18,34,51,36,33,6475,2282.85843,309,817,1126,817,1862,730,424,817,293,1110,1905,737,32,1295,404.3,32.15594,40,57.09046,14.375,17.88161,25.52173,11.21875,13.95543,19.91805,5.96875,7.42476,10.59707,5.25,6.53068,9.32098,3.21875,4.00393,5.71465,2.84375,3.53745,5.04886,0.28125,0.34986,0.49934,2.4375,3.0321,4.3276,2.71875,3.38196,4.82694,0.78125,0.97183,1.38705,0.09375,0.11662,0.16645,3.0625,3.80956,5.43724,1.03125,1.28281,1.83091,1.0625,1.32168,1.88639,3.125,3.88731,5.5482,3.53125,4.39266,6.26947,1.59375,1.98253,2.82958,1.125,1.39943,1.99735,0.1875,0.23324,0.33289,1.5,1.86591,2.66314,1.84375,2.29351,3.27344,0.125,0.15549,0.22193,0.42618,0.4555,0.39286,0.46797,0.85437,0.51811,0.56888,0.28691,0.24513,0.01006,0.08844,0.04897,1.89583,0.1834,0.16749,0.00323,0.01671,0.27298,0.01378,0.10612,0.21834,0.47458,0.42373,0.05085,0.52941,0.44248,0.91667,0.01701,0.83997,53.25,TRUE,0,0.93,0.66,0.46,0.84,0.51,0.88,0.71,0.8,0.6,0.72,0.37,0.45,0.36,0.12,0.29,0.19,0.87,0.75,0.59,0.31,0.22,0.15,0.71,0.65,0.65,0.25,0.65,0.61,0.87,1,0.17,0.91,0.87,0.83,0.88,0.8,0.75,0.83,0.72,0.69,0.87,0.7,0.67,0.86,0.76,0.73,0.84,0.71,0.68,0.3,0.12,0.12,0.64,0.29,0.25,0.56,0.19,0.16,0.56,0.25,0.22,0.44,0.32,0.31,0.89,0.81,0.78,0.7,0.48,0.46,0.7,0.44,0.41,0.69,0.48,0.46,0.75,0.57,0.55,0.75,0.58,0.55,0.77,0.6,0.57,0.85,0.89,0.63,0.84,0.85,0.37,0.68,0.72,0.37,0.77,0.81,0.49,0.66,0.67
30629-103825-978687-season-0,30629,103825,978687,season,0,Joel Murray,13,71,G,TRUE,Long Beach St.,Dirtbags,21-22,40,1,TRUE,FALSE,FALSE,none,1027.25,1796.799562,536,187,418,161,348,26,70,160,136,94,0,17,80,97,49,3,36,80,52,134,10,234,117,221,59,33,68,98,70,63,6475,2282.85843,309,817,1126,817,1862,730,424,817,293,1110,1905,737,32,1295,488.4,32.10156,40,57.1711,16.75,20.87126,29.83082,13.0625,16.27647,23.26359,10.875,13.55074,19.36777,2.1875,2.72572,3.89582,5,6.23023,8.90472,2.9375,3.66026,5.23152,0.53125,0.66196,0.94613,2.5,3.11511,4.45236,3.03125,3.77707,5.39849,1.53125,1.90801,2.72707,0.09375,0.11682,0.16696,4.1875,5.21781,7.4577,1.84375,2.2974,3.28362,2.125,2.64785,3.78451,7.3125,9.11171,13.02316,6.90625,8.6055,12.29965,3.0625,3.81601,5.45414,2.1875,2.72572,3.89582,1.125,1.4018,2.00356,2.5,3.11511,4.45236,1.625,2.02482,2.89403,0.3125,0.38939,0.55655,0.44737,0.46264,0.37143,0.16746,0.85,0.47847,0.54873,0.38278,0.32536,0.01903,0.09086,0.05469,1.175,0.20387,0.14191,0.00324,0.08612,0.32057,0.02706,0.14075,0.27484,1,0.94231,0.05769,0.48529,0.52941,0.9,0.0303,0.74178,53.25,TRUE,0,0.97,0.78,0.5,0.75,0.06,0.87,0.48,0.7,0.81,0.89,0.91,0.94,0.4,0.36,0.32,0.28,0.51,0.82,0.46,0.31,0.78,0.58,0.94,0.57,0.51,0.6,0.58,0.74,0.87,1,0.18,0.96,0.96,0.94,0.95,0.93,0.91,0.99,0.99,0.98,0.45,0.18,0.17,0.97,0.96,0.95,0.85,0.73,0.71,0.6,0.37,0.35,0.66,0.31,0.27,0.63,0.28,0.25,0.93,0.82,0.79,0.44,0.32,0.31,0.97,0.96,0.95,0.95,0.86,0.85,0.98,0.92,0.91,0.97,0.95,0.94,0.98,0.96,0.95,0.97,0.94,0.93,0.97,0.95,0.94,0.6,0.13,0.01,0.03,0.03,0.08,0.21,0.24,0.49,0.86,0.89,0.11,0.24,0.27
30629-103825-1602933-season-0,30629,103825,1602933,season,0,Jadon Jones,12,77,G,TRUE,Long Beach St.,Dirtbags,21-22,40,1,TRUE,FALSE,FALSE,none,894.25,1558.52554,339,108,252,44,79,64,173,69,59,33,0,22,118,140,45,26,2,32,70,51,3,62,31,42,31,15,31,81,48,43,6475,2282.85843,309,817,1126,817,1862,730,424,817,293,1110,1905,737,32,1295,282.4,27.94531,40,57.37795,10.59375,15.16354,21.75133,7.875,11.27202,16.16913,2.46875,3.53369,5.06889,5.40625,7.73833,11.10024,2.15625,3.08639,4.42726,1.03125,1.4761,2.11739,0.6875,0.98406,1.41159,3.6875,5.27817,7.57126,4.375,6.26223,8.98285,1.40625,2.01286,2.88734,0.8125,1.16299,1.66824,1.59375,2.28124,3.27232,0.96875,1.38664,1.98906,0.96875,1.38664,1.98906,1.9375,2.77327,3.97812,1.3125,1.87867,2.69485,2.53125,3.62315,5.19722,1.5,2.14705,3.07983,0.0625,0.08946,0.12833,1,1.43137,2.05322,2.1875,3.13112,4.49142,0.09375,0.13419,0.19249,0.42857,0.55696,0.36994,0.68651,0.85507,0.55556,0.60021,0.27381,0.23413,0.02829,0.15395,0.09067,1.03125,0.07234,0.095,0.03224,0.00794,0.20238,0.02855,0.10179,0.17461,1.01429,0.64286,0.37143,0.48387,0.7381,0.89583,0.06079,0.41429,53.25,TRUE,0,0.79,0.68,0.87,0.75,0.86,0.88,0.87,0.9,0.56,0.69,0.92,0.77,0.96,0.56,0.86,0.79,0.4,0.19,0.17,0.97,0.82,0.97,0.4,0.18,0.5,0.97,0.56,0.35,0.69,1,0.2,0.75,0.71,0.67,0.67,0.53,0.48,0.44,0.21,0.19,0.88,0.84,0.81,0.69,0.57,0.56,0.39,0.17,0.16,0.72,0.57,0.55,0.89,0.86,0.82,0.86,0.78,0.75,0.9,0.84,0.83,0.99,0.97,0.97,0.57,0.38,0.36,0.67,0.54,0.51,0.66,0.47,0.44,0.49,0.31,0.3,0.34,0.14,0.13,0.93,0.92,0.92,0.89,0.86,0.85,0.88,0.93,0.88,0.93,0.93,0.6,0.84,0.86,0.19,0.44,0.48,0.59,0.7,0.71
30629-103825-1691419-season-0,30629,103825,1691419,season,0,Aboubacar Traore,25,77,F,TRUE,Long Beach St.,Dirtbags,21-22,40,1,TRUE,FALSE,FALSE,none,726.97,1271.79458,258,105,168,105,167,0,1,87,48,43,0,88,161,249,28,39,10,48,90,86,9,210,105,164,69,41,64,41,37,26,6275,2207.86811,300,796,1096,798,1805,689,416,782,283,1065,1840,709,31,1255,206.3,23.45065,40,57.16096,8.32258,14.19591,20.28629,5.41935,9.24385,13.20968,5.3871,9.18882,13.13105,0.03226,0.05502,0.07863,2.80645,4.78699,6.84073,1.3871,2.36598,3.38105,2.83871,4.84202,6.91936,5.19355,8.85869,12.65928,8.03226,13.7007,19.57863,0.90323,1.54064,2.20161,1.25806,2.14589,3.06653,2.77419,4.73197,6.7621,2.22581,3.79658,5.4254,2.06452,3.52147,5.03226,6.77419,11.55481,16.5121,5.29032,9.02376,12.89516,1.32258,2.25594,3.22379,1.19355,2.03585,2.90927,0.32258,0.55023,0.78629,1.54839,2.6411,3.77419,2.90323,4.95206,7.07661,0.29032,0.49521,0.70766,0.625,0.62874,0,0.00595,0.55172,0.625,0.6253,0.51786,0.28571,0.14041,0.25759,0.19892,0.89583,0.12036,0.14464,0.05953,0.05952,0.5119,0.02189,0.18877,0.17391,0.74444,0.31111,0.43333,0.64063,0.64024,0.7027,0.08142,0.69208,53.25,TRUE,0,0.74,0.93,0.87,0.16,0.17,0.25,0.91,0.87,0.83,0.73,0.78,0.63,0.83,0.94,0.97,0.98,0.67,0.82,0.8,0.88,0.79,0.89,0.42,0.84,0.75,0.8,0.19,0.86,0.67,1,0.18,0.68,0.61,0.57,0.6,0.36,0.32,0.76,0.68,0.65,0.17,0.17,0.16,0.81,0.78,0.74,0.83,0.8,0.78,0.97,0.93,0.92,0.93,0.97,0.95,0.96,0.97,0.97,0.87,0.81,0.79,0.94,0.88,0.87,0.84,0.84,0.8,0.89,0.86,0.83,0.87,0.81,0.77,0.88,0.88,0.86,0.85,0.83,0.8,0.88,0.86,0.86,0.93,0.93,0.92,0.3,0.48,0.38,0.54,0.56,0.22,0.35,0.38,0.06,0.3,0.34,0.26,0.4,0.43
30629-103825-945599-season-0,30629,103825,945599,season,0,Jordan Roberts,2,81,G,TRUE,Long Beach St.,Dirtbags,21-22,40,1,TRUE,FALSE,FALSE,none,714.35,1242.000417,260,92,216,81,167,11,49,91,65,30,0,31,97,128,27,11,9,50,70,70,9,92,46,89,44,26,52,30,24,20,5875,2065.37382,287,739,1026,728,1678,686,384,742,268,1010,1721,665,29,1175,256,24.63276,40,57.51608,8.96552,14.55869,20.93397,7.44828,12.09491,17.3913,5.75862,9.35116,13.44605,1.68966,2.74375,3.94525,3.13793,5.09554,7.32689,1.03448,1.67985,2.41546,1.06897,1.73584,2.49597,3.34483,5.43151,7.80998,4.41379,7.16735,10.30595,0.93103,1.51186,2.17391,0.37931,0.61594,0.88567,2.41379,3.91965,5.63607,1.51724,2.46378,3.54267,1.7931,2.91174,4.18679,3.17241,5.15154,7.4074,3.06897,4.98355,7.16586,1.03448,1.67985,2.41546,0.82759,1.34388,1.93237,0.31034,0.50395,0.72464,1.72414,2.79975,4.02576,2.41379,3.91965,5.63607,0.31034,0.50395,0.72464,0.42593,0.48503,0.22449,0.22685,0.71429,0.45139,0.50781,0.4213,0.30093,0.04955,0.15844,0.10341,0.6,0.08557,0.08928,0.01713,0.04167,0.32407,0.0215,0.16338,0.21295,0.54286,0.38571,0.15714,0.5,0.51685,0.83333,0.03863,0.40183,53.25,TRUE,0,0.67,0.66,0.6,0.14,0.11,0.41,0.32,0.43,0.87,0.85,0.48,0.37,0.77,0.82,0.89,0.88,0.1,0.26,0.14,0.85,0.57,0.78,0.67,0.17,0.59,0.55,0.34,0.75,0.56,1,0.21,0.65,0.66,0.62,0.63,0.62,0.57,0.81,0.88,0.85,0.34,0.19,0.18,0.85,0.89,0.88,0.39,0.23,0.22,0.87,0.82,0.81,0.84,0.88,0.85,0.86,0.88,0.86,0.67,0.61,0.58,0.89,0.85,0.84,0.78,0.83,0.81,0.88,0.89,0.88,0.94,0.95,0.94,0.7,0.68,0.66,0.69,0.67,0.64,0.56,0.47,0.45,0.63,0.57,0.55,0.45,0.59,0.43,0.52,0.54,0.29,0.3,0.33,0.11,0.2,0.23,0.11,0.14,0.15
30629-103825-966102-season-0,30629,103825,966102,season,0,Drew Cobb,3,76,G,TRUE,Long Beach St.,Dirtbags,21-22,40,1,TRUE,FALSE,FALSE,none,623.49,1098.487821,108,33,101,24,66,9,35,46,33,39,0,26,57,83,25,2,7,25,20,40,2,44,22,55,17,12,18,23,21,19,5475,1929.41162,262,687,949,683,1571,614,367,690,253,943,1616,611,27,1095,121.2,23.09222,40,56.75894,4,6.92874,9.8317,3.74074,6.47965,9.19446,2.44444,4.23423,6.00826,1.2963,2.24542,3.1862,1.7037,2.95113,4.18757,1.44444,2.50204,3.55034,0.96296,1.66803,2.36689,2.11111,3.65683,5.18895,3.07407,5.32486,7.55584,0.92593,1.60387,2.27586,0.07407,0.12831,0.18207,1.48148,2.5662,3.64137,0.62963,1.09063,1.54758,0.66667,1.15479,1.63862,1.62963,2.82282,4.00551,2.03704,3.52852,5.00688,0.85185,1.47556,2.09379,0.77778,1.34725,1.91172,0.25926,0.44908,0.63724,0.92593,1.60387,2.27586,0.74074,1.2831,1.82068,0.07407,0.12831,0.18207,0.32673,0.36364,0.25714,0.34653,0.71739,0.37129,0.44554,0.45545,0.32673,0.04796,0.1065,0.07704,1.56,0.10958,0.21054,0.0035,0.06931,0.39604,0.02276,0.17095,0.11631,1.35,1.25,0.1,0.66667,0.4,0.90476,0.02626,0.94214,53.25,TRUE,0,0.33,0.12,0.14,0.21,0.28,0.42,0.09,0.16,0.9,0.89,0.98,0.98,0.6,0.81,0.48,0.63,0.74,0.41,0.77,0.33,0.62,0.44,0.06,0.74,0.92,0.16,0.6,0.87,0.51,1,0.14,0.3,0.08,0.07,0.32,0.07,0.06,0.44,0.29,0.26,0.25,0.13,0.11,0.57,0.54,0.52,0.53,0.48,0.44,0.84,0.81,0.79,0.54,0.48,0.43,0.64,0.63,0.59,0.67,0.66,0.62,0.38,0.34,0.33,0.53,0.47,0.44,0.49,0.38,0.36,0.46,0.34,0.31,0.43,0.33,0.3,0.51,0.43,0.4,0.47,0.4,0.36,0.6,0.57,0.55,0.4,0.24,0.51,0.59,0.62,0.62,0.79,0.81,0.87,0.98,0.99,0.66,0.71,0.73
30629-103825-1309528-season-0,30629,103825,1309528,season,0,Romelle Mansel,13,81,F,TRUE,Long Beach St.,Dirtbags,21-22,40,1,TRUE,FALSE,TRUE,latest,439.18,771.1241362,86,34,69,33,65,1,4,42,17,24,0,16,59,75,6,4,8,30,41,34,6,60,30,56,12,8,18,12,11,9,6075,2121.60654,284,747,1031,742,1726,687,394,775,282,1057,1763,658,30,1215,87.5,14.63933,40,56.95322,2.86667,7.83278,11.15255,2.3,6.28444,8.94798,2.16667,5.92012,8.42925,0.13333,0.36432,0.51872,1.4,3.82531,5.44659,0.8,2.18589,3.11234,0.53333,1.45726,2.07489,1.96667,5.37365,7.65117,2.5,6.83091,9.72606,0.2,0.54647,0.77808,0.13333,0.36432,0.51872,1.13333,3.09668,4.40915,0.4,1.09295,1.55617,0.6,1.63942,2.33425,2,5.46473,7.78085,1.86667,5.10041,7.26213,0.4,1.09295,1.55617,0.36667,1.00187,1.42649,0.26667,0.72863,1.03745,1,2.73236,3.89042,1.36667,3.73423,5.31691,0.2,0.54647,0.77808,0.49275,0.50769,0.25,0.05797,0.40476,0.5,0.49143,0.6087,0.24638,0.0418,0.15862,0.09937,0.8,0.10247,0.16964,0.01001,0.11594,0.49275,0.00782,0.25536,0.13418,0.2439,0.14634,0.09756,0.44444,0.53571,0.81818,0.01783,0.76368,53.25,TRUE,0,0.33,0.59,0.4,0.37,0.31,0.07,0.41,0.22,0.91,0.62,0.1,0.2,0.17,0.14,0.48,0.27,0.59,0.71,0.89,0.15,0.12,0.07,0.16,0.89,0.18,0.35,0.43,0.84,0.4,1,0.16,0.25,0.12,0.1,0.24,0.09,0.08,0.37,0.32,0.29,0.27,0.27,0.27,0.5,0.59,0.55,0.59,0.75,0.73,0.17,0.15,0.13,0.41,0.46,0.4,0.33,0.26,0.21,0.2,0.13,0.12,0.17,0.16,0.15,0.43,0.45,0.43,0.17,0.12,0.11,0.25,0.19,0.17,0.38,0.35,0.33,0.39,0.37,0.34,0.46,0.51,0.48,0.53,0.62,0.59,0.08,0.09,0.47,0.36,0.39,0.49,0.32,0.35,0.71,0.59,0.64,0.45,0.34,0.37
30629-103825-1602935-season-0,30629,103825,1602935,season,0,Joe Hampton,24,80,F,TRUE,Long Beach St.,Dirtbags,21-22,40,1,TRUE,FALSE,FALSE,none,296.11,520.1775464,148,51,116,48,105,3,11,62,43,20,0,18,34,52,7,7,8,37,52,50,12,88,44,82,19,12,18,13,12,9,3250,1141.43574,150,425,575,404,925,378,213,409,165,574,959,370,16,650,143.3,18.50688,40,56.92479,9.25,19.99257,28.45182,7.25,15.66985,22.30008,6.5625,14.18392,20.18542,0.6875,1.48593,2.11466,3.875,8.37527,11.91901,1.25,2.7017,3.84484,1.125,2.43153,3.46036,2.125,4.59289,6.53623,3.25,7.02442,9.99659,0.4375,0.94559,1.34569,0.4375,0.94559,1.34569,3.125,6.75425,9.6121,1.1875,2.56661,3.6526,1.125,2.43153,3.46036,5.5,11.88747,16.9173,5.125,11.07696,15.76385,0.8125,1.7561,2.49915,0.75,1.62102,2.3069,0.5,1.08068,1.53794,2.3125,4.99814,7.11296,3.25,7.02442,9.99659,0.75,1.62102,2.3069,0.43966,0.45714,0.27273,0.09483,0.69355,0.45259,0.5164,0.53448,0.37069,0.07068,0.1265,0.09934,0.54054,0.15033,0.09986,0.02609,0.06897,0.43103,0.01346,0.20524,0.30341,0.26923,0.13462,0.13462,0.66667,0.53659,0.75,0.03955,0.49547,53.25,TRUE,0,0.51,0.35,0.2,0.41,0.36,0.6,0.19,0.33,0.85,0.88,0.13,0.17,0.27,0.43,0.21,0.27,0.34,0.91,0.52,0.51,0.4,0.43,0.98,0.63,0.83,0.35,0.28,0.76,0.51,1,0.15,0.75,0.93,0.9,0.76,0.94,0.92,0.85,0.97,0.96,0.49,0.43,0.42,0.93,0.98,0.98,0.79,0.88,0.85,0.52,0.43,0.4,0.44,0.26,0.22,0.45,0.29,0.24,0.49,0.42,0.4,0.57,0.52,0.5,0.89,0.98,0.97,0.58,0.55,0.51,0.54,0.48,0.44,0.8,0.89,0.87,0.83,0.94,0.92,0.73,0.77,0.75,0.81,0.87,0.85,0.21,0.38,0.17,0.12,0.14,0.05,0.02,0.02,0.02,0.07,0.09,0.01,0.02,0.02
30629-103825-1612061-season-0,30629,103825,1612061,season,0,Tobias Rotegaard,31,79,F,TRUE,Long Beach St.,Dirtbags,21-22,40,1,TRUE,FALSE,FALSE,none,281.56,502.9626913,80,24,77,4,17,20,60,16,12,15,0,9,29,38,5,1,1,20,30,15,1,6,3,9,2,1,6,8,6,5,6275,2217.98204,302,794,1096,792,1809,702,413,792,280,1072,1847,711,31,1255,84,9.08258,40,55.9803,2.58065,11.36525,15.90575,2.48387,10.93905,15.30929,0.54839,2.41512,3.37997,1.93548,8.52394,11.92931,0.51613,2.27305,3.18115,0.48387,2.13098,2.98233,0.29032,1.27859,1.7894,0.93548,4.1199,5.76584,1.22581,5.39849,7.55523,0.16129,0.71033,0.99411,0.03226,0.14207,0.19882,0.48387,2.13098,2.98233,0.06452,0.28413,0.39764,0.19355,0.85239,1.19293,0.19355,0.85239,1.19293,0.29032,1.27859,1.7894,0.25806,1.13653,1.59058,0.19355,0.85239,1.19293,0.03226,0.14207,0.19882,0.64516,2.84131,3.97644,0.96774,4.26197,5.96466,0.03226,0.14207,0.19882,0.31169,0.23529,0.33333,0.77922,0.75,0.44156,0.47619,0.20779,0.15584,0.03667,0.12036,0.07813,0.75,0.0976,0.12601,0.00392,0.01299,0.19481,0.01005,0.19223,0.18323,0.2,0.16667,0.03333,0.16667,0.33333,0.83333,0.01397,0.53266,53.25,TRUE,0,0.31,0.04,0.01,0.67,0.97,0.77,0.15,0.17,0.19,0.28,0.06,0.25,0.05,0.1,0.17,0.09,0.55,0.67,0.7,0.06,0.22,0.04,0.51,0.68,0.02,0.02,0.48,0.17,0.17,1,0.09,0.22,0.35,0.3,0.27,0.57,0.49,0.03,0.04,0.04,0.7,0.97,0.95,0.15,0.24,0.21,0.39,0.74,0.7,0.06,0.11,0.09,0.12,0.17,0.13,0.08,0.09,0.07,0.16,0.24,0.21,0.04,0.06,0.06,0.14,0.21,0.18,0.02,0.02,0.02,0.04,0.04,0.04,0.01,0.01,0.01,0.02,0.03,0.02,0.32,0.53,0.5,0.31,0.52,0.49,0.28,0.92,0.93,0.92,0.92,0.7,0.28,0.33,0.85,0.44,0.51,0.9,0.85,0.85
30629-103825-952920-season-0,30629,103825,952920,season,0,Eddie Scott,13,78,G,TRUE,Long Beach St.,Dirtbags,21-22,40,1,TRUE,FALSE,FALSE,none,200.69,369.1880518,37,14,34,13,28,1,6,16,8,6,0,6,22,28,3,0,4,13,21,14,2,22,11,21,8,4,9,4,5,3,4650,1680.35088,226,588,814,603,1344,532,338,576,213,789,1400,543,23,930,41,8.72565,40,54.35983,1.6087,7.37456,10.02199,1.47826,6.77662,9.2094,1.21739,5.58075,7.58421,0.26087,1.19587,1.62519,0.69565,3.189,4.33383,0.26087,1.19587,1.62519,0.26087,1.19587,1.62519,0.95652,4.38487,5.95902,1.21739,5.58075,7.58421,0.13043,0.59794,0.81259,0,0,0,0.6087,2.79037,3.79211,0.34783,1.5945,2.16692,0.3913,1.79381,2.43778,0.95652,4.38487,5.95902,0.91304,4.18556,5.68816,0.17391,0.79725,1.08346,0.21739,0.99656,1.35432,0.17391,0.79725,1.08346,0.56522,2.59106,3.52124,0.91304,4.18556,5.68816,0.08696,0.39862,0.54173,0.41176,0.46429,0.16667,0.17647,0.5,0.42647,0.45122,0.47059,0.23529,0.03467,0.12728,0.08094,0.46154,0.05167,0.09993,0,0.11765,0.41176,0.00827,0.24056,0.13069,0.14286,0.14286,0,0.44444,0.52381,0.6,0.00827,0.39536,53.25,TRUE,0,0.13,0.56,0.5,0.07,0.07,0.08,0.21,0.17,0.91,0.69,0.02,0.04,0.18,0.66,0.69,0.68,0.05,0.08,0.2,0.18,0.06,0.02,0.11,0.16,0.4,0.58,0.04,0.89,0.11,1,0.02,0.07,0.1,0.07,0.06,0.09,0.06,0.22,0.49,0.42,0.03,0.04,0.04,0.26,0.6,0.54,0.06,0.1,0.08,0.27,0.66,0.62,0.19,0.68,0.58,0.19,0.68,0.59,0.05,0.07,0.06,0.18,0.18,0.18,0.21,0.55,0.47,0.25,0.64,0.57,0.24,0.7,0.62,0.26,0.57,0.5,0.24,0.54,0.48,0.09,0.15,0.13,0.18,0.4,0.35,0.11,0.04,0.66,0.22,0.29,0.8,0.38,0.47,0.81,0.15,0.22,0.62,0.23,0.28
