"_id","competitionId","teamId","playerId","scope","tournamentId","fullName","jerseyNum","height","position","hasImage","teamMarket","teamName","seasonLabel","conferenceId","divisionId","isLatest","isDraft","isTransfer","transferSeason","mins","poss","ptsScored","fgm","fga","fgm2","fga2","fgm3","fga3","fta","ftm","ast","defAst","orb","drb","reb","stl","blk","blkd","tov","pf","pfd","opf","pitp","pitpFgm","pitpFga","scp","scpFgm","scpFga","fbpts","fbptsFga","fbptsFgm","minsTm","dPossTm","orbTm","drbTm","rebTm","fgmTm","fgaTm","ftaTm","tovTm","drbAgst","orbAgst","rebAgst","fgaAgst","fga3Agst","gp","minsTmBy5","tsa","minsPg","minsP40","minsP100","ptsScoredPg","ptsScoredP40","ptsScoredP100","fgaPg","fgaP40","fgaP100","fga2Pg","fga2P40","fga2P100","fga3Pg","fga3P40","fga3P100","ftaPg","ftaP40","ftaP100","astPg","astP40","astP100","orbPg","orbP40","orbP100","drbPg","drbP40","drbP100","rebPg","rebP40","rebP100","stlPg","stlP40","stlP100","blkPg","blkP40","blkP100","pfdPg","pfdP40","pfdP100","scpPg","scpP40","scpP100","scpFgaPg","scpFgaP40","scpFgaP100","pitpPg","pitpP40","pitpP100","pitpFgaPg","pitpFgaP40","pitpFgaP100","fbptsPg","fbptsP40","fbptsP100","fbptsFgaPg","fbptsFgaP40","fbptsFgaP100","blkdPg","blkdP40","blkdP100","tovPg","tovP40","tovP100","pfPg","pfP40","pfP100","opfPg","opfP40","opfP100","fgPct","fg2Pct","fg3Pct","fga3Rate","ftPct","efgPct","tsPct","ftaRate","ftmRate","orbPct","drbPct","rebPct","astTov","astPct","astRatio","blkPct","blkdPerFga","pfdPerFga","stlPct","tovPct","usagePct","pfEff","stlPerPf","blkPerPf","scpFgPct","pitpFgPct","fbptsFgPct","hkmPct","astUsage","minsThreshold","isQualified","positionPctile","ptsScoredPctile","fgPctPctile","fg2PctPctile","fg3PctPctile","fga3RatePctile","ftPctPctile","efgPctPctile","tsPctPctile","ftaRatePctile","ftmRatePctile","pfEffPctile","stlPerPfPctile","blkPerPfPctile","orbPctPctile","drbPctPctile","rebPctPctile","astTovPctile","astPctPctile","astRatioPctile","blkPctPctile","stlPctPctile","hkmPctPctile","usagePctPctile","astUsagePctile","scpFgPctPctile","pitpFgPctPctile","fbptsFgPctPctile","pfdPerFgaPctile","minsPgPctile","minsP40Pctile","minsP100Pctile","ptsScoredPgPctile","ptsScoredP40Pctile","ptsScoredP100Pctile","fgaPgPctile","fgaP40Pctile","fgaP100Pctile","fga2PgPctile","fga2P40Pctile","fga2P100Pctile","fga3PgPctile","fga3P40Pctile","fga3P100Pctile","ftaPgPctile","ftaP40Pctile","ftaP100Pctile","astPgPctile","astP40Pctile","astP100Pctile","orbPgPctile","orbP40Pctile","orbP100Pctile","drbPgPctile","drbP40Pctile","drbP100Pctile","rebPgPctile","rebP40Pctile","rebP100Pctile","stlPgPctile","stlP40Pctile","stlP100Pctile","blkPgPctile","blkP40Pctile","blkP100Pctile","pfdPgPctile","pfdP40Pctile","pfdP100Pctile","scpPgPctile","scpP40Pctile","scpP100Pctile","scpFgaPgPctile","scpFgaP40Pctile","scpFgaP100Pctile","pitpPgPctile","pitpP40Pctile","pitpP100Pctile","pitpFgaPgPctile","pitpFgaP40Pctile","pitpFgaP100Pctile","fbptsPgPctile","fbptsP40Pctile","fbptsP100Pctile","fbptsFgaPgPctile","fbptsFgaP40Pctile","fbptsFgaP100Pctile","tovPctPctile","blkdPerFgaPctile","blkdPgPctile","blkdP40Pctile","blkdP100Pctile","tovPgPctile","tovP40Pctile","tovP100Pctile","pfPgPctile","pfP40Pctile","pfP100Pctile","opfPgPctile","opfP40Pctile","opfP100Pctile"
"30629-104352-1309665-season-0","30629","104352","1309665","season","0","Elijah Pepper","40","75","G","true","UC Davis","Aggies","21-22","40","1","true","false","false","none","815.5799999999999","1356.5846661624998","363","126","325","70","173","56","152","66","55","40","0","14","115","129","38","6","19","48","55","63","3","104","52","120","21","10","31","82","58","54","4825","1603.1552900000002","215","608","823","601","1366","397","300","604","244","848","1332","449","24","965","354","33.9825","40","60.1201","15.125","17.80328","26.75837","13.54167","15.93958","23.95722","7.20833","8.48476","12.75261","6.33333","7.45482","11.20461","2.75","3.23696","4.86516","1.66667","1.96179","2.94858","0.58333","0.68663","1.032","4.79167","5.64016","8.47717","5.375","6.32679","9.50917","1.58333","1.8637","2.80115","0.25","0.29427","0.44229","2.625","3.08983","4.64402","0.875","1.02994","1.54801","1.29167","1.52039","2.28515","4.33333","5.10066","7.66631","5","5.88538","8.84574","3.41667","4.02168","6.04459","2.41667","2.8446","4.27544","0.79167","0.93185","1.40058","2","2.35415","3.5383","2.29167","2.69747","4.0543","0.125","0.14713","0.22114","0.38769","0.40462","0.36842","0.46769","0.83333","0.47385","0.51271","0.20308","0.16923","0.02023","0.15971","0.09134","0.83333","0.10473","0.09049","0.00804","0.05846","0.19385","0.02805","0.11939","0.25844","0.8","0.69091","0.10909","0.32258","0.43333","0.93103","0.03609","0.40524","53.25","true","0","0.83","0.4","0.24","0.74","0.51","0.83","0.45","0.46","0.32","0.43","0.79","0.82","0.63","0.39","0.89","0.79","0.24","0.38","0.15","0.58","0.81","0.73","0.9","0.17","0.14","0.24","0.7","0.31","0.94","1","0.59","0.93","0.87","0.88","0.96","0.92","0.93","0.9","0.81","0.82","0.95","0.81","0.82","0.79","0.61","0.61","0.59","0.31","0.32","0.65","0.39","0.39","0.97","0.9","0.91","0.94","0.79","0.8","0.94","0.8","0.81","0.77","0.6","0.6","0.83","0.64","0.65","0.62","0.35","0.36","0.81","0.55","0.56","0.82","0.67","0.68","0.88","0.79","0.79","0.98","0.95","0.96","0.98","0.96","0.96","0.76","0.36","0.05","0.14","0.14","0.2","0.48","0.47","0.16","0.62","0.6","0.49","0.68","0.67"
"30629-104352-1309662-season-0","30629","104352","1309662","season","0","Ezra Manjon","5","71","G","true","UC Davis","Aggies","21-22","40","1","true","false","true","latest","804.13","1337.70772551","360","147","342","139","302","8","40","81","58","81","0","18","68","86","23","8","8","62","47","78","11","188","94","181","14","7","28","65","51","43","4825","1603.1552899999997","215","608","823","601","1366","397","300","604","244","848","1332","449","24","965","377.6","33.50542","40","60.11253","15","17.90755","26.91171","14.25","17.01217","25.56612","12.58333","15.02245","22.57593","1.66667","1.98973","2.99019","3.375","4.0292","6.05513","3.375","4.0292","6.05513","0.75","0.89538","1.34559","2.83333","3.38254","5.08332","3.58333","4.27792","6.42891","0.95833","1.14409","1.71936","0.33333","0.39795","0.59804","3.25","3.87997","5.83087","0.58333","0.6964","1.04657","1.16667","1.39281","2.09313","7.83333","9.35172","14.05389","7.54167","9.00352","13.53061","2.70833","3.23331","4.85906","2.125","2.5369","3.81249","0.33333","0.39795","0.59804","2.58333","3.08408","4.63479","1.95833","2.33793","3.51347","0.45833","0.54718","0.8223","0.42982","0.46026","0.2","0.11696","0.71605","0.44152","0.47669","0.23684","0.16959","0.02637","0.09578","0.06176","1.30645","0.22894","0.15558","0.01087","0.02339","0.22807","0.01722","0.14102","0.28663","0.65957","0.48936","0.17021","0.25","0.51934","0.84314","0.028089999999999997","0.79873","53.25","true","0","0.82","0.68","0.48","0.11","0.03","0.41","0.27","0.25","0.44","0.43","0.64","0.55","0.8","0.53","0.37","0.41","0.59","0.88","0.53","0.7","0.37","0.51","0.96","0.61","0.09","0.56","0.36","0.45","0.93","1","0.59","0.93","0.87","0.88","0.98","0.96","0.97","0.99","0.99","0.99","0.33","0.1","0.1","0.88","0.76","0.77","0.9","0.8","0.8","0.75","0.52","0.53","0.74","0.4","0.41","0.75","0.4","0.42","0.69","0.36","0.37","0.86","0.71","0.71","0.91","0.82","0.83","0.45","0.18","0.19","0.75","0.48","0.49","0.98","0.96","0.96","0.99","0.97","0.97","0.95","0.87","0.88","0.97","0.93","0.94","0.6","0.83","0.41","0.66","0.65","0.07","0.22","0.2","0.3","0.76","0.75","0.03","0.11","0.11"
"30629-104352-1360228-season-0","30629","104352","1360228","season","0","Kane Milling","0","76","G","true","UC Davis","Aggies","21-22","40","1","true","false","false","none","667.95","1112.0311779949998","168","61","141","31","62","30","79","21","16","30","0","10","69","79","22","2","1","24","31","28","4","56","28","43","22","12","25","27","13","13","4825","1603.15529","215","608","823","601","1366","397","300","604","244","848","1332","449","24","965","150.2","27.83125","40","60.06576","7","10.06063","15.10749","5.875","8.44375","12.6795","2.58333","3.71285","5.57538","3.29167","4.73089","7.10412","0.875","1.25758","1.88844","1.25","1.79654","2.69777","0.41667","0.59885","0.89926","2.875","4.13205","6.20486","3.29167","4.73089","7.10412","0.91667","1.31746","1.97836","0.08333","0.11977","0.17985","1.16667","1.67677","2.51792","0.91667","1.31746","1.97836","1.04167","1.49712","2.24814","2.33333","3.35354","5.03583","1.79167","2.57504","3.8668","1.125","1.61689","2.42799","0.54167","0.7785","1.16903","0.04167","0.05988","0.08993","1","1.43723","2.15821","1.29167","1.85643","2.78769","0.16667","0.23954","0.3597","0.43262","0.5","0.37975","0.56028","0.7619","0.53901","0.55925","0.14894","0.11348","0.01764","0.117","0.0683","1.25","0.08451","0.14689","0.00327","0.00709","0.19858","0.01983","0.13774","0.13676","0.77419","0.70968","0.06452","0.48","0.65116","1","0.0231","0.61794","53.25","true","0","0.47","0.7","0.69","0.79","0.69","0.58","0.81","0.75","0.17","0.21","0.77","0.83","0.44","0.33","0.59","0.52","0.56","0.25","0.48","0.31","0.49","0.33","0.14","0.45","0.5","0.91","1","0.33","0.68","1","0.59","0.51","0.27","0.28","0.5","0.21","0.22","0.46","0.23","0.23","0.63","0.45","0.46","0.32","0.12","0.12","0.47","0.27","0.27","0.47","0.32","0.32","0.75","0.62","0.63","0.69","0.52","0.53","0.66","0.48","0.49","0.41","0.32","0.32","0.42","0.2","0.2","0.64","0.5","0.51","0.69","0.54","0.55","0.56","0.41","0.41","0.45","0.25","0.25","0.59","0.45","0.45","0.44","0.27","0.27","0.63","0.93","0.92","0.93","0.93","0.6","0.84","0.84","0.66","0.91","0.9","0.36","0.49","0.49"
"30629-104352-954507-season-0","30629","104352","954507","season","0","Caleb Fuller","11","77","G","true","UC Davis","Aggies","21-22","40","1","true","false","true","latest","661.95","1102.588385915","267","88","212","56","118","32","94","81","59","46","0","15","105","120","12","8","5","48","60","105","14","90","45","93","35","17","36","16","17","12","4400","1470.3570600000003","196","556","752","552","1253","360","273","554","211","765","1210","418","22","880","247.6","30.08864","40","60.036","12.13636","16.13415","24.21575","9.63636","12.81064","19.22748","5.36364","7.13045","10.70209","4.27273","5.68019","8.52539","3.68182","4.89463","7.34635","2.09091","2.77967","4.172","0.68182","0.90641","1.36044","4.77273","6.34489","9.52305","5.45455","7.2513","10.88348","0.54545","0.72513","1.08835","0.36364","0.48342","0.72557","4.77273","6.34489","9.52305","1.59091","2.11496","3.17435","1.63636","2.17539","3.26504","4.09091","5.43848","8.16261","4.22727","5.61976","8.4347","0.72727","0.96684","1.45113","0.77273","1.02727","1.54183","0.22727","0.30214","0.45348","2.18182","2.90052","4.35339","2.72727","3.62565","5.44174","0.63636","0.84599","1.26974","0.41509","0.47458","0.34043","0.4434","0.7284","0.49057","0.53918","0.38208","0.2783","0.02659","0.18199","0.10516","0.95833","0.14058","0.13464","0.01343","0.02358","0.49528","0.01085","0.16236","0.23333","0.33333","0.2","0.13333","0.47222","0.48387","0.70588","0.02428","0.60249","53.25","true","0","0.68","0.58","0.55","0.58","0.46","0.45","0.56","0.64","0.81","0.81","0.16","0.09","0.71","0.53","0.95","0.89","0.34","0.57","0.42","0.77","0.12","0.37","0.79","0.43","0.47","0.39","0.1","0.95","0.78","1","0.58","0.83","0.77","0.78","0.8","0.7","0.71","0.78","0.68","0.7","0.77","0.59","0.6","0.91","0.88","0.88","0.71","0.55","0.55","0.72","0.53","0.53","0.97","0.95","0.96","0.94","0.89","0.89","0.37","0.12","0.12","0.88","0.78","0.78","0.99","0.99","0.99","0.9","0.83","0.83","0.91","0.83","0.84","0.8","0.71","0.72","0.82","0.75","0.76","0.41","0.2","0.2","0.6","0.41","0.41","0.45","0.83","0.56","0.77","0.77","0.14","0.27","0.27","0.04","0.28","0.26","0.01","0.02","0.02"
"30629-104352-951839-season-0","30629","104352","951839","season","0","Christian Anigwe","4","81","F","true","UC Davis","Aggies","21-22","40","1","true","false","false","none","537.8","897.554533805","238","94","153","91","143","3","10","74","47","16","0","60","76","136","20","23","12","35","83","63","12","176","88","138","60","34","56","13","14","9","4825","1603.1552899999997","215","608","823","601","1366","397","300","604","244","848","1332","449","24","965","185.6","22.40833","40","59.91836","9.91667","17.70175","26.51649","6.375","11.3797","17.04632","5.95833","10.63592","15.93218","0.41667","0.74377","1.11414","3.08333","5.5039","8.24462","0.66667","1.19003","1.78262","2.5","4.46263","6.68483","3.16667","5.65266","8.46745","5.66667","10.11528","15.15228","0.83333","1.48754","2.22828","0.95833","1.71067","2.56252","2.625","4.68576","7.01907","2.5","4.46263","6.68483","2.33333","4.16512","6.23918","7.33333","13.09037","19.60884","5.75","10.26404","15.37511","0.54167","0.9669","1.44838","0.58333","1.04128","1.55979","0.5","0.89253","1.33697","1.45833","2.6032","3.89948","3.45833","6.1733","9.24735","0.5","0.89253","1.33697","0.61438","0.63636","0.3","0.06536","0.63514","0.62418","0.64116","0.48366","0.30719","0.13145","0.16006","0.14604","0.45714","0.06641","0.06764","0.04674","0.07843","0.41176","0.02239","0.15869","0.21501","0.51807","0.24096","0.27711","0.60714","0.63768","0.64286","0.06913","0.30887","53.25","true","0","0.7","0.92","0.89","0.51","0.32","0.42","0.91","0.92","0.79","0.78","0.5","0.45","0.6","0.92","0.5","0.78","0.25","0.42","0.23","0.78","0.8","0.82","0.74","0.28","0.62","0.8","0.13","0.72","0.64","1","0.56","0.79","0.85","0.86","0.68","0.62","0.63","0.8","0.82","0.82","0.4","0.34","0.34","0.85","0.86","0.87","0.52","0.31","0.32","0.93","0.9","0.9","0.66","0.52","0.54","0.79","0.78","0.78","0.83","0.79","0.8","0.88","0.8","0.81","0.82","0.83","0.83","0.93","0.93","0.94","0.91","0.91","0.91","0.91","0.94","0.94","0.88","0.91","0.91","0.57","0.44","0.45","0.72","0.64","0.65","0.51","0.29","0.17","0.22","0.22","0.26","0.36","0.35","0.01","0.13","0.12","0.05","0.11","0.11"
"30629-104352-1309663-season-0","30629","104352","1309663","season","0","Ade Adebayo","24","76","G","true","UC Davis","Aggies","21-22","40","1","true","false","false","none","442.7300000000001","731.09036276","50","22","41","22","31","0","10","11","6","22","0","14","41","55","13","8","0","21","49","16","3","44","22","30","4","2","7","7","5","4","4825","1603.1552900000002","215","608","823","601","1366","397","300","604","244","848","1332","449","24","965","45.8","18.44708","40","60.55749","2.08333","4.51743","6.8391","1.70833","3.70429","5.60806","1.29167","2.8008","4.24024","0.41667","0.90349","1.36782","0.45833","0.99383","1.5046","0.91667","1.98767","3.0092","0.58333","1.26488","1.91495","1.70833","3.70429","5.60806","2.29167","4.96917","7.52301","0.54167","1.17453","1.77817","0.33333","0.72279","1.09426","0.66667","1.44558","2.18851","0.16667","0.36139","0.54713","0.29167","0.63244","0.95747","1.83333","3.97533","6.01841","1.25","2.71046","4.10346","0.29167","0.63244","0.95747","0.20833","0.45174","0.68391","0","0","0","0.875","1.89732","2.87242","2.04167","4.42708","6.70232","0.125","0.27105","0.41035","0.53659","0.70968","0","0.2439","0.54545","0.53659","0.54585","0.26829","0.14634","0.03726","0.10489","0.07174","1.04762","0.08671","0.24764","0.01975","0","0.39024","0.01767","0.31418","0.07915","0.42857","0.26531","0.16327","0.28571","0.73333","0.8","0.03742","1.09551","53.25","true","0","0.17","0.97","0.98","0.02","0.13","0.1","0.8","0.68","0.54","0.33","0.29","0.17","0.78","0.7","0.47","0.56","0.41","0.26","0.88","0.88","0.39","0.76","0.01","0.84","0.11","0.97","0.24","0.87","0.38","1","0.66","0.13","0.02","0.02","0.09","0.01","0.01","0.23","0.13","0.13","0.05","0.03","0.03","0.15","0.08","0.08","0.35","0.33","0.33","0.65","0.69","0.7","0.42","0.49","0.51","0.45","0.57","0.58","0.36","0.38","0.4","0.86","0.89","0.9","0.24","0.14","0.14","0.11","0.08","0.08","0.16","0.09","0.1","0.47","0.5","0.51","0.33","0.28","0.29","0.16","0.1","0.1","0.17","0.11","0.11","0.03","1","1","1","1","0.65","0.67","0.66","0.26","0.11","0.1","0.49","0.43","0.43"
"30629-104352-1309661-season-0","30629","104352","1309661","season","0","Aaron Murphy","3","78","F","true","UC Davis","Aggies","21-22","40","1","true","false","false","none","262.2","432.1136188575","50","19","37","19","36","0","1","22","12","3","0","24","40","64","5","3","4","9","44","26","3","36","18","34","16","11","19","5","6","3","4825","1603.1552900000002","215","608","823","601","1366","397","300","604","244","848","1332","449","24","965","46.7","10.925","40","60.67849","2.08333","7.62777","11.57103","1.54167","5.64455","8.56256","1.5","5.49199","8.33114","0.04167","0.15256","0.23142","0.91667","3.35622","5.09125","0.125","0.45767","0.69426","1","3.66133","5.55409","1.66667","6.10221","9.25682","2.66667","9.76354","14.81092","0.20833","0.76278","1.1571","0.125","0.45767","0.69426","1.08333","3.96644","6.01694","0.66667","2.44088","3.70273","0.79167","2.89855","4.39699","1.5","5.49199","8.33114","1.41667","5.18688","7.8683","0.20833","0.76278","1.1571","0.25","0.91533","1.38852","0.16667","0.61022","0.92568","0.375","1.373","2.08279","1.83333","6.71243","10.18251","0.125","0.45767","0.69426","0.51351","0.52778","0","0.02703","0.54545","0.51351","0.53533","0.59459","0.32432","0.10785","0.17279","0.14096","0.33333","0.02079","0.05112","0.0125","0.10811","0.7027","0.01148","0.16164","0.11133","0.18182","0.11364","0.06818","0.57895","0.52941","0.5","0.02398","0.18674","53.25","true","0","0.21","0.67","0.49","0.16","0.25","0.24","0.47","0.43","0.9","0.81","0.05","0.12","0.11","0.8","0.61","0.74","0.14","0.04","0.12","0.21","0.29","0.15","0.07","0.09","0.52","0.33","0.07","0.96","0.26","1","0.68","0.16","0.11","0.11","0.12","0.06","0.07","0.24","0.27","0.28","0.2","0.22","0.22","0.32","0.48","0.5","0.07","0.05","0.05","0.46","0.77","0.79","0.34","0.64","0.65","0.36","0.73","0.76","0.21","0.28","0.3","0.16","0.22","0.22","0.41","0.7","0.72","0.31","0.51","0.52","0.36","0.64","0.66","0.28","0.36","0.37","0.29","0.38","0.39","0.27","0.34","0.35","0.39","0.56","0.58","0.48","0.12","0.67","0.49","0.47","0.88","0.87","0.87","0.48","0.09","0.08","0.66","0.45","0.44"
"30629-104352-1600123-season-0","30629","104352","1600123","season","0","Caleb McGill","2","79","F","true","UC Davis","Aggies","21-22","40","1","true","false","true","latest","173.21000000000004","295.77943316249997","33","11","39","9","29","2","10","13","9","8","0","6","19","25","3","2","4","10","17","11","3","18","9","22","10","6","11","2","1","1","3625","1211.4424199999999","155","458","613","456","1012","310","234","449","188","637","1004","330","18","725","44.7","9.62278","40","58.56053","1.83333","7.62081","11.15696","2.16667","9.00641","13.1855","1.61111","6.69707","9.8046","0.55556","2.30934","3.3809","0.72222","3.00214","4.39517","0.44444","1.84747","2.70472","0.33333","1.3856","2.02854","1.05556","4.38774","6.42371","1.38889","5.77334","8.45224","0.16667","0.6928","1.01427","0.11111","0.46187","0.67618","0.61111","2.54027","3.71899","0.55556","2.30934","3.3809","0.61111","2.54027","3.71899","1","4.1568","6.08562","1.22222","5.08054","7.43797","0.11111","0.46187","0.67618","0.05556","0.23093","0.33809","0.22222","0.92373","1.35236","0.55556","2.30934","3.3809","0.94444","3.92587","5.74753","0.16667","0.6928","1.01427","0.28205","0.31034","0.2","0.25641","0.69231","0.30769","0.36913","0.33333","0.23077","0.04158","0.12311","0.08371","0.8","0.08168","0.12755","0.01242","0.10256","0.28205","0.01037","0.18275","0.16568","0.29412","0.17647","0.11765","0.54545","0.40909","1","0.02279","0.493","53.25","true","0","0.13","0.02","0.02","0.27","0.54","0.59","0.02","0.03","0.52","0.56","0.15","0.28","0.22","0.14","0.19","0.12","0.59","0.56","0.71","0.21","0.23","0.13","0.36","0.62","0.41","0.07","1","0.41","0.2","1","0.32","0.13","0.11","0.1","0.22","0.33","0.31","0.26","0.41","0.4","0.45","0.52","0.51","0.24","0.41","0.39","0.35","0.64","0.63","0.07","0.13","0.13","0.16","0.22","0.2","0.11","0.12","0.11","0.16","0.23","0.22","0.14","0.22","0.22","0.2","0.31","0.3","0.25","0.46","0.45","0.26","0.52","0.5","0.16","0.21","0.2","0.24","0.36","0.35","0.16","0.19","0.19","0.11","0.12","0.12","0.33","0.14","0.55","0.21","0.21","0.78","0.48","0.5","0.86","0.54","0.56","0.54","0.21","0.22"
"30629-104352-954505-season-0","30629","104352","954505","season","0","Cameron Ba","30","75","G","true","UC Davis","Aggies","21-22","40","1","true","false","false","none","164.71","277.09027551500003","41","11","32","1","6","10","26","12","9","6","0","3","8","11","3","0","1","2","9","6","0","2","1","4","6","2","2","3","1","1","2425","801.03854","95","307","402","283","651","204","167","298","125","423","678","218","12","485","37.3","13.72583","40","59.44272","3.41667","9.95689","14.79662","2.66667","7.77123","11.54858","0.5","1.45711","2.16536","2.16667","6.31413","9.38322","1","2.91421","4.33072","0.5","1.45711","2.16536","0.25","0.72855","1.08268","0.66667","1.94281","2.88715","0.91667","2.67136","3.96983","0.25","0.72855","1.08268","0","0","0","0.5","1.45711","2.16536","0.5","1.45711","2.16536","0.16667","0.4857","0.72179","0.16667","0.4857","0.72179","0.33333","0.9714","1.44357","0.25","0.72855","1.08268","0.08333","0.24285","0.36089","0.08333","0.24285","0.36089","0.16667","0.4857","0.72179","0.75","2.18566","3.24804","0","0","0","0.34375","0.16667","0.38462","0.8125","0.75","0.5","0.5496","0.375","0.28125","0.02248","0.05453","0.03926","3","0.0705","0.13251","0","0.03125","0.1875","0.01103","0.05092","0.12742","0.33333","0.33333","0","1","0.25","1","0.01103","0.55329","53.25","true","0","0.14","0.17","0.01","0.81","0.96","0.55","0.63","0.7","0.8","0.82","0.16","0.28","0.18","0.45","0.04","0.07","0.98","0.17","0.4","0.18","0.13","0.05","0.1","0.37","1","0.03","1","0.29","0.26","1","0.47","0.25","0.26","0.26","0.2","0.15","0.15","0.06","0.03","0.03","0.44","0.68","0.67","0.37","0.54","0.54","0.17","0.17","0.17","0.25","0.42","0.42","0.1","0.04","0.04","0.11","0.07","0.07","0.13","0.12","0.12","0.18","0.18","0.18","0.16","0.14","0.14","0.38","0.57","0.57","0.07","0.06","0.06","0.04","0.03","0.03","0.07","0.04","0.05","0.14","0.13","0.13","0.06","0.06","0.06","0.99","0.74","0.84","0.83","0.83","0.98","0.99","0.99","0.87","0.81","0.81","1","1","1"
"30629-104352-1692312-season-0","30629","104352","1692312","season","0","Leo DeBruhl","10","74","G","true","UC Davis","Aggies","21-22","40","1","true","false","false","none","148.77000000000004","250.54743073749995","28","9","27","4","11","5","16","6","5","18","0","13","11","24","4","2","0","16","19","9","1","8","4","10","6","4","6","2","2","2","4200","1410.17597","190","534","724","515","1183","359","278","527","217","744","1175","408","21","840","29.6","7.08429","40","59.37798","1.33333","7.5284","11.17553","1.28571","7.25953","10.7764","0.52381","2.95759","4.39039","0.7619","4.30194","6.38602","0.28571","1.61323","2.3947599999999998","0.85714","4.83969","7.18427","0.61905","3.49533","5.18864","0.52381","2.95759","4.39039","1.14286","6.45291","9.57902","0.19048","1.07549","1.5965","0.09524","0.53774","0.79825","0.42857","2.41984","3.59213","0.28571","1.61323","2.3947599999999998","0.28571","1.61323","2.3947599999999998","0.38095","2.15097","3.19301","0.47619","2.68871","3.99126","0.09524","0.53774","0.79825","0.09524","0.53774","0.79825","0","0","0","0.7619","4.30194","6.38602","0.90476","5.10856","7.58339","0.04762","0.26887","0.39913","0.33333","0.36364","0.3125","0.59259","0.83333","0.42593","0.47297","0.22222","0.18519","0.10237","0.0827","0.09231","1.125","0.21895","0.28284","0.01472","0","0.33333","0.01602","0.35057","0.15917","0.31579","0.21053","0.10526","0.66667","0.4","1","0.03074","1.37557","53.25","true","0","0.09","0.14","0.14","0.42","0.74","0.83","0.21","0.24","0.38","0.49","0.14","0.1","0.62","0.99","0.23","0.8","0.46","0.86","0.93","0.8","0.31","0.6","0.28","0.92","0.92","0.16","1","0.76","0.06","1","0.46","0.05","0.11","0.11","0.05","0.11","0.11","0.06","0.14","0.14","0.12","0.39","0.38","0.08","0.2","0.19","0.33","0.89","0.89","0.67","0.99","0.99","0.06","0.26","0.26","0.17","0.81","0.81","0.09","0.32","0.31","0.44","0.81","0.81","0.13","0.43","0.43","0.21","0.64","0.64","0.16","0.6","0.6","0.08","0.21","0.2","0.1","0.27","0.27","0.06","0.08","0.08","0.07","0.15","0.15","0.02","1","1","1","1","0.71","0.04","0.04","0.81","0.05","0.04","0.76","0.44","0.44"
