"_id","competitionId","teamId","playerId","scope","tournamentId","fullName","jerseyNum","height","position","hasImage","teamMarket","teamName","seasonLabel","conferenceId","divisionId","isLatest","isDraft","isTransfer","transferSeason","mins","poss","ptsScored","fgm","fga","fgm2","fga2","fgm3","fga3","fta","ftm","ast","defAst","orb","drb","reb","stl","blk","blkd","tov","pf","pfd","opf","pitp","pitpFgm","pitpFga","scp","scpFgm","scpFga","fbpts","fbptsFga","fbptsFgm","minsTm","dPossTm","orbTm","drbTm","rebTm","fgmTm","fgaTm","ftaTm","tovTm","drbAgst","orbAgst","rebAgst","fgaAgst","fga3Agst","gp","minsTmBy5","tsa","minsPg","minsP40","minsP100","ptsScoredPg","ptsScoredP40","ptsScoredP100","fgaPg","fgaP40","fgaP100","fga2Pg","fga2P40","fga2P100","fga3Pg","fga3P40","fga3P100","ftaPg","ftaP40","ftaP100","astPg","astP40","astP100","orbPg","orbP40","orbP100","drbPg","drbP40","drbP100","rebPg","rebP40","rebP100","stlPg","stlP40","stlP100","blkPg","blkP40","blkP100","pfdPg","pfdP40","pfdP100","scpPg","scpP40","scpP100","scpFgaPg","scpFgaP40","scpFgaP100","pitpPg","pitpP40","pitpP100","pitpFgaPg","pitpFgaP40","pitpFgaP100","fbptsPg","fbptsP40","fbptsP100","fbptsFgaPg","fbptsFgaP40","fbptsFgaP100","blkdPg","blkdP40","blkdP100","tovPg","tovP40","tovP100","pfPg","pfP40","pfP100","opfPg","opfP40","opfP100","fgPct","fg2Pct","fg3Pct","fga3Rate","ftPct","efgPct","tsPct","ftaRate","ftmRate","orbPct","drbPct","rebPct","astTov","astPct","astRatio","blkPct","blkdPerFga","pfdPerFga","stlPct","tovPct","usagePct","pfEff","stlPerPf","blkPerPf","scpFgPct","pitpFgPct","fbptsFgPct","hkmPct","astUsage","minsThreshold","isQualified","positionPctile","ptsScoredPctile","fgPctPctile","fg2PctPctile","fg3PctPctile","fga3RatePctile","ftPctPctile","efgPctPctile","tsPctPctile","ftaRatePctile","ftmRatePctile","pfEffPctile","stlPerPfPctile","blkPerPfPctile","orbPctPctile","drbPctPctile","rebPctPctile","astTovPctile","astPctPctile","astRatioPctile","blkPctPctile","stlPctPctile","hkmPctPctile","usagePctPctile","astUsagePctile","scpFgPctPctile","pitpFgPctPctile","fbptsFgPctPctile","pfdPerFgaPctile","minsPgPctile","minsP40Pctile","minsP100Pctile","ptsScoredPgPctile","ptsScoredP40Pctile","ptsScoredP100Pctile","fgaPgPctile","fgaP40Pctile","fgaP100Pctile","fga2PgPctile","fga2P40Pctile","fga2P100Pctile","fga3PgPctile","fga3P40Pctile","fga3P100Pctile","ftaPgPctile","ftaP40Pctile","ftaP100Pctile","astPgPctile","astP40Pctile","astP100Pctile","orbPgPctile","orbP40Pctile","orbP100Pctile","drbPgPctile","drbP40Pctile","drbP100Pctile","rebPgPctile","rebP40Pctile","rebP100Pctile","stlPgPctile","stlP40Pctile","stlP100Pctile","blkPgPctile","blkP40Pctile","blkP100Pctile","pfdPgPctile","pfdP40Pctile","pfdP100Pctile","scpPgPctile","scpP40Pctile","scpP100Pctile","scpFgaPgPctile","scpFgaP40Pctile","scpFgaP100Pctile","pitpPgPctile","pitpP40Pctile","pitpP100Pctile","pitpFgaPgPctile","pitpFgaP40Pctile","pitpFgaP100Pctile","fbptsPgPctile","fbptsP40Pctile","fbptsP100Pctile","fbptsFgaPgPctile","fbptsFgaP40Pctile","fbptsFgaP100Pctile","tovPctPctile","blkdPerFgaPctile","blkdPgPctile","blkdP40Pctile","blkdP100Pctile","tovPgPctile","tovP40Pctile","tovP100Pctile","pfPgPctile","pfP40Pctile","pfP100Pctile","opfPgPctile","opfP40Pctile","opfP100Pctile"
"30629-104353-954469-season-0","30629","104353","954469","season","0","Collin Welp","40","81","F","true","UC Irvine","Anteaters","21-22","40","1","true","false","false","none","665.75","1070.2822047150003","335","124","291","111","234","13","57","85","74","41","0","37","119","156","18","7","9","37","27","65","7","124","62","125","51","30","54","13","9","9","4800","1543.5897700000003","240","632","872","592","1324","383","326","534","232","766","1331","422","24","960","328.4","27.73958","40","62.20322","13.95833","20.12768","31.30016","12.125","17.48404","27.18909","9.75","14.05933","21.86339","2.375","3.42471","5.3257","3.54167","5.10702","7.94183","1.70833","2.46339","3.83077","1.54167","2.22306","3.45703","4.95833","7.14983","11.11856","6.5","9.37289","14.5756","0.75","1.08149","1.6818","0.29167","0.42058","0.65403","2.70833","3.90537","6.07316","2.125","3.06421","4.7651","2.25","3.24446","5.0454","5.16667","7.45024","11.58573","5.20833","7.51033","11.67916","0.54167","0.78107","1.21463","0.375","0.54074","0.8409","0.375","0.54074","0.8409","1.54167","2.22306","3.45703","1.125","1.62223","2.5227","0.29167","0.42058","0.65403","0.42612","0.47436","0.22807","0.19588","0.87059","0.44845","0.51005","0.2921","0.2543","0.06893","0.19861","0.13733","1.10811","0.14308","0.10089","0.0111","0.03093","0.22337","0.01682","0.10126","0.28974","0.92593","0.66667","0.25926","0.55556","0.496","1","0.02792","0.49382","53.25","true","0","0.85","0.3","0.25","0.32","0.48","0.96","0.18","0.3","0.4","0.65","0.89","0.96","0.57","0.41","0.79","0.7","0.8","0.9","0.53","0.18","0.58","0.23","0.97","0.62","0.45","0.2","1","0.24","0.85","1","0.86","0.93","0.93","0.95","0.97","0.98","0.99","0.97","0.97","0.98","0.77","0.62","0.64","0.9","0.81","0.84","0.9","0.83","0.85","0.71","0.36","0.4","0.91","0.82","0.86","0.87","0.67","0.74","0.79","0.54","0.58","0.39","0.2","0.21","0.83","0.68","0.73","0.87","0.7","0.74","0.9","0.74","0.78","0.78","0.57","0.6","0.84","0.67","0.71","0.57","0.35","0.36","0.54","0.31","0.33","0.9","0.8","0.3","0.55","0.53","0.22","0.51","0.48","0.8","0.99","0.98","0.26","0.5","0.48"
"30629-104353-1308088-season-0","30629","104353","1308088","season","0","Justin Hohn","2","73","G","true","UC Irvine","Anteaters","21-22","40","1","true","false","false","none","547.06","881.4264883","196","77","160","52","97","25","63","21","17","50","0","12","59","71","24","4","6","39","35","25","3","66","33","63","20","9","15","22","16","15","4800","1543.5897700000003","240","632","872","592","1324","383","326","534","232","766","1331","422","24","960","169.2","22.79417","40","62.0653","8.16667","14.33115","22.23668","6.66667","11.6989","18.15239","4.04167","7.09246","11.00489","2.625","4.60644","7.1475","0.875","1.53548","2.3825","2.08333","3.65591","5.67262","0.5","0.87742","1.36143","2.45833","4.31397","6.69369","2.95833","5.19139","8.05512","1","1.75483","2.72286","0.16667","0.29247","0.45381","1.04167","1.82795","2.83631","0.83333","1.46236","2.26905","0.625","1.09677","1.70179","2.75","4.8258","7.48786","2.625","4.60644","7.1475","0.91667","1.6086","2.49595","0.66667","1.16989","1.81524","0.25","0.43871","0.68071","1.625","2.85161","4.42465","1.45833","2.55913","3.97084","0.125","0.21935","0.34036","0.48125","0.53608","0.39683","0.39375","0.80952","0.55937","0.5792","0.13125","0.10625","0.02721","0.11983","0.07606","1.28205","0.19205","0.19362","0.00772","0.0375","0.15625","0.02728","0.18728","0.20095","0.8","0.68571","0.11429","0.6","0.52381","0.9375","0.034999999999999996","0.95571","53.25","true","0","0.53","0.91","0.81","0.86","0.36","0.75","0.88","0.84","0.13","0.18","0.79","0.81","0.65","0.54","0.62","0.62","0.58","0.78","0.7","0.57","0.79","0.7","0.59","0.75","0.81","0.58","0.71","0.18","0.5","1","0.85","0.59","0.64","0.69","0.57","0.57","0.64","0.64","0.68","0.72","0.53","0.43","0.46","0.32","0.18","0.19","0.71","0.73","0.76","0.57","0.51","0.53","0.64","0.67","0.71","0.61","0.61","0.65","0.72","0.75","0.79","0.63","0.59","0.61","0.38","0.24","0.26","0.6","0.58","0.61","0.43","0.31","0.34","0.64","0.63","0.66","0.62","0.61","0.64","0.5","0.45","0.47","0.54","0.49","0.52","0.29","0.66","0.53","0.6","0.58","0.33","0.28","0.25","0.57","0.67","0.63","0.49","0.53","0.52"
"30629-104353-954471-season-0","30629","104353","954471","season","0","JC Butler","00","77","F","true","UC Irvine","Anteaters","21-22","40","1","true","false","false","none","530.98","860.5366808824999","149","57","121","47","89","10","32","35","25","26","0","12","50","62","14","0","6","28","43","31","5","80","40","74","20","13","24","21","17","14","4800","1543.58977","240","632","872","592","1324","383","326","534","232","766","1331","422","24","960","136.4","22.12417","40","61.70335","6.20833","11.22453","17.31478","5.04167","9.11522","14.06099","3.70833","6.70458","10.34238","1.33333","2.41064","3.71861","1.45833","2.63663","4.06723","1.08333","1.95864","3.02137","0.5","0.90399","1.39448","2.08333","3.76662","5.81033","2.58333","4.67061","7.20481","0.58333","1.05465","1.62689","0","0","0","1.29167","2.3353","3.6024","0.83333","1.50665","2.32413","1","1.80798","2.78896","3.33333","6.02659","9.29652","3.08333","5.5746","8.59928","0.875","1.58198","2.44034","0.70833","1.28065","1.97551","0.25","0.45199","0.69724","1.16667","2.10931","3.25378","1.79167","3.23929","4.99688","0.20833","0.37666","0.58103","0.47107","0.52809","0.3125","0.26446","0.71429","0.5124","0.54619","0.28926","0.20661","0.02803","0.10463","0.06843","0.92857","0.09614","0.13655","0","0.04959","0.2562","0.0164","0.17032","0.16345","0.32558","0.32558","0","0.54167","0.54054","0.82353","0.0164","0.58819","53.25","true","0","0.51","0.49","0.49","0.56","0.55","0.66","0.46","0.48","0.4","0.47","0.2","0.66","0.03","0.06","0.09","0.05","0.69","0.67","0.77","0.03","0.55","0.06","0.33","0.75","0.4","0.37","0.44","0.34","0.63","1","0.82","0.54","0.34","0.37","0.56","0.34","0.39","0.57","0.41","0.45","0.61","0.53","0.53","0.51","0.32","0.34","0.72","0.68","0.71","0.15","0.05","0.05","0.43","0.11","0.13","0.34","0.04","0.06","0.63","0.52","0.55","0.03","0.03","0.03","0.49","0.26","0.28","0.41","0.21","0.23","0.48","0.25","0.27","0.57","0.41","0.44","0.6","0.43","0.46","0.75","0.72","0.74","0.79","0.76","0.78","0.42","0.59","0.51","0.66","0.64","0.39","0.58","0.54","0.51","0.73","0.7","0.43","0.56","0.54"
"30629-104353-1308251-season-0","30629","104353","1308251","season","0","Austin Johnson","13","81","F","false","UC Irvine","Anteaters","21-22","40","1","true","false","true","latest","510.63000000000005","821.31630453","140","57","112","57","112","0","0","33","26","5","0","39","107","146","4","59","7","27","64","42","12","110","55","102","38","24","39","7","6","5","4800","1543.5897699999998","240","632","872","592","1324","383","326","534","232","766","1331","422","24","960","126.5","21.27625","40","62.17215","5.83333","10.96684","17.04581","4.66667","8.77348","13.63665","4.66667","8.77348","13.63665","0","0","0","1.375","2.58504","4.01794","0.20833","0.39167","0.60878","1.625","3.05505","4.74848","4.45833","8.3818","13.02787","6.08333","11.43685","17.77634","0.16667","0.31334","0.48702","2.45833","4.62174","7.18359","1.75","3.29005","5.11374","1.58333","2.97672","4.62672","1.625","3.05505","4.74848","4.58333","8.61681","13.39313","4.25","7.99013","12.41909","0.29167","0.54834","0.85229","0.25","0.47001","0.73053","0.29167","0.54834","0.85229","1.125","2.11503","3.28741","2.66667","5.01341","7.79237","0.5","0.94002","1.46107","0.50893","0.50893","","0","0.78788","0.50893","0.55336","0.29464","0.23214","0.09473","0.23283","0.16757","0.18519","0.01939","0.03154","0.12203","0.0625","0.375","0.00487","0.17587","0.15871","0.98438","0.0625","0.92188","0.61538","0.53922","0.83333","0.1269","0.12217","53.25","true","0","0.48","0.66","0.41","0.16","0.15","0.84","0.45","0.53","0.41","0.57","0.91","0.04","0.97","0.69","0.93","0.91","0.05","0.04","0.05","0.99","0.04","0.98","0.3","0.04","0.65","0.36","0.48","0.65","0.6","1","0.86","0.52","0.32","0.36","0.52","0.3","0.35","0.7","0.64","0.69","0.15","0.15","0.15","0.49","0.3","0.34","0.13","0.04","0.04","0.75","0.63","0.67","0.85","0.94","0.96","0.83","0.89","0.92","0.16","0.04","0.04","0.99","0.99","0.99","0.63","0.51","0.55","0.73","0.68","0.72","0.74","0.69","0.73","0.72","0.68","0.71","0.76","0.73","0.77","0.36","0.23","0.24","0.39","0.27","0.28","0.38","0.45","0.43","0.54","0.52","0.41","0.58","0.53","0.13","0.28","0.24","0.05","0.1","0.09"
"30629-104353-1591593-season-0","30629","104353","1591593","season","0","DJ Davis","22","72","G","true","UC Irvine","Anteaters","21-22","40","1","true","false","false","none","504.39000000000004","805.3800534675","207","63","161","28","74","35","87","50","46","37","0","8","31","39","17","0","6","40","51","45","6","38","19","46","15","8","20","26","20","19","4600","1461.72923","222","587","809","561","1255","357","307","508","221","729","1256","396","23","920","183","21.93","40","62.62758","9","16.41587","25.70215","7","12.7679","19.99056","3.21739","5.86847","9.18821","3.78261","6.89942","10.80235","2.17391","3.96519","6.20825","1.6087","2.93424","4.5941","0.34783","0.63443","0.99332","1.34783","2.45842","3.84911","1.69565","3.09284","4.84243","0.73913","1.34816","2.1108","0","0","0","1.95652","3.56867","5.58742","0.65217","1.18956","1.86247","0.86957","1.58607","2.4833","1.65217","3.01354","4.71827","2","3.64797","5.71159","1.13043","2.0619","3.22829","0.86957","1.58607","2.4833","0.26087","0.47582","0.74499","1.73913","3.17215","4.9666","2.21739","4.04449","6.33241","0.26087","0.47582","0.74499","0.3913","0.37838","0.4023","0.54037","0.92","0.5","0.56557","0.31056","0.28571","0.01999","0.06998","0.04625","0.925","0.15129","0.14231","0","0.03727","0.2795","0.02121","0.17937","0.23661","0.33333","0.33333","0","0.4","0.41304","0.95","0.02121","0.63941","53.25","true","0","0.55","0.42","0.17","0.88","0.65","0.96","0.63","0.78","0.67","0.83","0.16","0.28","0.18","0.39","0.12","0.15","0.31","0.63","0.46","0.18","0.55","0.27","0.81","0.47","0.3","0.19","0.75","0.63","0.47","1","0.91","0.65","0.79","0.84","0.6","0.69","0.76","0.54","0.53","0.58","0.71","0.75","0.79","0.69","0.75","0.79","0.58","0.58","0.62","0.39","0.35","0.37","0.31","0.12","0.16","0.31","0.13","0.16","0.53","0.51","0.55","0.18","0.18","0.18","0.68","0.76","0.8","0.5","0.44","0.47","0.6","0.59","0.64","0.44","0.36","0.38","0.5","0.45","0.48","0.59","0.61","0.64","0.66","0.69","0.72","0.34","0.66","0.51","0.56","0.53","0.29","0.19","0.16","0.18","0.17","0.13","0.19","0.16","0.14"
"30629-104353-1591588-season-0","30629","104353","1591588","season","0","Dawson Baker","1","75","G","true","UC Irvine","Anteaters","21-22","40","1","true","false","false","none","487.77","781.8946759299998","203","73","172","56","120","17","52","50","40","21","0","8","34","42","12","3","8","34","28","53","7","78","39","75","13","9","21","13","11","9","3600","1157.17222","181","486","667","437","990","291","240","403","164","567","1001","312","18","720","194","27.09833","40","62.38308","11.27778","16.64719","25.96258","9.55556","14.10501","21.99785","6.66667","9.8407","15.34734","2.88889","4.2643","6.65051","2.77778","4.10029","6.39472","1.16667","1.72212","2.68578","0.44444","0.65605","1.02316","1.88889","2.7882","4.34841","2.33333","3.44425","5.37157","0.66667","0.98407","1.53473","0.16667","0.24602","0.38368","2.94444","4.34631","6.77841","0.72222","1.06608","1.66263","1.16667","1.72212","2.68578","4.33333","6.39646","9.97577","4.16667","6.15044","9.59208","0.72222","1.06608","1.66263","0.61111","0.90206","1.40684","0.44444","0.65605","1.02316","1.88889","2.7882","4.34841","1.55556","2.29616","3.58104","0.38889","0.57404","0.89526","0.42442","0.46667","0.32692","0.30233","0.8","0.47384","0.5232","0.2907","0.23256","0.02022","0.07721","0.05024","0.61765","0.09415","0.08434","0.00643","0.04651","0.30814","0.01531","0.14912","0.24782","0.53571","0.42857","0.10714","0.42857","0.52","0.81818","0.021740000000000002","0.37991","53.25","true","0","0.54","0.65","0.51","0.5","0.21","0.72","0.45","0.53","0.61","0.69","0.47","0.46","0.63","0.39","0.18","0.21","0.11","0.31","0.12","0.49","0.28","0.29","0.86","0.15","0.37","0.56","0.27","0.71","0.65","1","0.88","0.78","0.8","0.85","0.79","0.82","0.86","0.87","0.9","0.93","0.57","0.38","0.41","0.8","0.78","0.81","0.44","0.25","0.27","0.51","0.37","0.39","0.47","0.21","0.25","0.46","0.2","0.24","0.48","0.25","0.28","0.63","0.53","0.54","0.88","0.89","0.91","0.54","0.37","0.4","0.75","0.66","0.71","0.82","0.81","0.83","0.81","0.82","0.84","0.4","0.23","0.25","0.5","0.34","0.37","0.54","0.51","0.26","0.35","0.32","0.24","0.3","0.27","0.52","0.77","0.73","0.05","0.09","0.08"
"30629-104353-1308239-season-0","30629","104353","1308239","season","0","Isaiah Lee","5","74","G","true","UC Irvine","Anteaters","21-22","40","1","true","false","true","latest","431.32","697.4893729500001","78","25","72","9","24","16","48","17","12","30","0","8","27","35","17","3","4","31","34","17","6","14","7","18","12","5","7","10","10","8","4800","1543.58977","240","632","872","592","1324","383","326","534","232","766","1331","422","24","960","79.5","17.97167","40","61.83894","3.25","7.23361","11.18297","3","6.67718","10.32274","1","2.22573","3.44091","2","4.45145","6.88183","0.70833","1.57656","2.43731","1.25","2.78216","4.30114","0.33333","0.74191","1.14697","1.125","2.50394","3.87103","1.45833","3.24585","5.018","0.70833","1.57656","2.43731","0.125","0.27822","0.43011","0.70833","1.57656","2.43731","0.5","1.11286","1.72046","0.29167","0.64917","1.0036","0.58333","1.29834","2.0072","0.75","1.66929","2.58068","0.41667","0.92739","1.43371","0.41667","0.92739","1.43371","0.16667","0.37095","0.57349","1.29167","2.8749","4.44451","1.41667","3.15311","4.87463","0.25","0.55643","0.86023","0.34722","0.375","0.33333","0.66667","0.70588","0.45833","0.49057","0.23611","0.16667","0.023","0.06955","0.04756","0.96774","0.12449","0.21355","0.00735","0.05556","0.23611","0.02451","0.28059","0.13522","0.58824","0.5","0.08824","0.71429","0.38889","0.8","0.03186","0.92065","53.25","true","0","0.25","0.18","0.16","0.55","0.84","0.38","0.36","0.32","0.43","0.42","0.55","0.58","0.55","0.46","0.11","0.17","0.34","0.49","0.78","0.55","0.7","0.62","0.13","0.72","0.95","0.14","0.24","0.48","0.37","1","0.83","0.24","0.09","0.11","0.24","0.08","0.09","0.17","0.08","0.08","0.41","0.41","0.44","0.26","0.19","0.2","0.47","0.55","0.57","0.38","0.43","0.45","0.25","0.13","0.16","0.25","0.16","0.19","0.51","0.65","0.69","0.53","0.57","0.59","0.25","0.17","0.18","0.38","0.4","0.42","0.16","0.1","0.11","0.15","0.09","0.1","0.19","0.11","0.12","0.24","0.18","0.19","0.35","0.36","0.38","0.06","0.39","0.68","0.69","0.67","0.46","0.28","0.24","0.6","0.43","0.39","0.2","0.11","0.09"
"30629-104353-1308248-season-0","30629","104353","1308248","season","0","Ofure Ujadughele","10","75","G","true","UC Irvine","Anteaters","21-22","40","1","true","false","false","none","294.63","482.304746685","48","20","50","19","40","1","10","18","7","24","0","24","42","66","19","0","2","25","44","29","6","36","18","36","5","3","11","13","8","7","4800","1543.58977","240","632","872","592","1324","383","326","534","232","766","1331","422","24","960","57.9","12.27625","40","61.08793","2","6.51665","9.95221","2.08333","6.78817","10.36689","1.66667","5.43054","8.29351","0.41667","1.35763","2.07338","0.75","2.44374","3.73208","1","3.25832","4.97611","1","3.25832","4.97611","1.75","5.70207","8.70819","2.75","8.96039","13.68429","0.79167","2.57951","3.93942","0","0","0","1.20833","3.93714","6.0128","0.20833","0.67882","1.03669","0.45833","1.4934","2.28072","1.5","4.88749","7.46416","1.5","4.88749","7.46416","0.54167","1.76493","2.69539","0.33333","1.08611","1.6587","0.08333","0.27153","0.41468","1.04167","3.39409","5.18344","1.83333","5.97359","9.12286","0.25","0.81458","1.24403","0.4","0.475","0.1","0.2","0.38889","0.41","0.41451","0.36","0.14","0.10103","0.15839","0.13129","0.96","0.14843","0.22447","0","0.04","0.58","0.04011","0.3015","0.14857","0.43182","0.43182","0","0.27273","0.5","0.875","0.04011","0.99906","53.25","true","0","0.17","0.48","0.55","0.04","0.09","0.03","0.17","0.1","0.77","0.3","0.3","0.46","0.18","0.99","0.89","0.98","0.34","0.62","0.82","0.18","0.96","0.8","0.2","0.78","0.1","0.49","0.49","0.98","0.21","1","0.75","0.11","0.07","0.07","0.13","0.09","0.1","0.31","0.46","0.49","0.05","0.05","0.06","0.28","0.41","0.43","0.38","0.65","0.67","0.85","0.98","0.98","0.43","0.9","0.92","0.56","0.97","0.98","0.57","0.95","0.96","0.18","0.18","0.18","0.44","0.83","0.84","0.14","0.18","0.18","0.3","0.54","0.56","0.4","0.64","0.66","0.39","0.65","0.67","0.31","0.5","0.52","0.29","0.45","0.46","0.04","0.62","0.84","0.8","0.79","0.57","0.15","0.13","0.37","0.02","0.02","0.2","0.03","0.02"
"30629-104353-1308295-season-0","30629","104353","1308295","season","0","Emmanuel Tshimanga","25","83","C","true","UC Irvine","Anteaters","21-22","40","1","true","false","true","latest","262.22999999999996","425.966415635","86","35","54","35","53","0","1","25","16","5","0","32","51","83","3","3","6","18","51","22","8","70","35","53","20","12","18","7","6","5","4800","1543.58977","240","632","872","592","1324","383","326","534","232","766","1331","422","24","960","65","10.92625","40","61.56119","3.58333","13.11825","20.18939","2.25","8.23704","12.67706","2.20833","8.08451","12.4423","0.04167","0.15254","0.23476","1.04167","3.81345","5.86901","0.20833","0.76269","1.1738","1.33333","4.88121","7.51233","2.125","7.77943","11.97277","3.45833","12.66064","19.4851","0.125","0.45761","0.70428","0.125","0.45761","0.70428","0.91667","3.35583","5.16473","0.83333","3.05076","4.69521","0.75","2.74568","4.22569","2.91667","10.67765","16.43322","2.20833","8.08451","12.4423","0.29167","1.06776","1.64332","0.25","0.91523","1.40856","0.25","0.91523","1.40856","0.75","2.74568","4.22569","2.125","7.77943","11.97277","0.33333","1.2203","1.87808","0.64815","0.66038","0","0.01852","0.64","0.64815","0.66154","0.46296","0.2963","0.15136","0.2161","0.1855","0.27778","0.03946","0.05682","0.01208","0.11111","0.40741","0.00712","0.21687","0.16709","0.11765","0.05882","0.05882","0.66667","0.66038","0.83333","0.019200000000000002","0.23616","53.25","true","0","0.46","0.88","0.85","0.39","0.61","0.62","0.86","0.86","0.67","0.7","0.03","0.12","0.03","0.94","0.79","0.92","0.23","0.3","0.27","0.04","0.22","0.03","0.48","0.3","0.78","0.79","0.52","0.5","0.38","1","0.83","0.48","0.57","0.59","0.39","0.42","0.44","0.41","0.47","0.5","0.6","0.62","0.62","0.46","0.54","0.57","0.3","0.28","0.28","0.61","0.89","0.91","0.53","0.81","0.85","0.57","0.9","0.93","0.22","0.21","0.21","0.09","0.05","0.06","0.39","0.39","0.43","0.46","0.53","0.58","0.41","0.43","0.47","0.52","0.69","0.72","0.46","0.6","0.63","0.69","0.76","0.78","0.65","0.79","0.8","0.3","0.2","0.4","0.27","0.25","0.56","0.37","0.34","0.35","0.08","0.05","0.25","0.11","0.1"
"30629-104353-1720479-season-0","30629","104353","1720479","season","0","Langston Redfield","21","75","G","true","UC Irvine","Anteaters","21-22","40","1","true","false","false","none","180.32","301.53701254250007","26","11","27","8","18","3","9","2","1","12","0","4","12","16","5","0","1","9","9","6","0","16","8","18","2","1","5","0","0","0","4200","1355.68622","210","549","759","518","1165","354","275","475","215","690","1174","374","21","840","27.9","8.58667","40","59.80029","1.2381","5.76752","8.62249","1.28571","5.98935","8.95412","0.85714","3.9929","5.96942","0.42857","1.99645","2.98471","0.09524","0.44366","0.66327","0.57143","2.66193","3.97961","0.19048","0.88731","1.32654","0.57143","2.66193","3.97961","0.7619","3.54925","5.30615","0.2381","1.10914","1.65817","0","0","0","0.28571","1.33097","1.98981","0.09524","0.44366","0.66327","0.2381","1.10914","1.65817","0.7619","3.54925","5.30615","0.85714","3.9929","5.96942","0","0","0","0","0","0","0.04762","0.22183","0.33163","0.42857","1.99645","2.98471","0.42857","1.99645","2.98471","0","0","0","0.40741","0.44444","0.33333","0.33333","0.5","0.46296","0.46595","0.07407","0.03704","0.0272","0.07317","0.05144","1.33333","0.11976","0.2455","0","0.03704","0.22222","0.01718","0.24403","0.10766","0.55556","0.55556","0","0.2","0.44444","","0.01718","1.11239","53.25","true","0","0.08","0.53","0.41","0.55","0.26","0.08","0.39","0.21","0.05","0.04","0.5","0.66","0.18","0.54","0.14","0.23","0.61","0.46","0.87","0.18","0.37","0.16","0.04","0.84","0.06","0.26","0","0.42","0.11","1","0.54","0.05","0.04","0.05","0.05","0.05","0.05","0.13","0.26","0.26","0.06","0.1","0.1","0.02","0.03","0.03","0.2","0.51","0.52","0.18","0.52","0.52","0.07","0.17","0.18","0.07","0.23","0.23","0.12","0.34","0.34","0.18","0.18","0.18","0.07","0.11","0.11","0.07","0.1","0.1","0.12","0.32","0.32","0.21","0.44","0.44","0.22","0.5","0.51","0.04","0.04","0.04","0.04","0.04","0.04","0.1","0.66","0.91","0.85","0.85","0.88","0.63","0.63","0.96","0.87","0.87","1","1","1"
