"_id","competitionId","teamId","playerId","scope","tournamentId","fullName","jerseyNum","height","position","hasImage","teamMarket","teamName","seasonLabel","conferenceId","divisionId","isLatest","isDraft","isTransfer","transferSeason","mins","poss","ptsScored","fgm","fga","fgm2","fga2","fgm3","fga3","fta","ftm","ast","defAst","orb","drb","reb","stl","blk","blkd","tov","pf","pfd","opf","pitp","pitpFgm","pitpFga","scp","scpFgm","scpFga","fbpts","fbptsFga","fbptsFgm","minsTm","dPossTm","orbTm","drbTm","rebTm","fgmTm","fgaTm","ftaTm","tovTm","drbAgst","orbAgst","rebAgst","fgaAgst","fga3Agst","gp","minsTmBy5","tsa","minsPg","minsP40","minsP100","ptsScoredPg","ptsScoredP40","ptsScoredP100","fgaPg","fgaP40","fgaP100","fga2Pg","fga2P40","fga2P100","fga3Pg","fga3P40","fga3P100","ftaPg","ftaP40","ftaP100","astPg","astP40","astP100","orbPg","orbP40","orbP100","drbPg","drbP40","drbP100","rebPg","rebP40","rebP100","stlPg","stlP40","stlP100","blkPg","blkP40","blkP100","pfdPg","pfdP40","pfdP100","scpPg","scpP40","scpP100","scpFgaPg","scpFgaP40","scpFgaP100","pitpPg","pitpP40","pitpP100","pitpFgaPg","pitpFgaP40","pitpFgaP100","fbptsPg","fbptsP40","fbptsP100","fbptsFgaPg","fbptsFgaP40","fbptsFgaP100","blkdPg","blkdP40","blkdP100","tovPg","tovP40","tovP100","pfPg","pfP40","pfP100","opfPg","opfP40","opfP100","fgPct","fg2Pct","fg3Pct","fga3Rate","ftPct","efgPct","tsPct","ftaRate","ftmRate","orbPct","drbPct","rebPct","astTov","astPct","astRatio","blkPct","blkdPerFga","pfdPerFga","stlPct","tovPct","usagePct","pfEff","stlPerPf","blkPerPf","scpFgPct","pitpFgPct","fbptsFgPct","hkmPct","astUsage","minsThreshold","isQualified","positionPctile","ptsScoredPctile","fgPctPctile","fg2PctPctile","fg3PctPctile","fga3RatePctile","ftPctPctile","efgPctPctile","tsPctPctile","ftaRatePctile","ftmRatePctile","pfEffPctile","stlPerPfPctile","blkPerPfPctile","orbPctPctile","drbPctPctile","rebPctPctile","astTovPctile","astPctPctile","astRatioPctile","blkPctPctile","stlPctPctile","hkmPctPctile","usagePctPctile","astUsagePctile","scpFgPctPctile","pitpFgPctPctile","fbptsFgPctPctile","pfdPerFgaPctile","minsPgPctile","minsP40Pctile","minsP100Pctile","ptsScoredPgPctile","ptsScoredP40Pctile","ptsScoredP100Pctile","fgaPgPctile","fgaP40Pctile","fgaP100Pctile","fga2PgPctile","fga2P40Pctile","fga2P100Pctile","fga3PgPctile","fga3P40Pctile","fga3P100Pctile","ftaPgPctile","ftaP40Pctile","ftaP100Pctile","astPgPctile","astP40Pctile","astP100Pctile","orbPgPctile","orbP40Pctile","orbP100Pctile","drbPgPctile","drbP40Pctile","drbP100Pctile","rebPgPctile","rebP40Pctile","rebP100Pctile","stlPgPctile","stlP40Pctile","stlP100Pctile","blkPgPctile","blkP40Pctile","blkP100Pctile","pfdPgPctile","pfdP40Pctile","pfdP100Pctile","scpPgPctile","scpP40Pctile","scpP100Pctile","scpFgaPgPctile","scpFgaP40Pctile","scpFgaP100Pctile","pitpPgPctile","pitpP40Pctile","pitpP100Pctile","pitpFgaPgPctile","pitpFgaP40Pctile","pitpFgaP100Pctile","fbptsPgPctile","fbptsP40Pctile","fbptsP100Pctile","fbptsFgaPgPctile","fbptsFgaP40Pctile","fbptsFgaP100Pctile","tovPctPctile","blkdPerFgaPctile","blkdPgPctile","blkdP40Pctile","blkdP100Pctile","tovPgPctile","tovP40Pctile","tovP100Pctile","pfPgPctile","pfP40Pctile","pfP100Pctile","opfPgPctile","opfP40Pctile","opfP100Pctile"
"30629-104354-1391026-season-0","30629","104354","1391026","season","0","Zyon Pullin","5","76","G","true","UC Riverside","Highlanders","21-22","40","1","true","false","false","none","933.8599999999999","1512.4087186732227","387","129","273","115","228","14","45","150","115","117","0","10","140","150","22","0","19","62","43","134","7","170","85","149","27","19","37","63","55","44","5473.933333","1785.45212","214","735","949","660","1492","405","330","681","218","899","1535","435","27","1094.7866666","339","34.58741","40","61.74654","14.33333","16.57636","25.58832","10.11111","11.6934","18.05068","8.44444","9.76592","15.07529","1.66667","1.92748","2.97539","5.55556","6.42495","9.91795","4.33333","5.01146","7.736","0.37037","0.42833","0.6612","5.18519","5.99662","9.25676","5.55556","6.42495","9.91795","0.81481","0.94233","1.45463","0","0","0","4.96296","5.73962","8.86004","1","1.15649","1.78523","1.37037","1.58482","2.44643","6.2963","7.28161","11.24035","5.51852","6.38211","9.85183","2.33333","2.69848","4.16554","2.03704","2.35581","3.63658","0.7037","0.81383","1.25627","2.2963","2.65564","4.09942","1.59259","1.84182","2.84315","0.25926","0.29983","0.46284","0.47253","0.50439","0.31111","0.16484","0.76667","0.49817","0.5708","0.54945","0.42125","0.0131","0.17222","0.09516","1.8871","0.2696","0.22587","0","0.0696","0.49084","0.01445","0.15461","0.23503","0.51163","0.51163","0","0.51351","0.57047","0.8","0.01445","1.14709","53.25","true","0","0.86","0.88","0.71","0.41","0.06","0.59","0.6","0.81","0.96","0.97","0.43","0.6","0.18","0.19","0.93","0.83","0.86","0.94","0.82","0.18","0.24","0.1","0.8","0.86","0.61","0.75","0.24","0.95","0.96","1","0.82","0.91","0.8","0.84","0.83","0.57","0.63","0.96","0.9","0.92","0.33","0.09","0.1","0.98","0.96","0.97","0.96","0.91","0.92","0.42","0.18","0.19","0.98","0.93","0.95","0.95","0.81","0.84","0.59","0.23","0.25","0.18","0.18","0.18","0.99","0.98","0.98","0.69","0.42","0.44","0.84","0.59","0.62","0.94","0.87","0.89","0.92","0.84","0.85","0.91","0.78","0.81","0.96","0.9","0.92","0.5","0.24","0.09","0.21","0.19","0.12","0.35","0.31","0.5","0.91","0.89","0.19","0.38","0.36"
"30629-104354-934728-season-0","30629","104354","934728","season","0","Flynn Cameron","11","77","G","true","UC Riverside","Highlanders","21-22","40","1","true","false","false","none","871.6099999999999","1409.6198547561603","295","99","246","42","82","57","164","50","40","41","0","24","91","115","26","3","10","44","72","57","8","82","41","72","43","17","34","33","21","21","5673.933333","1850.16234","224","776","1000","683","1544","414","346","701","222","923","1596","476","28","1134.7866666","268","31.12893","40","61.83298","10.53571","13.53817","20.92763","8.78571","11.28945","17.45151","2.92857","3.76315","5.81717","5.85714","7.5263","11.63434","1.78571","2.2946","3.54706","1.46429","1.88158","2.90859","0.85714","1.10141","1.70259","3.25","4.17618","6.45564","4.10714","5.27759","8.15823","0.92857","1.19319","1.84447","0.10714","0.13768","0.21282","2.03571","2.61585","4.04364","1.53571","1.97336","3.05047","1.21429","1.56033","2.412","2.92857","3.76315","5.81717","2.57143","3.30423","5.10776","1.17857","1.51444","2.34106","0.75","0.96373","1.48976","0.35714","0.45892","0.70941","1.57143","2.01925","3.12141","2.57143","3.30423","5.10776","0.28571","0.36714","0.56753","0.40244","0.5122","0.34756","0.66667","0.8","0.51829","0.55037","0.20325","0.1626","0.03378","0.11871","0.07786","0.93182","0.09633","0.11615","0.00349","0.04065","0.23171","0.0183","0.14103","0.19603","0.40278","0.36111","0.04167","0.5","0.56944","1","0.02179","0.4914","53.25","true","0","0.73","0.49","0.73","0.62","0.84","0.72","0.71","0.7","0.32","0.4","0.25","0.33","0.32","0.65","0.61","0.65","0.32","0.32","0.3","0.33","0.42","0.29","0.56","0.28","0.59","0.74","1","0.46","0.82","1","0.83","0.74","0.58","0.62","0.74","0.53","0.58","0.5","0.24","0.25","0.92","0.82","0.84","0.59","0.37","0.4","0.54","0.29","0.31","0.81","0.62","0.64","0.82","0.64","0.67","0.83","0.62","0.66","0.67","0.4","0.42","0.48","0.35","0.36","0.7","0.49","0.52","0.88","0.79","0.81","0.77","0.57","0.6","0.67","0.47","0.49","0.61","0.39","0.41","0.61","0.41","0.43","0.59","0.38","0.4","0.6","0.61","0.37","0.58","0.56","0.35","0.62","0.59","0.07","0.37","0.34","0.15","0.28","0.26"
"30629-104354-954413-season-0","30629","104354","954413","season","0","Dominick Pickett","22","75","G","true","UC Riverside","Highlanders","21-22","40","1","true","false","false","none","852.24","1369.0656017106714","301","109","237","58","91","51","146","38","32","66","0","6","102","108","40","1","5","43","57","35","8","90","45","66","20","8","14","27","17","16","5273.933333","1710.9363799999999","202","715","917","632","1421","382","322","645","203","848","1475","453","26","1054.7866666","253.7","32.77846","40","62.24976","11.57692","14.12748","21.9858","9.11538","11.12363","17.31108","3.5","4.2711","6.64687","5.61538","6.85253","10.66421","1.46154","1.78354","2.77562","2.53846","3.09772","4.82081","0.23077","0.28161","0.43826","3.92308","4.78738","7.45034","4.15385","5.06899","7.88859","1.53846","1.87741","2.9217","0.03846","0.04694","0.07304","1.34615","1.64273","2.55649","0.76923","0.9387","1.46085","0.53846","0.65709","1.0226","3.46154","4.22416","6.57383","2.53846","3.09772","4.82081","1.03846","1.26725","1.97215","0.65385","0.7979","1.24172","0.19231","0.23468","0.36521","1.65385","2.01821","3.14083","2.19231","2.6753","4.16342","0.30769","0.37548","0.58434","0.45992","0.63736","0.34932","0.61603","0.84211","0.56751","0.59322","0.16034","0.13502","0.00877","0.13752","0.07573","1.53488","0.16433","0.18196","0.00121","0.0211","0.14768","0.02894","0.14492","0.19216","0.7193","0.70175","0.01754","0.57143","0.68182","0.94118","0.03015","0.85517","53.25","true","0","0.74","0.84","0.96","0.63","0.77","0.85","0.9","0.88","0.2","0.28","0.72","0.83","0.21","0.09","0.77","0.62","0.73","0.68","0.65","0.2","0.83","0.57","0.53","0.66","0.76","0.95","0.72","0.15","0.9","1","0.87","0.8","0.62","0.68","0.76","0.51","0.56","0.57","0.3","0.32","0.9","0.74","0.78","0.51","0.24","0.26","0.79","0.62","0.65","0.23","0.09","0.09","0.91","0.77","0.81","0.83","0.59","0.63","0.93","0.81","0.84","0.25","0.21","0.21","0.49","0.19","0.21","0.57","0.31","0.33","0.36","0.1","0.12","0.73","0.54","0.57","0.61","0.35","0.37","0.56","0.31","0.33","0.53","0.28","0.3","0.57","0.85","0.62","0.84","0.83","0.32","0.62","0.59","0.19","0.63","0.58","0.12","0.26","0.24"
"30629-104354-995797-season-0","30629","104354","995797","season","0","Callum McRae","25","85","C","true","UC Riverside","Highlanders","21-22","40","1","true","false","true","latest","849.55","1373.57543397766","303","131","244","131","241","0","3","66","41","68","0","49","172","221","13","17","13","63","51","79","8","244","122","207","48","28","41","5","10","5","5673.933333","1850.16234","224","776","1000","683","1544","414","346","701","222","923","1596","476","28","1134.7866666","273","30.34107","40","61.84953","10.82143","14.26638","22.05922","8.71429","11.48844","17.76386","8.60714","11.34718","17.54545","0.10714","0.14125","0.21841","2.35714","3.10753","4.80498","2.42857","3.2017","4.95058","1.75","2.3071","3.56733","6.14286","8.09841","12.52206","7.89286","10.40551","16.0894","0.46429","0.61209","0.94644","0.60714","0.80042","1.23765","2.82143","3.71962","5.75141","1.71429","2.26002","3.49453","1.46429","1.93043","2.98491","8.71429","11.48844","17.76386","7.39286","9.74634","15.07016","0.17857","0.23542","0.36401","0.35714","0.47084","0.72803","0.46429","0.61209","0.94644","2.25","2.96628","4.58657","1.82143","2.40127","3.71294","0.28571","0.37667","0.58242","0.53689","0.54357","0","0.0123","0.62121","0.53689","0.55495","0.27049","0.16803","0.07076","0.23021","0.15351","1.07937","0.1788","0.1683","0.02027","0.05328","0.32377","0.00939","0.18748","0.21662","0.58824","0.2549","0.33333","0.68293","0.58937","0.5","0.02966","0.82541","53.25","true","0","0.87","0.47","0.42","0.39","0.58","0.56","0.44","0.42","0.19","0.3","0.59","0.82","0.51","0.21","0.85","0.7","0.91","0.96","0.92","0.13","0.34","0.12","0.79","0.95","0.8","0.5","0.13","0.31","0.97","1","0.86","0.88","0.64","0.71","0.93","0.75","0.78","0.95","0.83","0.86","0.68","0.6","0.61","0.81","0.36","0.39","0.98","0.96","0.96","0.76","0.17","0.2","0.97","0.86","0.9","0.95","0.65","0.7","0.78","0.3","0.34","0.53","0.18","0.19","0.89","0.51","0.57","0.8","0.28","0.32","0.73","0.22","0.24","0.91","0.73","0.79","0.93","0.81","0.84","0.47","0.27","0.27","0.78","0.46","0.48","0.47","0.63","0.12","0.5","0.48","0.03","0.27","0.23","0.49","0.98","0.98","0.33","0.77","0.75"
"30629-104354-1614873-season-0","30629","104354","1614873","season","0","Wil Tattersall","14","79","G","true","UC Riverside","Highlanders","21-22","40","1","true","false","false","none","747.89","1216.045652666494","223","85","191","52","97","33","94","29","20","32","0","28","55","83","13","4","7","23","63","27","4","90","45","76","29","16","32","28","17","15","5673.933333","1850.1623399999999","224","776","1000","683","1544","414","346","701","222","923","1596","476","28","1134.7866666","203.8","26.71036","40","61.5018","7.96429","11.92689","18.33813","6.82143","10.21541","15.70665","3.46429","5.18793","7.97667","3.35714","5.02748","7.72997","1.03571","1.55103","2.38478","1.14286","1.71148","2.63148","1","1.49755","2.30255","1.96429","2.94161","4.52286","2.96429","4.43916","6.8254","0.46429","0.69529","1.06904","0.14286","0.21394","0.32894","0.96429","1.44406","2.22031","1.03571","1.55103","2.38478","1.14286","1.71148","2.63148","3.21429","4.81354","7.40104","2.71429","4.06477","6.24977","1","1.49755","2.30255","0.60714","0.90922","1.39797","0.25","0.37439","0.57564","0.82143","1.23013","1.89138","2.25","3.36948","5.18073","0.14286","0.21394","0.32894","0.44503","0.53608","0.35106","0.49215","0.68966","0.53141","0.54711","0.15183","0.10471","0.04593","0.08362","0.06549","1.3913","0.08764","0.12367","0.00542","0.03665","0.14136","0.01066","0.10143","0.16604","0.26984","0.20635","0.06349","0.5","0.59211","0.88235","0.01608","0.52782","53.25","true","0","0.59","0.77","0.81","0.64","0.56","0.33","0.78","0.69","0.18","0.18","0.09","0.1","0.43","0.79","0.24","0.47","0.65","0.27","0.35","0.44","0.12","0.13","0.33","0.33","0.59","0.81","0.51","0.14","0.64","1","0.8","0.58","0.43","0.46","0.58","0.4","0.44","0.57","0.43","0.45","0.64","0.5","0.52","0.38","0.18","0.19","0.43","0.24","0.26","0.85","0.76","0.78","0.5","0.26","0.28","0.61","0.45","0.49","0.3","0.11","0.12","0.58","0.47","0.48","0.35","0.14","0.15","0.71","0.62","0.64","0.74","0.66","0.69","0.71","0.63","0.65","0.64","0.51","0.54","0.55","0.41","0.42","0.49","0.35","0.36","0.88","0.67","0.53","0.68","0.67","0.67","0.9","0.89","0.17","0.35","0.32","0.43","0.55","0.54"
"30629-104354-950964-season-0","30629","104354","950964","season","0","J.P. Moorman II","1","79","F","true","UC Riverside","Highlanders","21-22","40","1","true","false","false","none","332.71000000000004","546.5349646920499","133","50","122","36","70","14","52","27","19","25","0","22","45","67","9","1","3","23","28","28","8","50","25","44","10","6","17","13","11","8","2398.933333","796.28495","111","367","478","287","675","148","166","301","90","391","702","233","12","479.7866666","133.9","27.72583","40","60.87625","11.08333","15.9899","24.33513","10.16667","14.66743","22.32245","5.83333","8.41574","12.80796","4.33333","6.25169","9.51449","2.25","3.24607","4.94021","2.08333","3.00562","4.57427","1.83333","2.64495","4.02536","3.75","5.41012","8.23369","5.58333","8.05506","12.25905","0.75","1.08202","1.64674","0.08333","0.12022","0.18297","2.33333","3.36629","5.12319","0.83333","1.20225","1.82971","1.41667","2.04382","3.11051","4.16667","6.01124","9.14855","3.66667","5.28989","8.05072","1.08333","1.56292","2.37862","0.91667","1.32247","2.01268","0.25","0.36067","0.54891","1.91667","2.76517","4.20833","2.33333","3.36629","5.12319","0.66667","0.9618","1.46377","0.40984","0.51429","0.26923","0.42623","0.7037","0.46721","0.49664","0.22131","0.15574","0.077","0.142","0.11118","1.08696","0.16776","0.13745","0.00307","0.02459","0.22951","0.0163","0.14661","0.24967","0.35714","0.32143","0.03571","0.35294","0.56818","0.72727","0.01937","0.67193","53.25","true","0","0.45","0.23","0.43","0.4","0.75","0.63","0.25","0.24","0.22","0.28","0.25","0.65","0.05","0.5","0.34","0.4","0.79","0.94","0.77","0.05","0.55","0.09","0.89","0.82","0.08","0.47","0.22","0.26","0.85","1","0.71","0.84","0.75","0.77","0.92","0.9","0.92","0.8","0.61","0.63","0.94","0.87","0.88","0.71","0.46","0.47","0.95","0.91","0.92","0.8","0.5","0.51","0.76","0.46","0.49","0.78","0.46","0.5","0.79","0.54","0.56","0.1","0.05","0.05","0.76","0.53","0.55","0.41","0.14","0.14","0.67","0.33","0.34","0.67","0.41","0.43","0.68","0.39","0.41","0.82","0.72","0.72","0.87","0.78","0.79","0.61","0.86","0.51","0.75","0.74","0.12","0.3","0.28","0.25","0.69","0.67","0.01","0.09","0.09"
"30629-104354-1391023-season-0","30629","104354","1391023","season","0","Daniel Mading","4","81","F","true","UC Riverside","Highlanders","21-22","40","1","true","false","false","none","302.97","497.62625441760395","57","18","55","8","19","10","36","16","11","6","0","11","37","48","5","3","3","17","35","17","5","16","8","18","4","2","9","4","5","3","5673.933333","1850.1623399999999","224","776","1000","683","1544","414","346","701","222","923","1596","476","28","1134.7866666","62","10.82036","40","60.88304","2.03571","7.5255","11.45438","1.96429","7.26145","11.05247","0.67857","2.5085","3.81813","1.28571","4.75295","7.23434","0.57143","2.11242","3.21526","0.21429","0.79216","1.20572","0.39286","1.45229","2.21049","1.32143","4.88497","7.4353","1.71429","6.33726","9.64579","0.17857","0.66013","1.00477","0.10714","0.39608","0.60286","0.60714","2.24445","3.41622","0.14286","0.52811","0.80382","0.32143","1.18824","1.80859","0.57143","2.11242","3.21526","0.64286","2.37647","3.61717","0.14286","0.52811","0.80382","0.17857","0.66013","1.00477","0.10714","0.39608","0.60286","0.60714","2.24445","3.41622","1.25","4.62092","7.03339","0.17857","0.66013","1.00477","0.32727","0.42105","0.27778","0.65455","0.6875","0.41818","0.45968","0.29091","0.2","0.04454","0.13886","0.09349","0.35294","0.03651","0.07056","0.01003","0.05455","0.30909","0.01012","0.21508","0.14287","0.22857","0.14286","0.08571","0.22222","0.44444","0.6","0.02015","0.25555","53.25","true","0","0.23","0.05","0.11","0.42","0.94","0.58","0.11","0.13","0.4","0.44","0.09","0.19","0.15","0.17","0.31","0.2","0.15","0.13","0.26","0.15","0.22","0.1","0.2","0.19","0.02","0.1","0.1","0.49","0.25","1","0.72","0.16","0.1","0.11","0.19","0.16","0.17","0.05","0.04","0.05","0.6","0.76","0.77","0.18","0.2","0.21","0.14","0.15","0.15","0.1","0.15","0.15","0.24","0.32","0.36","0.18","0.19","0.21","0.17","0.2","0.22","0.13","0.18","0.18","0.2","0.24","0.25","0.04","0.04","0.04","0.09","0.09","0.1","0.07","0.07","0.07","0.08","0.08","0.08","0.2","0.22","0.23","0.29","0.4","0.41","0.17","0.54","0.8","0.72","0.72","0.73","0.5","0.49","0.75","0.36","0.34","0.51","0.24","0.23"
"30629-104354-1603048-season-0","30629","104354","1603048","season","0","Jhaylon Martinez","12","83","C","true","UC Riverside","Highlanders","21-22","40","1","true","false","false","none","280.39000000000004","457.72778943993825","64","27","59","25","53","2","6","15","8","6","0","14","49","63","5","7","7","28","49","20","11","44","22","40","15","8","14","0","0","0","5673.933333","1850.1623400000003","224","776","1000","683","1544","414","346","701","222","923","1596","476","28","1134.7866666","65.6","10.01393","40","61.25693","2.28571","9.13014","13.98211","2.10714","8.41685","12.88976","1.89286","7.5609","11.57893","0.21429","0.85595","1.31082","0.53571","2.13988","3.27706","0.21429","0.85595","1.31082","0.5","1.99722","3.05859","1.75","6.99026","10.70505","2.25","8.98748","13.76364","0.17857","0.71329","1.09235","0.25","0.99861","1.52929","0.71429","2.85317","4.36941","0.53571","2.13988","3.27706","0.5","1.99722","3.05859","1.57143","6.27697","9.6127","1.42857","5.70634","8.73882","0","0","0","0","0","0","0.25","0.99861","1.52929","1","3.99444","6.11717","1.75","6.99026","10.70505","0.39286","1.56924","2.40318","0.45763","0.4717","0.33333","0.10169","0.53333","0.47458","0.4878","0.25424","0.13559","0.06125","0.19871","0.13259","0.21429","0.04233","0.06024","0.02529","0.11864","0.33898","0.01094","0.29915","0.18281","0.2449","0.10204","0.14286","0.57143","0.55","","0.03623","0.23155","53.25","true","0","0.37","0.16","0.14","0.72","0.79","0.33","0.17","0.15","0.15","0.17","0.11","0.25","0.15","0.1","0.68","0.46","0.15","0.33","0.3","0.21","0.44","0.2","0.58","0.28","0.42","0.36","0.02","0.35","0.33","1","0.8","0.29","0.26","0.29","0.35","0.44","0.45","0.36","0.4","0.43","0.77","0.79","0.79","0.21","0.17","0.18","0.32","0.32","0.35","0.16","0.1","0.1","0.45","0.66","0.72","0.34","0.41","0.44","0.32","0.43","0.44","0.2","0.25","0.26","0.29","0.27","0.3","0.28","0.26","0.27","0.24","0.24","0.25","0.28","0.26","0.28","0.27","0.26","0.29","0.19","0.19","0.19","0.17","0.17","0.17","0.06","0.16","0.4","0.2","0.19","0.39","0.07","0.05","0.52","0.16","0.14","0.13","0.02","0.02"
"30629-104354-995775-season-0","30629","104354","995775","season","0","Dragan Elkaz","0","77","G","true","UC Riverside","Highlanders","21-22","40","1","true","false","true","latest","233.98999999999998","380.3870229112222","55","17","56","0","2","17","54","8","4","4","0","4","21","25","4","1","0","7","18","10","0","0","0","0","9","3","6","3","4","1","5075","1657.82319","196","693","889","605","1370","389","313","629","198","827","1428","424","25","1015","59.5","9.3596","40","61.51367","2.2","9.40211","14.45896","2.24","9.57306","14.72185","0.08","0.34189","0.52578","2.16","9.23116","14.19607","0.32","1.36758","2.10312","0.16","0.68379","1.05156","0.16","0.68379","1.05156","0.84","3.5899","5.52069","1","4.27369","6.57225","0.16","0.68379","1.05156","0.04","0.17095","0.26289","0.4","1.70947","2.6289","0.36","1.53853","2.36601","0.24","1.02568","1.57734","0","0","0","0","0","0","0.12","0.51284","0.78867","0.16","0.68379","1.05156","0","0","0","0.28","1.19663","1.84023","0.72","3.07705","4.73202","0","0","0","0.30357","0","0.31481","0.96429","0.5","0.45536","0.46218","0.14286","0.07143","0.02103","0.10224","0.0632","0.57143","0.03266","0.05672","0.00432","0","0.17857","0.01047","0.10523","0.15562","0.27778","0.22222","0.05556","0.5","","0.25","0.014790000000000001","0.20987","53.25","true","0","0.19","0.08","0","0.44","1","0.08","0.34","0.2","0.15","0.09","0.1","0.12","0.39","0.42","0.44","0.43","0.09","0.03","0.04","0.37","0.11","0.1","0.26","0.03","0.59","0.01","0.01","0.25","0.14","1","0.8","0.14","0.22","0.24","0.15","0.33","0.36","0","0","0","0.44","0.93","0.95","0.09","0.15","0.16","0.03","0.03","0.03","0.16","0.39","0.41","0.16","0.46","0.49","0.14","0.4","0.44","0.07","0.1","0.11","0.26","0.4","0.41","0.12","0.21","0.22","0.26","0.61","0.63","0.12","0.27","0.29","0.01","0.01","0.01","0","0","0","0.07","0.08","0.08","0.12","0.22","0.22","0.86","1","1","1","1","0.94","0.91","0.9","0.88","0.46","0.42","1","1","1"
"30629-104354-1391020-season-0","30629","104354","1391020","season","0","Quinton Ford","2","75","G","true","UC Riverside","Highlanders","21-22","40","1","true","false","false","none","220.79999999999998","364.8394940073267","42","16","49","13","26","3","23","11","7","5","0","4","19","23","9","0","1","16","20","10","2","26","13","23","0","0","2","13","11","8","3598.933333","1183.0546299999999","157","519","676","427","1002","265","221","462","147","609","1037","341","18","719.7866666","53.8","12.26667","40","60.51976","2.33333","7.6087","11.51191","2.72222","8.87681","13.43056","1.44444","4.71014","7.12642","1.27778","4.16667","6.30414","0.61111","1.99275","3.01502","0.27778","0.9058","1.37047","0.22222","0.72464","1.09637","1.05556","3.44203","5.20777","1.27778","4.16667","6.30414","0.5","1.63043","2.46684","0","0","0","0.55556","1.81159","2.74093","0","0","0","0.11111","0.36232","0.54819","1.44444","4.71014","7.12642","1.27778","4.16667","6.30414","0.72222","2.35507","3.56321","0.61111","1.99275","3.01502","0.05556","0.18116","0.27409","0.88889","2.89855","4.38549","1.11111","3.62319","5.48186","0.11111","0.36232","0.54819","0.32653","0.5","0.13043","0.46939","0.63636","0.35714","0.39033","0.22449","0.14286","0.02107","0.093","0.05835","0.3125","0.04348","0.06681","0","0.02041","0.20408","0.0248","0.2291","0.16995","0.45","0.45","0","0","0.56522","0.72727","0.0248","0.25584","53.25","true","0","0.15","0.12","0.69","0.05","0.51","0.21","0.08","0.07","0.39","0.32","0.34","0.5","0.18","0.42","0.34","0.35","0.02","0.05","0.07","0.18","0.71","0.39","0.36","0.06","0.03","0.73","0.13","0.35","0.21","1","0.66","0.15","0.11","0.12","0.21","0.26","0.27","0.26","0.36","0.37","0.25","0.37","0.38","0.22","0.29","0.3","0.06","0.05","0.05","0.22","0.42","0.43","0.22","0.41","0.43","0.21","0.38","0.39","0.33","0.68","0.7","0.18","0.18","0.18","0.19","0.23","0.24","0.05","0.05","0.05","0.04","0.03","0.03","0.39","0.61","0.63","0.33","0.53","0.55","0.4","0.7","0.71","0.5","0.83","0.84","0.14","0.86","0.9","0.88","0.88","0.64","0.27","0.26","0.74","0.28","0.26","0.53","0.28","0.27"
