"_id","competitionId","teamId","playerId","scope","tournamentId","fullName","jerseyNum","height","position","hasImage","teamMarket","teamName","seasonLabel","conferenceId","divisionId","isLatest","isDraft","isTransfer","transferSeason","mins","poss","ptsScored","fgm","fga","fgm2","fga2","fgm3","fga3","fta","ftm","ast","defAst","orb","drb","reb","stl","blk","blkd","tov","pf","pfd","opf","pitp","pitpFgm","pitpFga","scp","scpFgm","scpFga","fbpts","fbptsFga","fbptsFgm","minsTm","dPossTm","orbTm","drbTm","rebTm","fgmTm","fgaTm","ftaTm","tovTm","drbAgst","orbAgst","rebAgst","fgaAgst","fga3Agst","gp","minsTmBy5","tsa","minsPg","minsP40","minsP100","ptsScoredPg","ptsScoredP40","ptsScoredP100","fgaPg","fgaP40","fgaP100","fga2Pg","fga2P40","fga2P100","fga3Pg","fga3P40","fga3P100","ftaPg","ftaP40","ftaP100","astPg","astP40","astP100","orbPg","orbP40","orbP100","drbPg","drbP40","drbP100","rebPg","rebP40","rebP100","stlPg","stlP40","stlP100","blkPg","blkP40","blkP100","pfdPg","pfdP40","pfdP100","scpPg","scpP40","scpP100","scpFgaPg","scpFgaP40","scpFgaP100","pitpPg","pitpP40","pitpP100","pitpFgaPg","pitpFgaP40","pitpFgaP100","fbptsPg","fbptsP40","fbptsP100","fbptsFgaPg","fbptsFgaP40","fbptsFgaP100","blkdPg","blkdP40","blkdP100","tovPg","tovP40","tovP100","pfPg","pfP40","pfP100","opfPg","opfP40","opfP100","fgPct","fg2Pct","fg3Pct","fga3Rate","ftPct","efgPct","tsPct","ftaRate","ftmRate","orbPct","drbPct","rebPct","astTov","astPct","astRatio","blkPct","blkdPerFga","pfdPerFga","stlPct","tovPct","usagePct","pfEff","stlPerPf","blkPerPf","scpFgPct","pitpFgPct","fbptsFgPct","hkmPct","astUsage","minsThreshold","isQualified","positionPctile","ptsScoredPctile","fgPctPctile","fg2PctPctile","fg3PctPctile","fga3RatePctile","ftPctPctile","efgPctPctile","tsPctPctile","ftaRatePctile","ftmRatePctile","pfEffPctile","stlPerPfPctile","blkPerPfPctile","orbPctPctile","drbPctPctile","rebPctPctile","astTovPctile","astPctPctile","astRatioPctile","blkPctPctile","stlPctPctile","hkmPctPctile","usagePctPctile","astUsagePctile","scpFgPctPctile","pitpFgPctPctile","fbptsFgPctPctile","pfdPerFgaPctile","minsPgPctile","minsP40Pctile","minsP100Pctile","ptsScoredPgPctile","ptsScoredP40Pctile","ptsScoredP100Pctile","fgaPgPctile","fgaP40Pctile","fgaP100Pctile","fga2PgPctile","fga2P40Pctile","fga2P100Pctile","fga3PgPctile","fga3P40Pctile","fga3P100Pctile","ftaPgPctile","ftaP40Pctile","ftaP100Pctile","astPgPctile","astP40Pctile","astP100Pctile","orbPgPctile","orbP40Pctile","orbP100Pctile","drbPgPctile","drbP40Pctile","drbP100Pctile","rebPgPctile","rebP40Pctile","rebP100Pctile","stlPgPctile","stlP40Pctile","stlP100Pctile","blkPgPctile","blkP40Pctile","blkP100Pctile","pfdPgPctile","pfdP40Pctile","pfdP100Pctile","scpPgPctile","scpP40Pctile","scpP100Pctile","scpFgaPgPctile","scpFgaP40Pctile","scpFgaP100Pctile","pitpPgPctile","pitpP40Pctile","pitpP100Pctile","pitpFgaPgPctile","pitpFgaP40Pctile","pitpFgaP100Pctile","fbptsPgPctile","fbptsP40Pctile","fbptsP100Pctile","fbptsFgaPgPctile","fbptsFgaP40Pctile","fbptsFgaP100Pctile","tovPctPctile","blkdPerFgaPctile","blkdPgPctile","blkdP40Pctile","blkdP100Pctile","tovPgPctile","tovP40Pctile","tovP100Pctile","pfPgPctile","pfP40Pctile","pfP100Pctile","opfPgPctile","opfP40Pctile","opfP100Pctile"
"30629-104356-1736920-season-0","30629","104356","1736920","season","0","Ajay Mitchell","13","76","G","true","UC Santa Barbara","Gauchos","21-22","40","1","true","false","false","none","864.65","1407.8525380533333","312","112","211","96","162","16","49","96","72","101","0","4","56","60","22","6","8","48","79","117","4","152","76","117","16","8","17","27","30","23","5500","1795.7368600000002","248","691","939","724","1464","552","358","581","252","833","1521","497","27","1100","253.2","32.02407","40","61.41623","11.55556","14.43359","22.16141","7.81481","9.76118","14.98737","6","7.49436","11.50689","1.81481","2.26681","3.48048","3.55556","4.4411","6.8189","3.74074","4.67241","7.17405","0.14815","0.18505","0.28412","2.07407","2.59064","3.97769","2.22222","2.77569","4.26181","0.81481","1.01775","1.56266","0.22222","0.27757","0.42618","4.33333","5.41259","8.31053","0.59259","0.74018","1.13648","0.62963","0.78645","1.20751","5.62963","7.03175","10.79659","4.33333","5.41259","8.31053","1","1.24906","1.91781","1.11111","1.38784","2.1309","0.2963","0.37009","0.56824","1.77778","2.22055","3.40945","2.92593","3.65466","5.61138","0.14815","0.18505","0.28412","0.53081","0.59259","0.32653","0.23223","0.75","0.56872","0.61611","0.45498","0.34123","0.00614","0.07555","0.04308","2.10417","0.22096","0.25109","0.00745","0.03791","0.5545","0.01559","0.15934","0.1856","0.35443","0.27848","0.07595","0.47059","0.64957","0.76667","0.023039999999999998","1.19052","53.25","true","0","0.75","0.97","0.92","0.5","0.12","0.55","0.91","0.94","0.9","0.91","0.18","0.19","0.49","0.06","0.16","0.11","0.91","0.86","0.88","0.55","0.29","0.33","0.49","0.87","0.47","0.91","0.18","0.97","0.86","1","0.79","0.8","0.65","0.69","0.66","0.35","0.38","0.83","0.72","0.75","0.37","0.13","0.14","0.9","0.83","0.84","0.93","0.87","0.89","0.14","0.05","0.05","0.53","0.16","0.18","0.43","0.08","0.09","0.59","0.28","0.29","0.73","0.57","0.58","0.98","0.97","0.97","0.46","0.2","0.21","0.43","0.15","0.17","0.91","0.86","0.87","0.83","0.73","0.75","0.55","0.31","0.32","0.77","0.59","0.62","0.47","0.65","0.46","0.69","0.68","0.27","0.54","0.51","0.02","0.27","0.23","0.41","0.6","0.59"
"30629-104356-995640-season-0","30629","104356","995640","season","0","Amadou Sow","12","81","F","true","UC Santa Barbara","Gauchos","21-22","40","1","true","false","false","none","830.97","1354.9384009001112","438","180","319","170","286","10","33","89","68","20","0","83","152","235","21","23","20","55","69","83","11","316","158","245","76","41","66","55","36","32","5725","1873.61868","256","721","977","755","1527","571","371","606","255","861","1582","523","28","1145","358.2","29.6775","40","61.32899","15.64286","21.08379","32.32619","11.39286","15.35555","23.54351","10.21429","13.76704","21.10797","1.17857","1.58851","2.43554","3.17857","4.28415","6.56856","0.71429","0.96273","1.47608","2.96429","3.99533","6.12574","5.42857","7.31675","11.21822","8.39286","11.31208","17.34396","0.75","1.01087","1.54989","0.82143","1.10714","1.69749","2.96429","3.99533","6.12574","2.71429","3.65838","5.60911","2.35714","3.17701","4.87107","11.28571","15.21114","23.32209","8.75","11.79345","18.082","1.96429","2.64751","4.05923","1.28571","1.73291","2.65695","0.71429","0.96273","1.47608","1.96429","2.64751","4.05923","2.46429","3.32142","5.09248","0.39286","0.5295","0.81185","0.56426","0.59441","0.30303","0.10345","0.76404","0.57994","0.61139","0.279","0.21317","0.13268","0.21459","0.17617","0.36364","0.05436","0.04617","0.02993","0.0627","0.26019","0.01544","0.13312","0.26488","0.63768","0.30435","0.33333","0.62121","0.6449","0.88889","0.04537","0.20523","53.25","true","0","0.93","0.83","0.77","0.52","0.37","0.79","0.79","0.82","0.37","0.5","0.67","0.61","0.71","0.92","0.87","0.94","0.16","0.28","0.1","0.58","0.5","0.54","0.93","0.11","0.67","0.82","0.61","0.35","0.9","1","0.79","0.97","0.95","0.96","0.95","0.93","0.94","0.98","0.96","0.97","0.58","0.45","0.45","0.86","0.68","0.71","0.54","0.21","0.22","0.97","0.83","0.86","0.94","0.85","0.87","0.97","0.88","0.91","0.79","0.47","0.5","0.83","0.59","0.61","0.88","0.7","0.73","0.95","0.84","0.85","0.92","0.73","0.75","0.99","0.98","0.98","0.98","0.96","0.97","0.96","0.91","0.93","0.95","0.89","0.9","0.72","0.45","0.05","0.18","0.17","0.1","0.35","0.32","0.2","0.7","0.68","0.12","0.36","0.34"
"30629-104356-953087-season-0","30629","104356","953087","season","0","Miles Norris","5","82","F","true","UC Santa Barbara","Gauchos","21-22","40","1","true","false","false","none","821.05","1332.8371867959445","289","101","226","64","122","37","104","63","50","35","0","40","117","157","23","18","1","47","50","43","7","102","51","84","41","25","39","42","27","25","5725","1873.61868","256","721","977","755","1527","571","371","606","255","861","1582","523","28","1145","253.7","29.32321","40","61.60167","10.32143","14.07953","21.68307","8.07143","11.01029","16.95631","4.35714","5.94361","9.15341","3.71429","5.06668","7.8029","2.25","3.06924","4.72676","1.25","1.70513","2.62598","1.42857","1.94872","3.00112","4.17857","5.70002","8.77827","5.60714","7.64874","11.77938","0.82143","1.12052","1.72564","0.64286","0.87693","1.3505","1.53571","2.09488","3.2262","1.46429","1.99744","3.07614","1.39286","1.90001","2.92609","3.64286","4.96925","7.65285","3","4.09232","6.30235","1.5","2.04616","3.15117","0.96429","1.31539","2.02575","0.03571","0.04872","0.07503","1.67857","2.28975","3.52631","1.78571","2.43591","3.7514","0.25","0.34103","0.5252","0.4469","0.52459","0.35577","0.46018","0.79365","0.52876","0.56957","0.27876","0.22124","0.06471","0.16718","0.11912","0.74468","0.07947","0.10425","0.0237","0.00442","0.19027","0.01712","0.15629","0.19513","0.82","0.46","0.36","0.64103","0.60714","0.92593","0.040819999999999995","0.40727","53.25","true","0","0.79","0.39","0.48","0.75","0.78","0.86","0.55","0.63","0.37","0.54","0.84","0.85","0.74","0.37","0.56","0.5","0.55","0.54","0.55","0.46","0.6","0.46","0.61","0.47","0.75","0.67","0.69","0.16","0.89","1","0.81","0.81","0.6","0.65","0.81","0.58","0.62","0.66","0.32","0.34","0.9","0.79","0.81","0.71","0.42","0.44","0.79","0.58","0.6","0.67","0.28","0.3","0.82","0.54","0.58","0.78","0.39","0.44","0.83","0.57","0.61","0.74","0.48","0.5","0.57","0.2","0.22","0.69","0.36","0.38","0.66","0.28","0.3","0.61","0.3","0.32","0.58","0.25","0.27","0.9","0.83","0.85","0.88","0.77","0.79","0.53","1","0.93","1","1","0.18","0.48","0.46","0.51","0.91","0.89","0.34","0.6","0.59"
"30629-104356-1621452-season-0","30629","104356","1621452","season","0","Calvin Wishart","10","74","G","true","UC Santa Barbara","Gauchos","21-22","40","1","true","false","false","none","716.99","1172.4450285993332","182","55","128","31","63","24","65","61","48","72","0","3","72","75","30","4","5","42","60","74","9","58","29","49","8","4","8","34","28","23","5325","1738.28761","235","680","915","709","1416","535","343","554","236","790","1477","495","26","1065","154.8","27.57654","40","61.1534","7","10.15356","15.52312","4.92308","7.14096","10.91736","2.42308","3.51469","5.37339","2.5","3.62627","5.54397","2.34615","3.40312","5.2028","2.76923","4.01679","6.14101","0.11538","0.16737","0.25588","2.76923","4.01679","6.14101","2.88462","4.18416","6.39689","1.15385","1.67366","2.55876","0.15385","0.22316","0.34117","2.84615","4.12837","6.3116","0.30769","0.44631","0.68233","0.30769","0.44631","0.68233","2.23077","3.23575","4.94693","1.88462","2.73365","4.1793","1.30769","1.89682","2.89992","1.07692","1.56209","2.38817","0.19231","0.27894","0.42646","1.61538","2.34313","3.5822599999999998","2.30769","3.34733","5.11751","0.34615","0.5021","0.76763","0.42969","0.49206","0.36923","0.50781","0.78689","0.52344","0.58786","0.47656","0.375","0.00565","0.11675","0.06534","1.71429","0.17049","0.26782","0.00605","0.03906","0.57813","0.02564","0.21337","0.1466","0.56667","0.5","0.06667","0.5","0.59184","0.82143","0.031689999999999996","1.16296","53.25","true","0","0.5","0.68","0.64","0.74","0.59","0.67","0.74","0.87","0.92","0.94","0.52","0.58","0.45","0.05","0.59","0.47","0.8","0.71","0.91","0.47","0.74","0.62","0.19","0.86","0.59","0.81","0.28","0.98","0.67","1","0.76","0.51","0.28","0.3","0.42","0.11","0.12","0.43","0.21","0.22","0.51","0.3","0.31","0.72","0.64","0.66","0.83","0.79","0.81","0.1","0.04","0.04","0.73","0.59","0.62","0.6","0.38","0.41","0.8","0.7","0.74","0.6","0.49","0.5","0.87","0.86","0.87","0.22","0.1","0.11","0.18","0.05","0.05","0.55","0.4","0.4","0.48","0.28","0.3","0.67","0.55","0.57","0.75","0.67","0.69","0.18","0.64","0.62","0.79","0.78","0.33","0.49","0.45","0.15","0.36","0.33","0.08","0.14","0.13"
"30629-104356-1363071-season-0","30629","104356","1363071","season","0","Josh Pierre-Louis","2","75","G","true","UC Santa Barbara","Gauchos","21-22","40","1","true","false","false","none","657.35","1072.5261819311665","228","88","160","83","132","5","28","82","47","81","0","27","80","107","32","1","10","66","52","71","6","164","82","129","29","17","35","63","54","40","5300","1730.96804","244","663","907","698","1407","544","348","552","246","798","1463","483","26","1060","196.1","25.28269","40","61.28988","8.76923","13.87389","21.25822","6.15385","9.73606","14.91805","5.07692","8.03225","12.30739","1.07692","1.70381","2.61066","3.15385","4.98973","7.6455","3.11538","4.92888","7.55226","1.03846","1.64296","2.51742","3.07692","4.86803","7.45903","4.11538","6.51099","9.97645","1.23077","1.94721","2.98361","0.03846","0.06085","0.09324","2.73077","4.32038","6.61989","1.11538","1.76466","2.7039","1.34615","2.12976","3.26332","6.30769","9.97946","15.291","4.96154","7.8497","12.02768","2.42308","3.83357","5.87398","2.07692","3.28592","5.03484","0.38462","0.6085","0.93238","2.53846","4.01613","6.1537","2","3.16422","4.84837","0.23077","0.3651","0.55943","0.55","0.62879","0.17857","0.175","0.57317","0.56563","0.58134","0.5125","0.29375","0.0547","0.14192","0.1012","1.22727","0.23488","0.2361","0.00165","0.0625","0.44375","0.02981","0.25183","0.2119","0.63462","0.61538","0.01923","0.48571","0.63566","0.74074","0.03146","1.10845","53.25","true","0","0.6","0.98","0.95","0.08","0.07","0.13","0.9","0.85","0.94","0.84","0.61","0.74","0.22","0.85","0.79","0.87","0.54","0.89","0.85","0.22","0.85","0.61","0.66","0.84","0.51","0.9","0.13","0.92","0.58","1","0.77","0.64","0.6","0.64","0.52","0.35","0.38","0.76","0.78","0.8","0.2","0.08","0.08","0.86","0.88","0.9","0.87","0.9","0.91","0.86","0.8","0.82","0.79","0.78","0.81","0.83","0.82","0.84","0.84","0.83","0.85","0.25","0.23","0.23","0.85","0.88","0.9","0.74","0.71","0.73","0.83","0.82","0.84","0.94","0.97","0.98","0.88","0.93","0.94","0.92","0.94","0.95","0.96","0.98","0.98","0.09","0.31","0.34","0.4","0.38","0.08","0.06","0.05","0.29","0.42","0.39","0.23","0.28","0.26"
"30629-104356-980012-season-0","30629","104356","980012","season","0","Ajare Sanni","3","75","G","true","UC Santa Barbara","Gauchos","21-22","40","1","true","false","false","none","583.02","963.5900070066111","224","71","201","42","110","29","91","67","53","64","0","7","52","59","23","0","10","31","41","48","2","60","30","73","15","7","19","52","36","32","4525","1496.20045","214","580","794","602","1226","456","302","480","202","682","1277","422","22","905","230.5","26.50091","40","60.50499","10.18182","15.36825","23.2464","9.13636","13.79026","20.85949","5","7.54691","11.41564","4.13636","6.24335","9.44385","3.04545","4.59675","6.95316","2.90909","4.39093","6.64183","0.31818","0.48026","0.72645","2.36364","3.56763","5.39649","2.68182","4.04789","6.12294","1.04545","1.57799","2.38691","0","0","0","2.18182","3.2932","4.98137","0.68182","1.02912","1.55668","0.86364","1.30356","1.97179","2.72727","4.1165","6.22671","3.31818","5.0084","7.57584","2.36364","3.56763","5.39649","1.63636","2.4699","3.73603","0.45455","0.68608","1.03779","1.40909","2.12686","3.21714","1.86364","2.81294","4.25492","0.09091","0.13722","0.20756","0.35323","0.38182","0.31868","0.45274","0.79104","0.42537","0.4859","0.33333","0.26368","0.01566","0.10322","0.06205","2.06452","0.20201","0.19663","0","0.04975","0.23881","0.02386","0.11856","0.2348","0.56098","0.56098","0","0.36842","0.41096","0.88889","0.02386","0.86035","53.25","true","0","0.59","0.21","0.18","0.45","0.48","0.68","0.21","0.3","0.72","0.78","0.51","0.67","0.18","0.27","0.45","0.41","0.91","0.82","0.72","0.18","0.67","0.36","0.8","0.67","0.22","0.18","0.54","0.49","0.63","1","0.66","0.72","0.72","0.74","0.76","0.79","0.81","0.75","0.73","0.74","0.75","0.67","0.68","0.84","0.85","0.86","0.84","0.85","0.85","0.35","0.22","0.23","0.62","0.45","0.47","0.55","0.34","0.36","0.74","0.65","0.67","0.18","0.18","0.18","0.73","0.7","0.71","0.52","0.35","0.36","0.59","0.43","0.44","0.63","0.52","0.53","0.73","0.67","0.69","0.91","0.92","0.93","0.92","0.92","0.93","0.77","0.46","0.25","0.33","0.31","0.41","0.58","0.57","0.36","0.56","0.55","0.61","0.69","0.69"
"30629-104356-995643-season-0","30629","104356","995643","season","0","Robinson Idehen","24","82","F","true","UC Santa Barbara","Gauchos","21-22","40","1","true","false","false","none","403.28999999999996","663.2151817896666","147","60","94","60","94","0","0","53","27","5","0","35","55","90","7","24","7","28","58","56","10","118","59","89","32","19","28","15","14","9","5500","1795.73686","248","691","939","724","1464","552","358","581","252","833","1521","497","27","1100","117.3","14.93667","40","60.80832","5.44444","14.58008","22.16475","3.48148","9.32332","14.17338","3.48148","9.32332","14.17338","0","0","0","1.96296","5.25676","7.99137","0.18519","0.49592","0.7539","1.2963","3.47145","5.27732","2.03704","5.45513","8.29293","3.33333","8.92658","13.57026","0.25926","0.69429","1.05546","0.88889","2.38042","3.61874","2.07407","5.55432","8.44372","1.18519","3.17389","4.82498","1.03704","2.77716","4.22186","4.37037","11.70374","17.79211","3.2963","8.82739","13.41948","0.55556","1.48776","2.26171","0.51852","1.38858","2.11093","0.25926","0.69429","1.05546","1.03704","2.77716","4.22186","2.14815","5.75268","8.74528","0.37037","0.99184","1.50781","0.6383","0.6383","","0","0.50943","0.6383","0.6266","0.56383","0.28723","0.11516","0.15908","0.13853","0.17857","0.02434","0.03326","0.06393","0.07447","0.59574","0.01063","0.19268","0.19196","0.53448","0.12069","0.41379","0.67857","0.66292","0.64286","0.07456","0.1268","53.25","true","0","0.5","0.95","0.89","0.16","0.15","0.19","0.93","0.88","0.88","0.73","0.52","0.13","0.81","0.84","0.49","0.72","0.04","0.06","0.05","0.9","0.24","0.86","0.58","0.04","0.85","0.85","0.13","0.92","0.41","1","0.7","0.48","0.65","0.68","0.39","0.37","0.4","0.55","0.7","0.72","0.15","0.15","0.15","0.65","0.83","0.85","0.11","0.06","0.06","0.6","0.74","0.75","0.42","0.48","0.51","0.47","0.62","0.65","0.26","0.23","0.24","0.86","0.91","0.92","0.71","0.92","0.93","0.58","0.73","0.75","0.49","0.6","0.62","0.69","0.88","0.9","0.62","0.81","0.83","0.58","0.68","0.69","0.68","0.8","0.81","0.28","0.33","0.48","0.4","0.38","0.46","0.3","0.27","0.32","0.17","0.15","0.14","0.08","0.08"
"30629-104356-995628-season-0","30629","104356","995628","season","0","Sekou Touré","0","77","G","true","UC Santa Barbara","Gauchos","21-22","40","1","true","false","true","latest","304.30999999999995","509.19786617022226","70","27","56","25","41","2","15","27","14","23","0","15","54","69","6","2","3","20","37","21","4","42","21","36","21","12","19","15","13","10","5725","1873.61868","256","721","977","755","1527","571","371","606","255","861","1582","523","28","1145","67.9","10.86821","40","59.76262","2.5","9.20114","13.74711","2","7.36091","10.99769","1.46429","5.38924","8.05188","0.53571","1.97167","2.94581","0.96429","3.54901","5.30246","0.82143","3.02323","4.51691","0.53571","1.97167","2.94581","1.92857","7.09803","10.60491","2.46429","9.0697","13.55072","0.21429","0.78867","1.17832","0.07143","0.26289","0.39277","0.75","2.76034","4.12413","0.75","2.76034","4.12413","0.67857","2.49745","3.73136","1.5","5.52069","8.24827","1.28571","4.73202","7.06994","0.53571","1.97167","2.94581","0.46429","1.70878","2.55304","0.10714","0.39433","0.58916","0.71429","2.6289","3.92775","1.32143","4.86346","7.26633","0.14286","0.52578","0.78555","0.48214","0.60976","0.13333","0.26786","0.51852","0.5","0.51546","0.48214","0.25","0.06547","0.20818","0.14125","1.15","0.13244","0.20743","0.00711","0.05357","0.375","0.01205","0.22758","0.15385","0.21622","0.16216","0.05405","0.63158","0.58333","0.76923","0.01916","0.86084","53.25","true","0","0.23","0.91","0.94","0.05","0.16","0.09","0.63","0.48","0.92","0.74","0.05","0.06","0.38","0.91","0.99","0.99","0.48","0.53","0.76","0.54","0.16","0.21","0.24","0.67","0.87","0.79","0.18","0.84","0.18","1","0.53","0.16","0.2","0.21","0.12","0.12","0.12","0.27","0.46","0.46","0.08","0.1","0.1","0.35","0.68","0.68","0.31","0.6","0.61","0.6","0.87","0.87","0.49","0.98","0.98","0.5","0.97","0.97","0.1","0.15","0.15","0.37","0.55","0.55","0.27","0.54","0.54","0.56","0.93","0.93","0.47","0.9","0.91","0.4","0.72","0.73","0.33","0.62","0.63","0.31","0.58","0.58","0.39","0.74","0.74","0.15","0.42","0.8","0.66","0.66","0.72","0.36","0.36","0.65","0.07","0.06","0.43","0.12","0.12"
"30629-104356-1736906-season-0","30629","104356","1736906","season","0","Cole Anderson","4","76","G","true","UC Santa Barbara","Gauchos","21-22","40","1","true","false","false","none","284.41","457.3180025055555","111","37","83","14","26","23","57","16","14","9","0","2","17","19","6","0","3","6","22","14","0","20","10","14","10","4","7","17","9","9","5525","1782.9614200000003","244","668","912","715","1463","528","351","588","246","834","1506","489","27","1105","90","10.5337","40","62.19086","4.11111","15.61127","24.27195","3.07407","11.67329","18.1493","0.96296","3.65669","5.68532","2.11111","8.0166","12.46397","0.59259","2.25027","3.49866","0.33333","1.26578","1.968","0.07407","0.28128","0.43733","0.62963","2.39091","3.71733","0.7037","2.6722","4.15466","0.22222","0.84385","1.312","0","0","0","0.51852","1.96899","3.06133","0.37037","1.40642","2.18666","0.25926","0.98449","1.53066","0.74074","2.81284","4.37332","0.51852","1.96899","3.06133","0.62963","2.39091","3.71733","0.33333","1.26578","1.968","0.11111","0.42193","0.656","0.22222","0.84385","1.312","0.81481","3.09412","4.81066","0","0","0","0.44578","0.53846","0.40351","0.68675","0.875","0.58434","0.61667","0.19277","0.16867","0.00934","0.07226","0.04228","1.5","0.06121","0.08568","0","0.03614","0.16867","0.01307","0.06247","0.18235","0.27273","0.27273","0","0.57143","0.71429","1","0.01307","0.33567","53.25","true","0","0.34","0.78","0.82","0.88","0.86","0.92","0.94","0.94","0.29","0.43","0.1","0.18","0.18","0.11","0.13","0.1","0.72","0.12","0.13","0.18","0.19","0.08","0.46","0.11","0.76","0.96","1","0.22","0.17","1","0.87","0.31","0.74","0.79","0.25","0.57","0.64","0.15","0.22","0.24","0.43","0.86","0.89","0.21","0.36","0.39","0.09","0.12","0.13","0.06","0.09","0.09","0.09","0.11","0.13","0.06","0.07","0.08","0.11","0.17","0.19","0.18","0.18","0.18","0.17","0.28","0.31","0.27","0.55","0.58","0.13","0.25","0.27","0.2","0.32","0.35","0.12","0.15","0.17","0.36","0.71","0.74","0.29","0.54","0.56","0.98","0.68","0.79","0.63","0.6","0.97","0.97","0.96","0.85","0.45","0.4","1","1","1"
"30629-104356-995638-season-0","30629","104356","995638","season","0","Jay Nagle","1","80","F","true","UC Santa Barbara","Gauchos","21-22","40","1","true","false","true","latest","162.3","279.83122563127773","26","9","25","5","12","4","13","6","4","19","0","5","18","23","4","2","2","3","7","3","0","6","3","8","2","1","1","3","4","3","4700","1555.0611199999998","205","606","811","640","1257","486","306","482","207","689","1315","444","23","940","27.6","7.05652","40","57.99925","1.13043","6.40789","9.29131","1.08696","6.16143","8.93396","0.52174","2.95749","4.2883","0.56522","3.20394","4.64566","0.26087","1.47874","2.14415","0.82609","4.68269","6.78981","0.21739","1.23229","1.78679","0.78261","4.43623","6.43245","1","5.66852","8.21924","0.17391","0.98583","1.42943","0.08696","0.49291","0.71472","0.13043","0.73937","1.07207","0.08696","0.49291","0.71472","0.04348","0.24646","0.35736","0.26087","1.47874","2.14415","0.34783","1.97166","2.85887","0.13043","0.73937","1.07207","0.17391","0.98583","1.42943","0.08696","0.49291","0.71472","0.13043","0.73937","1.07207","0.30435","1.7252","2.50151","0","0","0","0.36","0.41667","0.30769","0.52","0.66667","0.44","0.47101","0.24","0.16","0.04215","0.12823","0.08881","6.33333","0.18719","0.38276","0.0133","0.08","0.12","0.0149","0.09791","0.09987","0.85714","0.57143","0.28571","1","0.375","0.75","0.0282","1.87434","53.25","true","0","0.09","0.1","0.1","0.54","0.84","0.53","0.15","0.15","0.28","0.29","0.86","0.93","0.62","0.15","0.23","0.16","1","0.96","1","0.23","0.46","0.23","0.04","1","1","0.04","0.28","0.04","0.09","1","0.26","0.05","0.06","0.05","0.06","0.09","0.08","0.03","0.07","0.06","0.45","0.6","0.59","0.05","0.1","0.09","0.61","0.98","0.98","0.03","0.1","0.09","0.08","0.23","0.2","0.04","0.11","0.1","0.17","0.46","0.43","0.1","0.24","0.23","0.01","0.02","0.02","0.02","0.03","0.03","0.01","0.01","0.01","0.02","0.04","0.04","0.03","0.05","0.05","0.18","0.33","0.32","0.29","0.61","0.59","0.92","0.28","0.84","0.61","0.63","0.98","0.98","0.98","0.99","0.98","0.98","1","1","1"
