"_id","competitionId","teamId","playerId","scope","tournamentId","fullName","jerseyNum","height","position","hasImage","teamMarket","teamName","seasonLabel","conferenceId","divisionId","isLatest","isDraft","isTransfer","transferSeason","mins","poss","ptsScored","fgm","fga","fgm2","fga2","fgm3","fga3","fta","ftm","ast","defAst","orb","drb","reb","stl","blk","blkd","tov","pf","pfd","opf","pitp","pitpFgm","pitpFga","scp","scpFgm","scpFga","fbpts","fbptsFga","fbptsFgm","minsTm","dPossTm","orbTm","drbTm","rebTm","fgmTm","fgaTm","ftaTm","tovTm","drbAgst","orbAgst","rebAgst","fgaAgst","fga3Agst","gp","minsTmBy5","tsa","minsPg","minsP40","minsP100","ptsScoredPg","ptsScoredP40","ptsScoredP100","fgaPg","fgaP40","fgaP100","fga2Pg","fga2P40","fga2P100","fga3Pg","fga3P40","fga3P100","ftaPg","ftaP40","ftaP100","astPg","astP40","astP100","orbPg","orbP40","orbP100","drbPg","drbP40","drbP100","rebPg","rebP40","rebP100","stlPg","stlP40","stlP100","blkPg","blkP40","blkP100","pfdPg","pfdP40","pfdP100","scpPg","scpP40","scpP100","scpFgaPg","scpFgaP40","scpFgaP100","pitpPg","pitpP40","pitpP100","pitpFgaPg","pitpFgaP40","pitpFgaP100","fbptsPg","fbptsP40","fbptsP100","fbptsFgaPg","fbptsFgaP40","fbptsFgaP100","blkdPg","blkdP40","blkdP100","tovPg","tovP40","tovP100","pfPg","pfP40","pfP100","opfPg","opfP40","opfP100","fgPct","fg2Pct","fg3Pct","fga3Rate","ftPct","efgPct","tsPct","ftaRate","ftmRate","orbPct","drbPct","rebPct","astTov","astPct","astRatio","blkPct","blkdPerFga","pfdPerFga","stlPct","tovPct","usagePct","pfEff","stlPerPf","blkPerPf","scpFgPct","pitpFgPct","fbptsFgPct","hkmPct","astUsage","minsThreshold","isQualified","positionPctile","ptsScoredPctile","fgPctPctile","fg2PctPctile","fg3PctPctile","fga3RatePctile","ftPctPctile","efgPctPctile","tsPctPctile","ftaRatePctile","ftmRatePctile","pfEffPctile","stlPerPfPctile","blkPerPfPctile","orbPctPctile","drbPctPctile","rebPctPctile","astTovPctile","astPctPctile","astRatioPctile","blkPctPctile","stlPctPctile","hkmPctPctile","usagePctPctile","astUsagePctile","scpFgPctPctile","pitpFgPctPctile","fbptsFgPctPctile","pfdPerFgaPctile","minsPgPctile","minsP40Pctile","minsP100Pctile","ptsScoredPgPctile","ptsScoredP40Pctile","ptsScoredP100Pctile","fgaPgPctile","fgaP40Pctile","fgaP100Pctile","fga2PgPctile","fga2P40Pctile","fga2P100Pctile","fga3PgPctile","fga3P40Pctile","fga3P100Pctile","ftaPgPctile","ftaP40Pctile","ftaP100Pctile","astPgPctile","astP40Pctile","astP100Pctile","orbPgPctile","orbP40Pctile","orbP100Pctile","drbPgPctile","drbP40Pctile","drbP100Pctile","rebPgPctile","rebP40Pctile","rebP100Pctile","stlPgPctile","stlP40Pctile","stlP100Pctile","blkPgPctile","blkP40Pctile","blkP100Pctile","pfdPgPctile","pfdP40Pctile","pfdP100Pctile","scpPgPctile","scpP40Pctile","scpP100Pctile","scpFgaPgPctile","scpFgaP40Pctile","scpFgaP100Pctile","pitpPgPctile","pitpP40Pctile","pitpP100Pctile","pitpFgaPgPctile","pitpFgaP40Pctile","pitpFgaP100Pctile","fbptsPgPctile","fbptsP40Pctile","fbptsP100Pctile","fbptsFgaPgPctile","fbptsFgaP40Pctile","fbptsFgaP100Pctile","tovPctPctile","blkdPerFgaPctile","blkdPgPctile","blkdP40Pctile","blkdP100Pctile","tovPgPctile","tovP40Pctile","tovP100Pctile","pfPgPctile","pfP40Pctile","pfP100Pctile","opfPgPctile","opfP40Pctile","opfP100Pctile"
"30629-104355-1603124-season-0","30629","104355","1603124","season","0","Jake Killingsworth","14","77","G","true","UC San Diego","Tritons","21-22","40","1","true","false","false","none","858.9199999999998","1433.0533100877205","185","65","149","19","36","46","113","11","9","56","0","11","95","106","18","4","2","27","41","15","5","34","17","25","6","3","11","20","7","7","5441.716667","1820.64574","166","669","835","648","1470","466","343","700","251","951","1600","529","27","1088.3433334","153.8","31.81185","40","59.93636","6.85185","8.61547","12.9095","5.51852","6.93895","10.39738","1.33333","1.67652","2.51212","4.18519","5.26242","7.88526","0.40741","0.51227","0.76759","2.07407","2.60793","3.90774","0.40741","0.51227","0.76759","3.51852","4.42416","6.6292","3.92593","4.93643","7.39679","0.66667","0.83826","1.25606","0.14815","0.18628","0.27912","0.55556","0.69855","1.04672","0.22222","0.27942","0.41869","0.40741","0.51227","0.76759","1.25926","1.58338","2.37256","0.92593","1.16425","1.74453","0.74074","0.9314","1.39562","0.25926","0.32599","0.48847","0.07407","0.09314","0.13956","1","1.25739","1.88409","1.51852","1.90937","2.86102","0.18519","0.23285","0.34891","0.43624","0.52778","0.40708","0.75839","0.81818","0.5906","0.60143","0.07383","0.0604","0.01609","0.13084","0.0752","2.07407","0.12545","0.23645","0.00473","0.01342","0.10067","0.01253","0.1493","0.11355","0.53659","0.43902","0.09756","0.27273","0.68","1","0.017259999999999998","1.1048","53.25","true","0","0.5","0.72","0.79","0.89","0.93","0.78","0.95","0.9","0.05","0.07","0.47","0.48","0.58","0.28","0.72","0.61","0.91","0.49","0.85","0.4","0.17","0.16","0.05","0.84","0.1","0.95","1","0.06","0.85","1","0.56","0.5","0.16","0.17","0.47","0.09","0.1","0.24","0.05","0.05","0.76","0.53","0.54","0.13","0.03","0.03","0.71","0.5","0.51","0.46","0.25","0.25","0.87","0.69","0.7","0.8","0.56","0.57","0.48","0.17","0.17","0.59","0.43","0.43","0.19","0.02","0.02","0.16","0.07","0.07","0.25","0.06","0.06","0.34","0.12","0.13","0.24","0.06","0.06","0.42","0.19","0.18","0.22","0.07","0.07","0.54","0.91","0.85","0.92","0.93","0.6","0.89","0.89","0.54","0.9","0.89","0.32","0.51","0.51"
"30629-104355-1333818-season-0","30629","104355","1333818","season","0","Jace Roquemore","22","77","G","true","UC San Diego","Tritons","21-22","40","1","true","false","false","none","837.85","1398.8715743210018","171","60","151","42","85","18","66","41","33","85","0","9","88","97","26","1","7","51","30","47","4","76","38","74","11","6","14","20","14","14","5441.716667000001","1820.64574","166","669","835","648","1470","466","343","700","251","951","1600","529","27","1088.3433334000001","169","31.03148","40","59.8947","6.33333","8.16375","12.22414","5.59259","7.20893","10.79441","3.14815","4.05801","6.07633","2.44444","3.15092","4.71809","1.51852","1.95739","2.93093","3.14815","4.05801","6.07633","0.33333","0.42967","0.64338","3.25926","4.20123","6.29078","3.59259","4.6309","6.93416","0.96296","1.24127","1.85864","0.03704","0.04774","0.07149","1.74074","2.24384","3.35985","0.40741","0.52515","0.78635","0.51852","0.66838","1.00081","2.81481","3.62833","5.43295","2.74074","3.53285","5.28998","0.74074","0.95482","1.42972","0.51852","0.66838","1.00081","0.25926","0.33419","0.5004","1.88889","2.4348","3.6458","1.11111","1.43224","2.14459","0.14815","0.19096","0.28594","0.39735","0.49412","0.27273","0.43709","0.80488","0.45695","0.50592","0.27152","0.21854","0.0135","0.12425","0.07055","1.66667","0.19369","0.27865","0.00121","0.04636","0.31126","0.01855","0.23178","0.14164","0.9","0.86667","0.03333","0.42857","0.51351","1","0.01976","1.36748","53.25","true","0","0.47","0.46","0.65","0.26","0.45","0.74","0.35","0.42","0.55","0.63","0.86","0.92","0.27","0.21","0.66","0.55","0.78","0.79","0.93","0.2","0.43","0.22","0.16","0.92","0.37","0.54","1","0.72","0.82","1","0.55","0.46","0.14","0.14","0.48","0.11","0.11","0.53","0.27","0.27","0.5","0.24","0.24","0.53","0.28","0.29","0.87","0.8","0.81","0.38","0.18","0.18","0.82","0.64","0.64","0.75","0.5","0.51","0.69","0.43","0.43","0.25","0.21","0.21","0.61","0.37","0.38","0.3","0.13","0.13","0.34","0.11","0.11","0.65","0.45","0.45","0.64","0.43","0.43","0.42","0.19","0.19","0.43","0.21","0.21","0.14","0.51","0.51","0.74","0.73","0.24","0.44","0.43","0.74","0.97","0.97","0.41","0.59","0.59"
"30629-104355-1333810-season-0","30629","104355","1333810","season","0","Bryce Pope","4","75","G","true","UC San Diego","Tritons","21-22","40","1","true","false","false","none","781.8399999999999","1308.6231420822317","320","103","261","67","148","36","113","94","78","34","0","11","52","63","16","4","11","29","37","70","5","110","55","116","15","6","21","67","49","43","5441.716667000001","1820.64574","166","669","835","648","1470","466","343","700","251","951","1600","529","27","1088.3433334000001","302.4","28.95704","40","59.74524","11.85185","16.37164","24.45318","9.66667","13.35312","19.94463","5.48148","7.57188","11.3096","4.18519","5.78123","8.63503","3.48148","4.80917","7.18312","1.25926","1.73949","2.59815","0.40741","0.56277","0.84058","1.92593","2.66039","3.97364","2.33333","3.22317","4.81422","0.59259","0.81858","1.22266","0.14815","0.20465","0.30566","2.59259","3.5813","5.34913","0.55556","0.76742","1.14624","0.77778","1.07439","1.60474","4.07407","5.62775","8.40578","4.2963","5.93472","8.86428","2.48148","3.42781","5.11989","1.81481","2.50691","3.74439","0.40741","0.56277","0.84058","1.07407","1.48368","2.21607","1.37037","1.89297","2.8274","0.18519","0.25581","0.38208","0.39464","0.4527","0.31858","0.43295","0.82979","0.4636","0.5291","0.36015","0.29885","0.01768","0.07868","0.0491","1.17241","0.09379","0.09306","0.0052","0.04215","0.2682","0.01223","0.08752","0.22857","0.54054","0.43243","0.10811","0.28571","0.47414","0.87755","0.01743","0.41033","53.25","true","0","0.76","0.44","0.45","0.45","0.44","0.81","0.39","0.57","0.77","0.85","0.47","0.47","0.63","0.33","0.19","0.19","0.51","0.31","0.16","0.43","0.16","0.16","0.77","0.18","0.11","0.35","0.49","0.59","0.72","1","0.53","0.81","0.79","0.79","0.8","0.74","0.75","0.79","0.73","0.73","0.76","0.61","0.61","0.89","0.87","0.87","0.47","0.25","0.25","0.46","0.29","0.29","0.49","0.17","0.18","0.46","0.15","0.16","0.41","0.16","0.16","0.59","0.46","0.46","0.82","0.77","0.77","0.43","0.22","0.22","0.54","0.3","0.3","0.8","0.74","0.74","0.83","0.79","0.8","0.93","0.9","0.91","0.94","0.92","0.93","0.93","0.58","0.31","0.45","0.45","0.55","0.82","0.82","0.62","0.9","0.9","0.32","0.46","0.46"
"30629-104355-1725631-season-0","30629","104355","1725631","season","0","Francis Nwaokorie","35","79","F","true","UC San Diego","Tritons","21-22","40","1","true","false","false","none","700.28","1165.3115471272188","311","107","199","76","124","31","75","86","66","39","0","53","105","158","22","14","14","45","94","88","12","152","76","121","46","25","37","20","14","13","5441.716666999999","1820.64574","166","669","835","648","1470","466","343","700","251","951","1600","529","27","1088.3433333999997","236.8","25.9363","40","60.0938","11.51852","17.76432","26.68814","7.37037","11.36688","17.07698","4.59259","7.08288","10.640929999999999","2.77778","4.284","6.43605","3.18519","4.91232","7.38","1.44444","2.22768","3.34674","1.96296","3.02736","4.54814","3.88889","5.9976","9.01047","5.85185","9.02496","13.55861","0.81481","1.25664","1.88791","0.51852","0.79968","1.2014","3.25926","5.02656","7.55163","1.7037","2.62752","3.94744","1.37037","2.11344","3.17512","5.62963","8.68224","13.04372","4.48148","6.91152","10.38349","0.74074","1.1424","1.71628","0.51852","0.79968","1.2014","0.51852","0.79968","1.2014","1.66667","2.5704","3.86163","3.48148","5.36928","8.06651","0.44444","0.68544","1.02977","0.53769","0.6129","0.41333","0.37688","0.76744","0.61558","0.65667","0.43216","0.33166","0.09512","0.17738","0.13749","0.86667","0.12583","0.12156","0.02032","0.07035","0.44221","0.01878","0.15967","0.21705","0.38298","0.23404","0.14894","0.67568","0.6281","0.92857","0.0391","0.57973","53.25","true","0","0.82","0.75","0.83","0.9","0.7","0.8","0.89","0.94","0.7","0.82","0.28","0.43","0.3","0.69","0.65","0.71","0.65","0.84","0.67","0.39","0.68","0.43","0.75","0.74","0.85","0.77","0.7","0.77","0.78","1","0.59","0.86","0.85","0.86","0.77","0.62","0.63","0.69","0.46","0.47","0.81","0.72","0.72","0.86","0.79","0.79","0.85","0.76","0.77","0.83","0.62","0.63","0.78","0.61","0.62","0.8","0.63","0.65","0.82","0.67","0.68","0.64","0.44","0.45","0.91","0.88","0.88","0.77","0.57","0.58","0.65","0.36","0.36","0.81","0.68","0.69","0.78","0.6","0.62","0.68","0.53","0.54","0.68","0.49","0.49","0.5","0.37","0.15","0.29","0.28","0.18","0.38","0.36","0.01","0.22","0.21","0.08","0.22","0.21"
"30629-104355-1603123-season-0","30629","104355","1603123","season","0","Toni Rocak","10","80","F","true","UC San Diego","Tritons","21-22","40","1","true","false","true","latest","697.9300000000002","1166.2655490311145","389","138","299","130","265","8","34","152","105","53","0","33","140","173","28","16","20","101","86","162","19","254","127","250","51","36","53","24","22","17","5241.716667000001","1755.8887","162","650","812","630","1424","450","324","675","243","918","1543","508","26","1048.3433334000001","365.9","26.84346","40","59.84315","14.96154","22.2945","33.35432","11.5","17.13639","25.63739","10.19231","15.18777","22.7221","1.30769","1.94862","2.91529","5.84615","8.71148","13.03305","2.03846","3.03755","4.54442","1.26923","1.89131","2.82954","5.38462","8.02373","12.00413","6.65385","9.91503","14.83367","1.07692","1.60475","2.40083","0.61538","0.917","1.3719","6.23077","9.2846","13.89049","1.96154","2.92293","4.37293","2.03846","3.03755","4.54442","9.76923","14.55733","21.77892","9.61538","14.32808","21.43594","0.92308","1.3755","2.05785","0.84615","1.26087","1.88636","0.76923","1.14625","1.71488","3.88462","5.78855","8.66012","3.30769","4.92886","7.37396","0.73077","1.08893","1.62913","0.46154","0.49057","0.23529","0.11371","0.69079","0.47492","0.53157","0.50836","0.35117","0.05922","0.23549","0.15021","0.52475","0.18833","0.10195","0.02322","0.06689","0.54181","0.02395","0.21633","0.36037","0.51163","0.32558","0.18605","0.67925","0.508","0.77273","0.047170000000000004","0.5226","53.25","true","0","0.9","0.45","0.33","0.33","0.39","0.59","0.28","0.41","0.82","0.85","0.49","0.66","0.4","0.31","0.94","0.81","0.32","0.96","0.53","0.45","0.84","0.57","1","0.67","0.85","0.26","0.31","0.89","0.81","1","0.54","0.95","0.97","0.97","0.96","0.97","0.98","0.98","0.99","0.99","0.61","0.49","0.49","0.99","0.99","0.99","0.94","0.92","0.92","0.59","0.26","0.27","0.94","0.92","0.93","0.89","0.76","0.76","0.92","0.83","0.84","0.72","0.5","0.51","1","1","1","0.84","0.66","0.67","0.86","0.68","0.69","0.97","0.97","0.97","0.99","0.99","0.99","0.77","0.63","0.63","0.85","0.75","0.76","0.17","0.4","0.04","0.1","0.09","0","0.01","0.01","0.01","0.3","0.29","0.01","0.06","0.07"
"30629-104355-1333815-season-0","30629","104355","1333815","season","0","Jake Kosakowski","13","78","F","true","UC San Diego","Tritons","21-22","40","1","true","false","false","none","466.25999999999993","785.9042076020718","228","74","152","9","12","65","140","17","15","14","0","2","34","36","10","3","1","18","33","10","0","16","8","8","25","10","14","41","16","15","5441.716667","1820.6457400000002","166","669","835","648","1470","466","343","700","251","951","1600","529","27","1088.3433334","159.5","17.26889","40","59.32784","8.44444","19.5599","29.01117","5.62963","13.03993","19.34078","0.44444","1.02947","1.5269","5.18519","12.01047","17.81388","0.62963","1.45841","2.16311","0.51852","1.20105","1.78139","0.07407","0.17158","0.25448","1.25926","2.91683","4.32623","1.33333","3.08841","4.58071","0.37037","0.85789","1.27242","0.11111","0.25737","0.38173","0.37037","0.85789","1.27242","0.92593","2.14473","3.18105","0.51852","1.20105","1.78139","0.59259","1.37262","2.03587","0.2963","0.68631","1.01794","1.51852","3.51735","5.21692","0.59259","1.37262","2.03587","0.03704","0.08579","0.12724","0.66667","1.5442","2.29036","1.22222","2.83104","4.19899","0","0","0","0.48684","0.75","0.46429","0.92105","0.88235","0.70066","0.71473","0.11184","0.09868","0.00539","0.08626","0.04705","0.77778","0.06876","0.07311","0.00654","0.00658","0.06579","0.01282","0.10142","0.20529","0.39394","0.30303","0.09091","0.71429","1","0.9375","0.01936","0.33494","53.25","true","0","0.68","0.57","0.98","0.95","1","0.97","0.98","0.99","0.05","0.12","0.3","0.61","0.16","0","0.04","0.01","0.57","0.44","0.29","0.1","0.36","0.09","0.68","0.33","0.91","1","0.71","0.01","0.47","1","0.44","0.69","0.91","0.91","0.62","0.8","0.79","0.03","0.01","0.01","0.97","0.99","0.99","0.2","0.1","0.09","0.41","0.32","0.32","0.01","0","0","0.22","0.03","0.03","0.1","0","0","0.41","0.36","0.35","0.14","0.1","0.1","0.08","0.02","0.02","0.45","0.41","0.41","0.2","0.1","0.09","0.07","0.03","0.03","0.02","0.01","0.01","0.91","0.97","0.97","0.73","0.79","0.79","0.9","0.93","0.93","0.93","0.93","0.69","0.82","0.82","0.76","0.83","0.84","1","1","1"
"30629-104355-954391-season-0","30629","104355","954391","season","0","Kaden Rasheed","23","73","G","true","UC San Diego","Tritons","21-22","40","1","true","false","true","latest","347.37","583.9575323605487","77","27","61","9","16","18","45","9","5","34","0","4","35","39","13","0","1","14","27","13","1","16","8","12","5","2","5","11","8","6","4401.8","1482.20606","136","535","671","526","1194","393","269","571","210","781","1304","426","22","880.36","65","15.78955","40","59.48549","3.5","8.86663","13.18589","2.77273","7.02421","10.44597","0.72727","1.84242","2.73993","2.04545","5.18179","7.70604","0.40909","1.03636","1.54121","1.54545","3.91513","5.82234","0.18182","0.4606","0.68498","1.59091","4.03028","5.99359","1.77273","4.49089","6.67857","0.59091","1.49696","2.22619","0","0","0","0.59091","1.49696","2.22619","0.22727","0.57575","0.85623","0.22727","0.57575","0.85623","0.72727","1.84242","2.73993","0.54545","1.38181","2.05494","0.5","1.26666","1.8837","0.36364","0.92121","1.36996","0.04545","0.11515","0.17125","0.63636","1.61211","2.39743","1.22727","3.10908","4.62362","0.04545","0.11515","0.17125","0.44262","0.5625","0.4","0.7377","0.55556","0.59016","0.59231","0.14754","0.08197","0.01434","0.11906","0.06807","2.42857","0.18832","0.30099","0","0.01639","0.21311","0.02223","0.1773","0.12232","0.48148","0.48148","0","0.4","0.66667","0.75","0.02223","1.53957","53.25","true","0","0.25","0.76","0.88","0.87","0.91","0.11","0.95","0.88","0.17","0.11","0.38","0.54","0.18","0.23","0.62","0.52","0.95","0.77","0.95","0.18","0.6","0.3","0.08","0.95","0.3","0.94","0.16","0.39","0.31","1","0.48","0.26","0.18","0.18","0.21","0.1","0.1","0.1","0.05","0.05","0.42","0.52","0.52","0.13","0.09","0.09","0.56","0.78","0.78","0.17","0.2","0.2","0.38","0.59","0.59","0.33","0.47","0.46","0.41","0.6","0.6","0.18","0.18","0.18","0.21","0.15","0.15","0.16","0.14","0.14","0.11","0.08","0.08","0.2","0.16","0.16","0.13","0.08","0.08","0.29","0.31","0.31","0.31","0.35","0.35","0.36","0.89","0.91","0.91","0.92","0.76","0.78","0.78","0.69","0.44","0.45","0.77","0.74","0.74"
"30629-104355-1605757-season-0","30629","104355","1605757","season","0","Vuk Vulikic","20","77","G","true","UC San Diego","Tritons","21-22","40","1","true","false","false","none","255.37","428.4537438487439","46","16","49","9","17","7","32","8","7","20","0","5","11","16","4","1","1","17","12","11","5","18","9","15","2","1","6","3","2","2","3639.916667","1223.39789","117","456","573","425","982","310","241","480","165","645","1075","350","18","727.9833334","52.5","14.18722","40","59.6027","2.55556","7.20523","10.73628","2.72222","7.67514","11.43647","0.94444","2.6628","3.96776","1.77778","5.01234","7.46872","0.44444","1.25308","1.86718","1.11111","3.13271","4.66795","0.27778","0.78318","1.16699","0.61111","1.72299","2.56737","0.88889","2.50617","3.73436","0.22222","0.62654","0.93359","0.05556","0.15664","0.2334","0.61111","1.72299","2.56737","0.11111","0.31327","0.46679","0.33333","0.93981","1.40038","1","2.81944","4.20115","0.83333","2.34953","3.50096","0.16667","0.46991","0.70019","0.11111","0.31327","0.46679","0.05556","0.15664","0.2334","0.94444","2.6628","3.96776","0.66667","1.87963","2.80077","0.27778","0.78318","1.16699","0.32653","0.52941","0.21875","0.65306","0.875","0.39796","0.4381","0.16327","0.14286","0.02388","0.0505","0.03745","1.17647","0.15028","0.22341","0.00393","0.02041","0.22449","0.00932","0.24453","0.14579","0.41667","0.33333","0.08333","0.16667","0.6","1","0.013250000000000001","1.0308","53.25","true","0","0.16","0.12","0.79","0.14","0.82","0.92","0.14","0.14","0.21","0.32","0.27","0.28","0.53","0.48","0.03","0.06","0.51","0.63","0.81","0.35","0.08","0.08","0.19","0.8","0.05","0.84","1","0.43","0.27","1","0.5","0.17","0.09","0.09","0.21","0.14","0.15","0.15","0.11","0.12","0.36","0.49","0.49","0.15","0.12","0.12","0.42","0.62","0.63","0.29","0.46","0.46","0.08","0.03","0.03","0.1","0.05","0.05","0.11","0.08","0.08","0.29","0.38","0.38","0.21","0.21","0.21","0.08","0.07","0.07","0.2","0.23","0.23","0.27","0.32","0.33","0.21","0.21","0.21","0.09","0.07","0.07","0.09","0.07","0.07","0.1","0.86","0.9","0.9","0.9","0.62","0.35","0.35","0.9","0.9","0.9","0.16","0.03","0.03"
"30629-104355-1603092-season-0","30629","104355","1603092","season","0","Matt Gray","11","80","F","true","UC San Diego","Tritons","21-22","40","1","true","false","true","latest","178.16","306.50714163251655","66","26","63","19","43","7","20","13","7","11","0","6","29","35","3","6","9","10","15","10","2","38","19","41","4","2","6","5","7","4","4641.716667","1568.7397500000002","137","585","722","554","1256","393","299","607","210","817","1374","449","23","928.3433333999999","68.7","7.74609","40","58.12589","2.86957","14.81814","21.53294","2.73913","14.14459","20.55417","1.86957","9.65424","14.02904","0.86957","4.49035","6.52513","0.56522","2.91872","4.24134","0.47826","2.46969","3.58882","0.26087","1.3471","1.95754","1.26087","6.511","9.46144","1.52174","7.85811","11.41898","0.13043","0.67355","0.97877","0.26087","1.3471","1.95754","0.43478","2.24517","3.26257","0.17391","0.89807","1.30503","0.26087","1.3471","1.95754","1.65217","8.53166","12.39775","1.78261","9.20521","13.37652","0.21739","1.12259","1.63128","0.30435","1.57162","2.2838","0.3913","2.02066","2.93631","0.43478","2.24517","3.26257","0.65217","3.36776","4.89385","0.08696","0.44903","0.65251","0.4127","0.44186","0.35","0.31746","0.53846","0.46825","0.48035","0.20635","0.11111","0.04202","0.19008","0.1185","1.1","0.13695","0.1226","0.0338","0.14286","0.15873","0.00996","0.12703","0.23739","0.6","0.2","0.4","0.33333","0.46341","0.57143","0.04375999999999999","0.5769","53.25","true","0","0.26","0.24","0.16","0.72","0.62","0.23","0.26","0.18","0.19","0.15","0.63","0.35","0.8","0.14","0.73","0.49","0.8","0.88","0.68","0.64","0.21","0.51","0.84","0.74","0.07","0.13","0.09","0.09","0.12","1","0.27","0.25","0.67","0.64","0.3","0.87","0.85","0.31","0.73","0.71","0.53","0.73","0.73","0.17","0.38","0.36","0.38","0.83","0.81","0.05","0.12","0.11","0.22","0.72","0.69","0.14","0.43","0.4","0.11","0.21","0.2","0.35","0.7","0.68","0.11","0.24","0.23","0.05","0.08","0.07","0.06","0.12","0.12","0.31","0.67","0.65","0.38","0.85","0.82","0.28","0.53","0.51","0.45","0.85","0.84","0.76","0.05","0.28","0.01","0.01","0.85","0.5","0.54","0.94","0.69","0.72","0.76","0.46","0.48"
"30629-104355-1725622-season-0","30629","104355","1725622","season","0","Michael Pearson, Jr.","2","69","G","true","UC San Diego","Tritons","21-22","40","1","true","false","false","none","169.24","289.4427223835766","52","16","54","5","26","11","28","11","9","15","0","1","15","16","12","0","5","6","13","7","0","8","4","18","8","3","4","7","8","6","3801.8","1273.05115","119","479","598","452","1030","315","246","483","176","659","1124","365","19","760.36","58.8","8.90737","40","58.47098","2.73684","12.29024","17.96556","2.84211","12.76294","18.65654","1.36842","6.14512","8.98278","1.47368","6.61782","9.67376","0.57895","2.59986","3.80041","0.78947","3.54526","5.18237","0.05263","0.23635","0.34549","0.78947","3.54526","5.18237","0.84211","3.78161","5.52786","0.63158","2.83621","4.1459","0","0","0","0.36842","1.65446","2.41844","0.42105","1.89081","2.76393","0.21053","0.9454","1.38197","0.42105","1.89081","2.76393","0.94737","4.25431","6.21885","0.36842","1.65446","2.41844","0.42105","1.89081","2.76393","0.26316","1.18175","1.72746","0.31579","1.4181","2.07295","0.68421","3.07256","4.49139","0","0","0","0.2963","0.19231","0.39286","0.51852","0.81818","0.39815","0.44218","0.2037","0.16667","0.00746","0.10289","0.05719","2.5","0.17729","0.18788","0","0.09259","0.12963","0.04235","0.09254","0.20593","0.92308","0.92308","0","0.75","0.22222","0.75","0.04235","0.86092","53.25","true","0","0.18","0.07","0.02","0.84","0.61","0.78","0.14","0.15","0.32","0.42","0.87","0.94","0.18","0.07","0.45","0.32","0.96","0.73","0.68","0.18","0.97","0.84","0.63","0.67","0.97","0.03","0.16","0.11","0.12","1","0.32","0.19","0.47","0.45","0.22","0.69","0.67","0.25","0.57","0.55","0.29","0.71","0.7","0.21","0.46","0.44","0.3","0.71","0.7","0.04","0.07","0.06","0.14","0.44","0.43","0.09","0.28","0.26","0.45","0.97","0.97","0.18","0.18","0.18","0.11","0.19","0.18","0.31","0.76","0.75","0.1","0.23","0.22","0.1","0.16","0.16","0.25","0.55","0.54","0.21","0.46","0.45","0.36","0.8","0.79","0.92","0.1","0.5","0.06","0.07","0.93","0.85","0.85","0.89","0.46","0.48","1","1","1"
