,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Fri 3/11,vsLBSU,L67-64,37,5-9,55.6,0-2,0.0,1-1,100.0,5,2,1,0,3,2,11,ajay-mitchell
1,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,ajay-mitchell
2,Thu 3/10,vsUCI,W78-69,33,1-10,10.0,0-2,0.0,5-6,83.3,2,3,0,1,3,3,7,ajay-mitchell
3,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,ajay-mitchell
4,Thu 3/3,vsHAW,W67-60,34,3-7,42.9,0-1,0.0,1-1,100.0,2,2,0,0,5,1,7,ajay-mitchell
5,Tue 3/1,vsCSUN,W70-61,36,6-9,66.7,1-3,33.3,4-5,80.0,4,3,0,0,2,2,17,ajay-mitchell
6,Sat 2/26,@UCR,W97-90 2OT,43,11-17,64.7,2-2,100.0,6-9,66.7,1,4,0,1,4,5,30,ajay-mitchell
7,Thu 2/24,@UCD,W76-69 OT,41,10-15,66.7,2-3,66.7,9-12,75.0,4,3,0,0,3,3,31,ajay-mitchell
8,Sat 2/19,vsLBSU,W84-71,39,9-15,60.0,0-1,0.0,2-2,100.0,0,9,0,3,2,1,20,ajay-mitchell
9,Thu 2/17,vsCSUF,L67-58,33,2-8,25.0,0-1,0.0,2-5,40.0,2,3,0,1,4,1,6,ajay-mitchell
10,Sat 2/12,@CP,W69-64,36,6-11,54.5,2-3,66.7,11-12,91.7,4,1,0,0,1,2,25,ajay-mitchell
11,Thu 2/10,@CSUB,W74-62,30,8-12,66.7,0-1,0.0,5-6,83.3,3,2,1,1,3,1,21,ajay-mitchell
12,Sat 2/5,vsUCSD,W84-48,19,5-9,55.6,0-3,0.0,0-1,0.0,4,2,0,0,4,1,10,ajay-mitchell
13,Thu 2/3,vsUCI,L53-52,38,4-10,40.0,0-1,0.0,0-0,0.0,1,1,0,2,2,1,8,ajay-mitchell
14,Sat 1/29,@HAW,L65-62,36,5-9,55.6,2-3,66.7,4-6,66.7,2,2,1,0,5,0,16,ajay-mitchell
15,Tue 1/25,@CSUN,W72-45,26,0-2,0.0,0-1,0.0,0-0,0.0,2,8,0,0,3,1,0,ajay-mitchell
16,Sat 1/15,@CSUF,L79-73,36,1-5,20.0,0-1,0.0,3-4,75.0,2,5,0,1,4,4,5,ajay-mitchell
17,Thu 1/13,@LBSU,L65-58,37,6-12,50.0,1-2,50.0,2-3,66.7,2,2,0,1,4,1,15,ajay-mitchell
18,Wed 12/22,vsIDST,W56-43,37,5-10,50.0,0-3,0.0,4-4,100.0,3,2,0,1,3,1,14,ajay-mitchell
19,Sun 12/19,vsFAMU,W73-62,27,6-9,66.7,1-3,33.3,0-1,0.0,3,2,0,2,5,2,13,ajay-mitchell
20,Tue 12/14,@PAC,L80-71 OT,35,2-5,40.0,0-1,0.0,1-1,100.0,0,7,0,2,0,0,5,ajay-mitchell
21,Sat 12/11,@SMC,L80-59,30,2-3,66.7,0-0,0.0,0-0,0.0,3,1,0,0,4,4,4,ajay-mitchell
22,Sun 12/5,vsCLU,W87-66,28,3-5,60.0,0-2,0.0,3-5,60.0,2,8,2,1,1,1,9,ajay-mitchell
23,Fri 12/3,vsPEPP,W86-74,26,1-2,50.0,0-1,0.0,2-2,100.0,1,4,0,1,2,4,4,ajay-mitchell
24,Mon 11/29,vsUTA,L70-62,28,0-3,0.0,0-2,0.0,0-2,0.0,1,4,1,0,4,2,0,ajay-mitchell
25,Wed 11/24,vsUAPB,W86-58,28,2-3,66.7,1-1,100.0,2-2,100.0,3,10,0,2,2,0,7,ajay-mitchell
26,Sat 11/20,vsCHIC,W81-50,25,3-3,100.0,2-2,100.0,2-2,100.0,3,4,0,1,2,3,10,ajay-mitchell
27,Mon 11/15,@WSU,L73-65,25,2-3,66.7,0-1,0.0,2-3,66.7,0,2,0,0,3,1,6,ajay-mitchell
28,Wed 11/10,vsSFSU,W119-65,23,4-5,80.0,2-3,66.7,1-1,100.0,1,5,0,1,1,1,11,ajay-mitchell
29,Total,Total,Total,32.1,4.1-7.8,53.1,0.6-1.8,32.7,2.7-3.6,75.0,2.2,3.7,0.2,0.8,2.9,1.8,11.6,ajay-mitchell
