,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Fri 3/11,vsLBSU,L67-64,31,2-6,33.3,0-0,0.0,1-3,33.3,6,0,0,1,1,2,5,amadou-sow
1,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,amadou-sow
2,Thu 3/10,vsUCI,W78-69,34,10-16,62.5,0-0,0.0,1-2,50.0,16,2,2,0,2,2,21,amadou-sow
3,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,amadou-sow
4,Thu 3/3,vsHAW,W67-60,34,6-7,85.7,0-0,0.0,2-2,100.0,7,2,1,2,2,2,14,amadou-sow
5,Tue 3/1,vsCSUN,W70-61,26,12-15,80.0,0-0,0.0,2-3,66.7,7,0,0,1,3,2,26,amadou-sow
6,Sat 2/26,@UCR,W97-90 2OT,40,10-18,55.6,0-4,0.0,5-6,83.3,9,2,0,2,3,2,25,amadou-sow
7,Thu 2/24,@UCD,W76-69 OT,36,7-17,41.2,0-1,0.0,3-5,60.0,11,0,2,0,4,3,17,amadou-sow
8,Sat 2/19,vsLBSU,W84-71,29,9-12,75.0,0-0,0.0,0-0,0.0,9,0,0,0,4,1,18,amadou-sow
9,Thu 2/17,vsCSUF,L67-58,31,5-8,62.5,0-0,0.0,1-1,100.0,7,1,0,1,5,2,11,amadou-sow
10,Sat 2/12,@CP,W69-64,34,8-14,57.1,0-3,0.0,0-0,0.0,8,2,1,2,4,0,16,amadou-sow
11,Thu 2/10,@CSUB,W74-62,31,4-5,80.0,0-0,0.0,6-7,85.7,6,1,0,1,2,1,14,amadou-sow
12,Sat 2/5,vsUCSD,W84-48,22,1-4,25.0,0-1,0.0,1-1,100.0,7,0,1,1,2,3,3,amadou-sow
13,Thu 2/3,vsUCI,L53-52,33,4-13,30.8,0-5,0.0,9-11,81.8,11,0,0,0,0,2,17,amadou-sow
14,Sat 1/29,@HAW,L65-62,34,5-19,26.3,0-1,0.0,3-4,75.0,13,0,1,1,3,3,13,amadou-sow
15,Tue 1/25,@CSUN,W72-45,26,8-12,66.7,1-1,100.0,0-0,0.0,4,1,0,0,3,4,17,amadou-sow
16,Sat 1/15,@CSUF,L79-73,20,2-5,40.0,1-2,50.0,2-2,100.0,7,1,1,1,3,1,7,amadou-sow
17,Thu 1/13,@LBSU,L65-58,31,4-9,44.4,1-3,33.3,0-0,0.0,14,0,0,0,1,4,9,amadou-sow
18,Thu 12/30,@UCSD,L85-83 OT,39,8-17,47.1,0-0,0.0,2-3,66.7,9,2,4,2,2,2,18,amadou-sow
19,Wed 12/22,vsIDST,W56-43,28,8-11,72.7,0-0,0.0,2-2,100.0,3,0,0,1,4,2,18,amadou-sow
20,Sun 12/19,vsFAMU,W73-62,28,4-8,50.0,1-1,100.0,0-0,0.0,10,0,3,0,0,1,9,amadou-sow
21,Tue 12/14,@PAC,L80-71 OT,33,5-13,38.5,1-4,25.0,0-0,0.0,9,1,2,0,1,0,11,amadou-sow
22,Sat 12/11,@SMC,L80-59,29,4-9,44.4,1-1,100.0,6-6,100.0,7,1,1,0,1,3,15,amadou-sow
23,Sun 12/5,vsCLU,W87-66,19,8-9,88.9,0-0,0.0,1-1,100.0,8,1,1,1,2,1,17,amadou-sow
24,Fri 12/3,vsPEPP,W86-74,30,5-10,50.0,1-2,50.0,0-1,0.0,9,0,0,1,3,3,11,amadou-sow
25,Mon 11/29,vsUTA,L70-62,33,10-15,66.7,1-1,100.0,2-6,33.3,7,1,0,0,3,4,23,amadou-sow
26,Wed 11/24,vsUAPB,W86-58,24,9-12,75.0,0-0,0.0,2-2,100.0,9,0,0,1,3,1,20,amadou-sow
27,Sat 11/20,vsCHIC,W81-50,23,5-6,83.3,1-1,100.0,2-2,100.0,4,2,1,1,3,1,13,amadou-sow
28,Mon 11/15,@WSU,L73-65,33,8-16,50.0,0-1,0.0,9-11,81.8,11,0,0,1,3,1,25,amadou-sow
29,Wed 11/10,vsSFSU,W119-65,21,9-13,69.2,1-1,100.0,6-8,75.0,7,0,2,0,2,2,25,amadou-sow
