,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Fri 3/11,vsLBSU,L67-64,2,0-1,0.0,0-1,0.0,0-0,0.0,0,0,0,0,0,0,0,cole-anderson
1,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,cole-anderson
2,Thu 3/10,vsUCI,W78-69,9,1-1,100.0,1-1,100.0,0-0,0.0,0,1,0,0,0,0,3,cole-anderson
3,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,cole-anderson
4,Thu 3/3,vsHAW,W67-60,5,0-1,0.0,0-1,0.0,0-0,0.0,0,0,0,0,1,0,0,cole-anderson
5,Tue 3/1,vsCSUN,W70-61,7,1-2,50.0,1-2,50.0,0-0,0.0,3,0,0,0,0,0,3,cole-anderson
6,Sat 2/26,@UCR,W97-90 2OT,2,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,1,1,0,cole-anderson
7,Thu 2/24,@UCD,W76-69 OT,11,1-2,50.0,0-0,0.0,0-0,0.0,0,0,0,1,0,0,2,cole-anderson
8,Sat 2/19,vsLBSU,W84-71,17,1-5,20.0,0-3,0.0,0-0,0.0,1,0,0,1,1,1,2,cole-anderson
9,Thu 2/17,vsCSUF,L67-58,15,2-6,33.3,1-4,25.0,0-0,0.0,0,0,0,1,1,0,5,cole-anderson
10,Sat 2/12,@CP,W69-64,17,1-2,50.0,1-2,50.0,0-0,0.0,1,0,0,1,1,0,3,cole-anderson
11,Thu 2/10,@CSUB,W74-62,30,6-9,66.7,4-7,57.1,2-2,100.0,0,0,0,0,3,1,18,cole-anderson
12,Sat 2/5,vsUCSD,W84-48,24,2-6,33.3,1-3,33.3,0-0,0.0,3,3,0,0,1,1,5,cole-anderson
13,Thu 2/3,vsUCI,L53-52,21,1-5,20.0,1-3,33.3,1-2,50.0,1,0,0,0,1,0,4,cole-anderson
14,Sat 1/29,@HAW,L65-62,5,1-2,50.0,1-2,50.0,0-0,0.0,0,0,0,0,0,0,3,cole-anderson
15,Tue 1/25,@CSUN,W72-45,15,2-4,50.0,1-2,50.0,2-2,100.0,2,1,0,0,2,1,7,cole-anderson
16,Sat 1/15,@CSUF,L79-73,17,5-6,83.3,4-5,80.0,7-7,100.0,0,0,0,1,3,0,21,cole-anderson
17,Thu 1/13,@LBSU,L65-58,7,1-3,33.3,1-2,50.0,0-0,0.0,2,0,0,0,1,0,3,cole-anderson
18,Thu 12/30,@UCSD,L85-83 OT,14,1-2,50.0,1-2,50.0,0-0,0.0,2,1,0,0,1,0,3,cole-anderson
19,Wed 12/22,vsIDST,W56-43,3,0-1,0.0,0-1,0.0,0-0,0.0,0,0,0,0,0,0,0,cole-anderson
20,Sun 12/19,vsFAMU,W73-62,3,0-1,0.0,0-1,0.0,0-0,0.0,0,0,0,0,0,0,0,cole-anderson
21,Tue 12/14,@PAC,L80-71 OT,3,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,1,0,0,cole-anderson
22,Sat 12/11,@SMC,L80-59,9,1-2,50.0,0-1,0.0,0-0,0.0,1,0,0,0,1,0,2,cole-anderson
23,Sun 12/5,vsCLU,W87-66,15,6-11,54.5,2-6,33.3,0-1,0.0,1,1,0,1,0,1,14,cole-anderson
24,Fri 12/3,vsPEPP,W86-74,1,0-1,0.0,0-1,0.0,0-0,0.0,0,0,0,0,0,0,0,cole-anderson
25,Mon 11/29,vsUTA,L70-62,3,1-3,33.3,0-1,0.0,0-0,0.0,0,1,0,0,0,0,2,cole-anderson
26,Wed 11/24,vsUAPB,W86-58,11,1-1,100.0,1-1,100.0,0-0,0.0,0,1,0,0,0,0,3,cole-anderson
27,Sat 11/20,vsCHIC,W81-50,10,1-4,25.0,1-3,33.3,2-2,100.0,2,0,0,0,1,0,5,cole-anderson
28,Mon 11/15,@WSU,L73-65,7,1-2,50.0,1-2,50.0,0-0,0.0,0,0,0,0,2,0,3,cole-anderson
