,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Fri 3/11,vsLBSU,L67-64,6,1-1,100.0,1-1,100.0,0-0,0.0,1,1,1,0,1,0,3,jay-nagle
1,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,jay-nagle
2,Thu 3/10,vsUCI,W78-69,3,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,jay-nagle
3,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,jay-nagle
4,Tue 3/1,vsCSUN,W70-61,4,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,jay-nagle
5,Sat 2/26,@UCR,W97-90 2OT,4,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,1,0,0,0,jay-nagle
6,Thu 2/24,@UCD,W76-69 OT,2,0-0,0.0,0-0,0.0,0-0,0.0,1,0,0,1,0,0,0,jay-nagle
7,Sat 2/19,vsLBSU,W84-71,5,0-1,0.0,0-1,0.0,0-0,0.0,0,1,0,0,0,0,0,jay-nagle
8,Thu 2/17,vsCSUF,L67-58,5,1-2,50.0,1-1,100.0,0-0,0.0,0,0,0,0,0,0,3,jay-nagle
9,Sat 2/12,@CP,W69-64,2,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,1,0,jay-nagle
10,Thu 2/10,@CSUB,W74-62,10,0-0,0.0,0-0,0.0,0-0,0.0,2,0,0,2,0,0,0,jay-nagle
11,Sat 2/5,vsUCSD,W84-48,13,2-4,50.0,0-1,0.0,0-0,0.0,0,0,0,0,0,0,4,jay-nagle
12,Sat 1/15,@CSUF,L79-73,4,0-2,0.0,0-1,0.0,0-0,0.0,0,1,0,0,0,0,0,jay-nagle
13,Thu 12/30,@UCSD,L85-83 OT,18,1-2,50.0,0-1,0.0,0-0,0.0,3,1,0,0,0,0,2,jay-nagle
14,Wed 12/22,vsIDST,W56-43,2,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,jay-nagle
15,Sun 12/19,vsFAMU,W73-62,2,0-1,0.0,0-1,0.0,0-0,0.0,0,0,0,0,0,0,0,jay-nagle
16,Sat 12/11,@SMC,L80-59,8,0-0,0.0,0-0,0.0,0-0,0.0,0,1,0,0,0,0,0,jay-nagle
17,Sun 12/5,vsCLU,W87-66,14,1-5,20.0,0-2,0.0,0-0,0.0,4,3,0,0,0,1,2,jay-nagle
18,Fri 12/3,vsPEPP,W86-74,7,1-1,100.0,1-1,100.0,0-0,0.0,0,2,0,0,1,0,3,jay-nagle
19,Mon 11/29,vsUTA,L70-62,3,0-0,0.0,0-0,0.0,0-0,0.0,1,0,0,0,1,0,0,jay-nagle
20,Wed 11/24,vsUAPB,W86-58,16,0-2,0.0,0-1,0.0,1-2,50.0,0,3,0,0,1,0,1,jay-nagle
21,Sat 11/20,vsCHIC,W81-50,15,0-1,0.0,0-0,0.0,1-2,50.0,4,2,0,0,1,0,1,jay-nagle
22,Mon 11/15,@WSU,L73-65,2,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,jay-nagle
23,Wed 11/10,vsSFSU,W119-65,19,2-3,66.7,1-2,50.0,2-2,100.0,7,4,1,0,2,1,7,jay-nagle
24,Total,Total,Total,7.1,0.4-1.1,36.0,0.2-0.6,30.8,0.2-0.3,66.7,1.0,0.8,0.1,0.2,0.3,0.1,1.1,jay-nagle
