,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Thu 3/10,vsUCI,W78-69,12,2-2,100.0,0-0,0.0,0-0,0.0,1,1,0,0,1,1,4,josh-pierre-louis
1,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,josh-pierre-louis
2,Thu 3/3,vsHAW,W67-60,36,5-10,50.0,0-1,0.0,6-7,85.7,3,2,0,2,2,5,16,josh-pierre-louis
3,Tue 3/1,vsCSUN,W70-61,22,2-3,66.7,0-1,0.0,3-6,50.0,4,2,0,1,3,2,7,josh-pierre-louis
4,Sat 2/26,@UCR,W97-90 2OT,25,3-3,100.0,0-0,0.0,4-5,80.0,2,3,1,3,4,1,10,josh-pierre-louis
5,Thu 2/24,@UCD,W76-69 OT,34,5-15,33.3,1-5,20.0,3-6,50.0,5,4,0,0,3,3,14,josh-pierre-louis
6,Sat 2/19,vsLBSU,W84-71,35,4-6,66.7,0-1,0.0,9-12,75.0,8,11,0,3,2,4,17,josh-pierre-louis
7,Thu 2/17,vsCSUF,L67-58,32,2-7,28.6,0-3,0.0,1-3,33.3,5,8,0,1,1,2,5,josh-pierre-louis
8,Sat 2/12,@CP,W69-64,26,4-7,57.1,3-3,100.0,2-4,50.0,2,4,0,0,2,1,13,josh-pierre-louis
9,Thu 2/10,@CSUB,W74-62,26,3-7,42.9,0-2,0.0,0-0,0.0,4,0,0,2,4,5,6,josh-pierre-louis
10,Sat 2/5,vsUCSD,W84-48,29,6-7,85.7,0-0,0.0,0-0,0.0,3,7,0,5,0,3,12,josh-pierre-louis
11,Thu 2/3,vsUCI,L53-52,26,2-5,40.0,0-1,0.0,2-2,100.0,3,4,0,2,2,2,6,josh-pierre-louis
12,Sat 1/29,@HAW,L65-62,12,2-3,66.7,0-0,0.0,1-2,50.0,2,0,0,1,4,2,5,josh-pierre-louis
13,Tue 1/25,@CSUN,W72-45,20,1-1,100.0,0-0,0.0,0-0,0.0,3,3,0,0,3,3,2,josh-pierre-louis
14,Sat 1/15,@CSUF,L79-73,15,1-4,25.0,0-0,0.0,1-2,50.0,2,0,0,2,1,2,3,josh-pierre-louis
15,Thu 1/13,@LBSU,L65-58,21,2-3,66.7,0-0,0.0,1-2,50.0,4,1,0,1,3,5,5,josh-pierre-louis
16,Wed 12/22,vsIDST,W56-43,24,2-3,66.7,0-0,0.0,0-0,0.0,6,2,0,1,1,2,4,josh-pierre-louis
17,Sun 12/19,vsFAMU,W73-62,25,2-4,50.0,0-1,0.0,2-4,50.0,3,2,0,1,2,5,6,josh-pierre-louis
18,Tue 12/14,@PAC,L80-71 OT,37,7-10,70.0,0-2,0.0,0-2,0.0,4,4,0,0,4,2,14,josh-pierre-louis
19,Sat 12/11,@SMC,L80-59,23,4-7,57.1,1-1,100.0,0-0,0.0,3,1,0,1,1,1,9,josh-pierre-louis
20,Sun 12/5,vsCLU,W87-66,20,5-8,62.5,0-1,0.0,0-0,0.0,6,2,0,0,0,2,10,josh-pierre-louis
21,Fri 12/3,vsPEPP,W86-74,26,4-7,57.1,0-2,0.0,2-4,50.0,5,2,0,0,2,2,10,josh-pierre-louis
22,Mon 11/29,vsUTA,L70-62,34,3-6,50.0,0-0,0.0,1-3,33.3,11,4,0,2,1,3,7,josh-pierre-louis
23,Wed 11/24,vsUAPB,W86-58,23,4-8,50.0,0-2,0.0,0-2,0.0,3,2,0,2,1,3,8,josh-pierre-louis
24,Sat 11/20,vsCHIC,W81-50,27,3-6,50.0,0-1,0.0,1-2,50.0,3,6,0,1,3,2,7,josh-pierre-louis
25,Mon 11/15,@WSU,L73-65,29,1-7,14.3,0-0,0.0,1-2,50.0,4,2,0,0,2,1,3,josh-pierre-louis
26,Wed 11/10,vsSFSU,W119-65,23,9-11,81.8,0-1,0.0,7-12,58.3,8,4,0,1,0,2,25,josh-pierre-louis
27,Total,Total,Total,25.5,3.4-6.2,55.0,0.2-1.1,17.9,1.8-3.2,57.3,4.1,3.1,0.0,1.2,2.0,2.5,8.8,josh-pierre-louis
