,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Fri 3/11,vsLBSU,L67-64,30,6-14,42.9,3-6,50.0,0-0,0.0,7,1,1,0,2,0,15,miles-norris
1,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,miles-norris
2,Thu 3/10,vsUCI,W78-69,35,2-9,22.2,0-2,0.0,3-4,75.0,8,1,2,1,0,1,7,miles-norris
3,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,miles-norris
4,Thu 3/3,vsHAW,W67-60,37,6-12,50.0,0-5,0.0,0-0,0.0,7,2,1,2,1,2,12,miles-norris
5,Tue 3/1,vsCSUN,W70-61,32,1-7,14.3,0-4,0.0,2-2,100.0,8,2,2,2,0,1,4,miles-norris
6,Sat 2/26,@UCR,W97-90 2OT,45,0-6,0.0,0-2,0.0,0-0,0.0,2,2,0,3,2,0,0,miles-norris
7,Thu 2/24,@UCD,W76-69 OT,39,3-5,60.0,0-1,0.0,2-2,100.0,8,0,0,2,1,1,8,miles-norris
8,Sat 2/19,vsLBSU,W84-71,27,2-7,28.6,2-4,50.0,0-0,0.0,7,0,0,0,2,2,6,miles-norris
9,Thu 2/17,vsCSUF,L67-58,27,2-7,28.6,2-5,40.0,4-5,80.0,7,3,4,2,3,2,10,miles-norris
10,Sat 2/12,@CP,W69-64,33,3-5,60.0,2-2,100.0,0-0,0.0,5,2,1,0,1,3,8,miles-norris
11,Thu 2/10,@CSUB,W74-62,24,2-3,66.7,1-2,50.0,2-2,100.0,6,1,0,1,3,1,7,miles-norris
12,Sat 2/5,vsUCSD,W84-48,27,13-16,81.3,5-7,71.4,1-1,100.0,5,1,0,1,2,2,32,miles-norris
13,Thu 2/3,vsUCI,L53-52,33,2-7,28.6,1-6,16.7,3-3,100.0,2,2,0,1,2,1,8,miles-norris
14,Sat 1/29,@HAW,L65-62,36,2-8,25.0,1-4,25.0,2-2,100.0,6,1,0,1,2,3,7,miles-norris
15,Tue 1/25,@CSUN,W72-45,32,11-13,84.6,9-10,90.0,0-0,0.0,5,1,0,0,1,1,31,miles-norris
16,Sat 1/15,@CSUF,L79-73,20,4-8,50.0,3-6,50.0,0-0,0.0,3,1,0,0,5,1,11,miles-norris
17,Thu 1/13,@LBSU,L65-58,26,4-10,40.0,0-3,0.0,2-4,50.0,5,0,1,1,1,1,10,miles-norris
18,Thu 12/30,@UCSD,L85-83 OT,33,6-9,66.7,2-4,50.0,6-7,85.7,5,4,1,0,3,3,20,miles-norris
19,Wed 12/22,vsIDST,W56-43,32,2-6,33.3,1-3,33.3,0-0,0.0,3,2,0,0,1,1,5,miles-norris
20,Sun 12/19,vsFAMU,W73-62,32,4-10,40.0,0-2,0.0,2-2,100.0,7,0,0,0,1,3,10,miles-norris
21,Tue 12/14,@PAC,L80-71 OT,39,3-10,30.0,2-7,28.6,3-7,42.9,3,0,0,0,3,3,11,miles-norris
22,Sat 12/11,@SMC,L80-59,23,0-3,0.0,0-2,0.0,2-2,100.0,3,1,0,1,1,1,2,miles-norris
23,Sun 12/5,vsCLU,W87-66,19,2-2,100.0,0-0,0.0,2-2,100.0,6,1,1,1,0,3,6,miles-norris
24,Fri 12/3,vsPEPP,W86-74,22,4-9,44.4,0-2,0.0,5-8,62.5,9,1,0,2,4,2,13,miles-norris
25,Mon 11/29,vsUTA,L70-62,25,2-6,33.3,0-3,0.0,3-4,75.0,5,2,0,0,3,2,7,miles-norris
26,Wed 11/24,vsUAPB,W86-58,24,5-10,50.0,3-5,60.0,0-0,0.0,6,2,0,0,1,1,13,miles-norris
27,Sat 11/20,vsCHIC,W81-50,22,4-9,44.4,0-3,0.0,2-2,100.0,6,0,2,1,1,2,10,miles-norris
28,Mon 11/15,@WSU,L73-65,32,1-6,16.7,0-2,0.0,0-0,0.0,5,0,1,1,0,1,2,miles-norris
29,Wed 11/10,vsSFSU,W119-65,17,5-9,55.6,0-2,0.0,4-4,100.0,8,2,1,0,4,3,14,miles-norris
