,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Fri 3/11,vsLBSU,L67-64,12,3-4,75.0,0-0,0.0,0-1,0.0,2,0,1,1,1,1,6,robinson-idehen
1,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,robinson-idehen
2,Thu 3/10,vsUCI,W78-69,8,1-2,50.0,0-0,0.0,0-0,0.0,2,0,0,0,2,0,2,robinson-idehen
3,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,robinson-idehen
4,Thu 3/3,vsHAW,W67-60,9,3-4,75.0,0-0,0.0,2-2,100.0,1,0,0,0,2,0,8,robinson-idehen
5,Tue 3/1,vsCSUN,W70-61,18,0-0,0.0,0-0,0.0,0-0,0.0,3,0,0,0,0,2,0,robinson-idehen
6,Sat 2/26,@UCR,W97-90 2OT,11,3-4,75.0,0-0,0.0,0-2,0.0,2,0,0,0,3,0,6,robinson-idehen
7,Thu 2/24,@UCD,W76-69 OT,11,1-1,100.0,0-0,0.0,0-0,0.0,4,1,0,0,1,0,2,robinson-idehen
8,Sat 2/19,vsLBSU,W84-71,19,1-2,50.0,0-0,0.0,0-0,0.0,4,0,1,0,1,0,2,robinson-idehen
9,Thu 2/17,vsCSUF,L67-58,17,3-3,100.0,0-0,0.0,2-3,66.7,3,0,0,1,2,1,8,robinson-idehen
10,Sat 2/12,@CP,W69-64,11,0-0,0.0,0-0,0.0,1-2,50.0,1,0,0,0,5,1,1,robinson-idehen
11,Thu 2/10,@CSUB,W74-62,15,1-1,100.0,0-0,0.0,0-6,0.0,3,0,1,0,5,3,2,robinson-idehen
12,Sat 2/5,vsUCSD,W84-48,15,5-5,100.0,0-0,0.0,1-2,50.0,6,1,1,1,3,2,11,robinson-idehen
13,Thu 2/3,vsUCI,L53-52,9,0-2,0.0,0-0,0.0,0-0,0.0,2,0,0,0,0,0,0,robinson-idehen
14,Sat 1/29,@HAW,L65-62,8,2-3,66.7,0-0,0.0,0-0,0.0,0,0,0,0,4,2,4,robinson-idehen
15,Tue 1/25,@CSUN,W72-45,13,0-2,0.0,0-0,0.0,1-2,50.0,2,0,1,0,1,2,1,robinson-idehen
16,Sat 1/15,@CSUF,L79-73,21,4-6,66.7,0-0,0.0,1-2,50.0,5,1,1,0,3,2,9,robinson-idehen
17,Thu 1/13,@LBSU,L65-58,22,2-5,40.0,0-0,0.0,0-0,0.0,4,0,2,1,4,0,4,robinson-idehen
18,Wed 12/22,vsIDST,W56-43,17,3-5,60.0,0-0,0.0,1-2,50.0,2,1,1,0,1,1,7,robinson-idehen
19,Sun 12/19,vsFAMU,W73-62,17,3-5,60.0,0-0,0.0,2-5,40.0,3,0,0,0,1,0,8,robinson-idehen
20,Tue 12/14,@PAC,L80-71 OT,18,3-5,60.0,0-0,0.0,2-2,100.0,5,0,0,0,1,1,8,robinson-idehen
21,Sat 12/11,@SMC,L80-59,18,4-8,50.0,0-0,0.0,0-0,0.0,3,0,0,2,3,2,8,robinson-idehen
22,Sun 12/5,vsCLU,W87-66,16,3-6,50.0,0-0,0.0,0-0,0.0,7,0,2,0,1,1,6,robinson-idehen
23,Fri 12/3,vsPEPP,W86-74,21,3-4,75.0,0-0,0.0,2-3,66.7,5,0,2,0,1,0,8,robinson-idehen
24,Mon 11/29,vsUTA,L70-62,19,4-5,80.0,0-0,0.0,3-4,75.0,4,0,2,0,2,1,11,robinson-idehen
25,Wed 11/24,vsUAPB,W86-58,13,4-6,66.7,0-0,0.0,5-6,83.3,0,0,1,0,2,2,13,robinson-idehen
26,Sat 11/20,vsCHIC,W81-50,16,1-2,50.0,0-0,0.0,1-2,50.0,4,0,5,0,3,3,3,robinson-idehen
27,Mon 11/15,@WSU,L73-65,13,2-2,100.0,0-0,0.0,2-5,40.0,2,0,0,0,3,0,6,robinson-idehen
28,Wed 11/10,vsSFSU,W119-65,15,1-2,50.0,0-0,0.0,1-2,50.0,11,1,3,1,3,1,3,robinson-idehen
