,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Fri 3/11,vsLBSU,L67-64,12,1-2,50.0,0-1,0.0,0-0,0.0,1,4,0,0,3,0,2,sekou-toure
1,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,sekou-toure
2,Thu 3/10,vsUCI,W78-69,5,0-1,0.0,0-0,0.0,0-2,0.0,1,0,0,0,2,0,0,sekou-toure
3,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,sekou-toure
4,Thu 3/3,vsHAW,W67-60,2,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,sekou-toure
5,Tue 3/1,vsCSUN,W70-61,4,1-2,50.0,0-1,0.0,0-0,0.0,0,1,0,0,0,0,2,sekou-toure
6,Sat 2/26,@UCR,W97-90 2OT,11,1-1,100.0,0-0,0.0,0-0,0.0,1,0,0,1,0,2,2,sekou-toure
7,Thu 2/24,@UCD,W76-69 OT,4,0-1,0.0,0-0,0.0,2-2,100.0,4,0,0,0,0,0,2,sekou-toure
8,Sat 2/19,vsLBSU,W84-71,6,0-1,0.0,0-0,0.0,1-2,50.0,3,0,0,0,0,0,1,sekou-toure
9,Thu 2/17,vsCSUF,L67-58,7,0-2,0.0,0-2,0.0,0-0,0.0,1,0,0,0,1,0,0,sekou-toure
10,Sat 2/12,@CP,W69-64,8,0-0,0.0,0-0,0.0,0-0,0.0,0,0,1,2,1,2,0,sekou-toure
11,Thu 2/10,@CSUB,W74-62,15,1-2,50.0,0-0,0.0,0-0,0.0,1,1,0,0,4,1,2,sekou-toure
12,Sat 2/5,vsUCSD,W84-48,16,1-2,50.0,0-0,0.0,0-0,0.0,2,3,0,1,2,0,2,sekou-toure
13,Thu 2/3,vsUCI,L53-52,3,1-1,100.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,2,sekou-toure
14,Sat 1/29,@HAW,L65-62,14,0-2,0.0,0-1,0.0,0-0,0.0,4,1,0,1,0,0,0,sekou-toure
15,Tue 1/25,@CSUN,W72-45,14,1-3,33.3,0-1,0.0,0-2,0.0,3,1,0,0,2,0,2,sekou-toure
16,Sat 1/15,@CSUF,L79-73,16,2-3,66.7,1-2,50.0,0-0,0.0,2,2,0,0,1,1,5,sekou-toure
17,Thu 1/13,@LBSU,L65-58,20,1-1,100.0,0-0,0.0,3-4,75.0,2,0,0,0,3,0,5,sekou-toure
18,Thu 12/30,@UCSD,L85-83 OT,36,3-6,50.0,0-1,0.0,1-2,50.0,8,2,0,0,5,2,7,sekou-toure
19,Wed 12/22,vsIDST,W56-43,7,1-1,100.0,0-0,0.0,0-2,0.0,3,2,0,0,1,2,2,sekou-toure
20,Sun 12/19,vsFAMU,W73-62,13,4-5,80.0,0-1,0.0,2-3,66.7,7,0,0,0,1,0,10,sekou-toure
21,Tue 12/14,@PAC,L80-71 OT,4,0-0,0.0,0-0,0.0,0-0,0.0,2,0,0,0,1,1,0,sekou-toure
22,Sat 12/11,@SMC,L80-59,10,2-3,66.7,0-0,0.0,0-0,0.0,0,0,0,0,1,0,4,sekou-toure
23,Sun 12/5,vsCLU,W87-66,15,1-5,20.0,0-3,0.0,0-0,0.0,6,2,1,0,0,0,2,sekou-toure
24,Fri 12/3,vsPEPP,W86-74,7,0-1,0.0,0-0,0.0,2-2,100.0,2,0,0,0,1,1,2,sekou-toure
25,Mon 11/29,vsUTA,L70-62,3,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,sekou-toure
26,Wed 11/24,vsUAPB,W86-58,13,2-3,66.7,1-1,100.0,0-0,0.0,7,1,0,0,3,4,5,sekou-toure
27,Sat 11/20,vsCHIC,W81-50,11,0-1,0.0,0-1,0.0,3-4,75.0,4,0,0,1,0,0,3,sekou-toure
28,Mon 11/15,@WSU,L73-65,9,2-2,100.0,0-0,0.0,0-0,0.0,1,0,0,0,1,2,4,sekou-toure
29,Wed 11/10,vsSFSU,W119-65,18,2-5,40.0,0-0,0.0,0-2,0.0,4,3,0,0,4,2,4,sekou-toure
30,Total,Total,Total,10.8,1.0-2.0,48.2,0.1-0.5,13.3,0.5-1.0,51.9,2.5,0.8,0.1,0.2,1.3,0.7,2.5,sekou-toure
