,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Sun 2/14,vsUCF,W69-68,11,0-1,0.0,0-1,0.0,0-0,0.0,1,0,0,0,2,1,0,zach-harvey
1,Fri 2/12,vsTEM,W71-69,18,2-5,40.0,1-1,100.0,3-3,100.0,0,1,0,2,0,0,8,zach-harvey
2,Sun 1/10,@WICH,L82-76,26,7-10,70.0,4-4,100.0,1-3,33.3,3,1,0,1,3,2,19,zach-harvey
3,Thu 1/7,@SMU,W76-69,18,4-7,57.1,1-3,33.3,4-5,80.0,3,1,0,0,2,2,13,zach-harvey
4,Sat 1/2,vsTLSA,L70-66,19,3-6,50.0,1-2,50.0,1-3,33.3,1,0,0,1,3,0,8,zach-harvey
5,Tue 12/22,@UCF,L75-70,24,5-6,83.3,2-3,66.7,3-4,75.0,3,0,0,0,1,0,15,zach-harvey
6,Sat 12/19,@UGA,L83-68,14,1-6,16.7,0-2,0.0,0-1,0.0,0,0,0,1,5,2,2,zach-harvey
7,Wed 12/16,vsUSF,L74-71,15,1-2,50.0,1-2,50.0,0-0,0.0,0,2,0,0,2,1,3,zach-harvey
8,Sat 12/12,@12TENN,L65-56,21,1-4,25.0,0-3,0.0,0-0,0.0,1,2,0,0,2,0,2,zach-harvey
9,Wed 12/9,vsFUR,W78-73,11,0-1,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,1,0,zach-harvey
10,Sun 12/6,vsXAV,L77-69,4,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,zach-harvey
11,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,Skyline Chili Crosstown Shootout,zach-harvey
12,Wed 12/2,vsLIP,W67-55,15,3-6,50.0,1-3,33.3,0-0,0.0,2,1,0,0,0,0,7,zach-harvey
13,Total,Total,Total,16.3,2.3-4.5,50.0,0.9-2.0,45.8,1.0-1.6,63.2,1.2,0.7,0.0,0.4,1.7,0.8,6.4,zach-harvey
