,Player,height,position,team,mins,Personal Fouls Per 40,pfp40_percentile,Personal Fouls Drawn per 40,pfdp40_percentile
0,Justin McCall,78,F,bakersifield,710.6999999999998,3.09554,0.76,4.8403,0.85
1,Justin Edler-Davis,76,G,bakersifield,689.88,4.46454,0.1,2.66713,0.51
2,Kaleb Higgins,70,G,bakersifield,653.48,2.63206,0.65,3.91749,0.83
3,Shawn Stith,80,F,bakersifield,596.94,5.36067,0.22,6.03076,0.95
4,Cameron Smith,79,F,bakersifield,466.13,5.92109,0.15,4.03321,0.71
5,Dalph Panopio,73,G,bakersifield,411.22,3.30723,0.37,2.7236,0.52
6,Ivan Reynolds,76,G,bakersifield,362.47,3.64168,0.27,1.54496,0.16
7,David Walker,75,G,bakersifield,332.35,2.88852,0.53,3.4903,0.75
8,Grehlon Easter,75,G,bakersifield,302.31,4.63101,0.09,2.38166,0.41
9,Travis Henson,78,F,bakersifield,239.89,4.00183,0.53,2.50115,0.3
10,Brian Washington,78,F,bakersifield,209.89,6.47958,0.11,1.14346,0.04
11,Antavion Collum,79,F,bakersifield,180.74,6.63937,0.09,3.76231,0.65
0,Camren Pierce,70,G,calpoly,841.28,4.04146,0.17,4.56447,0.91
1,Trevon Taylor,78,G,calpoly,816.9499999999999,3.23153,0.4,2.79087,0.55
2,Alimamy Koroma,80,F,calpoly,747.63,4.5477,0.38,6.09927,0.96
3,Brantly Stevenson,76,F,calpoly,736.95,3.20239,0.74,3.09383,0.45
4,Kobe Sanders,78,G,calpoly,665.72,4.68666,0.08,3.36478,0.72
5,Julien Franklin,79,G,calpoly,610.3700000000002,3.86651,0.21,2.75243,0.53
6,Kyle Colvin,78,F,calpoly,530.8,1.58252,0.99,3.08968,0.45
7,Tuukka Jaakkola,82,F,calpoly,279.48,6.72678,0.09,5.15243,0.89
8,Jacob Davison,76,G,calpoly,189.46,2.32239,0.76,6.33379,0.99
9,Daniel Esparza,74,G,calpoly,103.88,3.46554,0.32,0.38506,0.01
10,Ajani Kennedy,81,F,calpoly,77.94,3.59251,0.63,1.53965,0.09
0,Atin Wright,73,G,csun,984.37,2.39747,0.74,4.02288,0.84
1,Elijah Hardy,74,G,csun,930.37,2.32166,0.76,2.10669,0.33
2,Christian Gray,78,F,csun,586.7799999999999,4.97631,0.29,4.70364,0.83
3,Onyi Eyisi,81,F,csun,585.9699999999999,5.05145,0.28,6.0754,0.96
4,Fidelis Okereke,78,F,csun,557.95,6.02204,0.14,5.09006,0.89
5,Darius Beane,75,G,csun,525.29,2.81749,0.56,2.3606,0.4
6,Kailen Rains,78,G,csun,493.28,3.08141,0.45,1.54071,0.16
7,Miles James,78,G,csun,472.35,5.58908,0.03,1.43961,0.14
8,Brendan Harrick,77,G,csun,457.54,2.71015,0.61,0.96166,0.05
9,Marcel Stevens,74,G,csun,244.44,4.25462,0.14,2.61823,0.49
10,Darius Brown II,74,G,csun,181.0,2.20994,0.8,2.43094,0.43
0,E.J. Anosike,79,F,fullerton,1047.06,3.09438,0.76,6.34157,0.97
1,Damari Milstead,74,G,fullerton,985.78,2.35347,0.75,3.28674,0.7
2,Vincent Lee,80,F,fullerton,864.7999999999998,2.82146,0.83,3.56152,0.59
3,Latrell Wrightsell Jr.,75,G,fullerton,833.08,1.92058,0.89,2.92889,0.59
4,Tray Maddox Jr.,76,G,fullerton,776.99,3.55217,0.3,2.83144,0.56
5,Tory San Antonio,75,G,fullerton,611.1299999999999,4.45077,0.11,3.20717,0.67
6,Jalen Harris,73,G,fullerton,528.8399999999999,3.93314,0.2,4.4626,0.9
7,Dante Maddox Jr.,74,G,fullerton,442.74,2.98143,0.49,3.25247,0.69
8,Ibrahim Famouke Doumbia,79,F,fullerton,140.04000000000002,5.14139,0.26,3.14196,0.46
9,Lado Laku,82,F,fullerton,117.2,8.19113,0.03,5.46075,0.92
0,Noel Coleman,73,G,hawaii,603.5500000000001,2.25333,0.79,3.51255,0.75
1,Jerome Desrosiers,79,F,hawaii,582.85,2.12748,0.95,2.74513,0.37
2,Junior Madut,78,G,hawaii,561.9599999999999,3.70133,0.25,3.63015,0.78
3,Jovon McClanahan,70,G,hawaii,520.9200000000001,3.30185,0.38,3.99294,0.84
4,Kamaka Hepa,82,F,hawaii,495.43,2.66435,0.87,2.74509,0.37
5,Bernardo Da Silva,81,F,hawaii,383.86,3.64716,0.61,4.27239,0.76
6,Amoro Lado,74,G,hawaii,265.26,2.41273,0.73,1.96034,0.28
7,Mate Colina,84,C,hawaii,251.39999999999995,6.68258,0.2,5.56881,0.9
8,Beon Riley,78,G,hawaii,139.25,6.03232,0.02,3.73429,0.8
0,Colin Slater,73,G,longbeach,1028.99,2.29351,0.77,3.80956,0.81
1,Joel Murray,71,G,longbeach,1027.25,2.02482,0.86,5.21781,0.96
2,Jadon Jones,77,G,longbeach,894.25,3.13112,0.44,2.28124,0.38
3,Aboubacar Traore,77,F,longbeach,726.97,4.95206,0.3,4.73197,0.84
4,Jordan Roberts,81,G,longbeach,714.35,3.91965,0.2,3.91965,0.83
5,Drew Cobb,76,G,longbeach,623.49,1.2831,0.98,2.5662,0.47
6,Romelle Mansel,81,F,longbeach,439.18,3.73423,0.59,3.09668,0.45
7,Joe Hampton,80,F,longbeach,296.11,7.02442,0.07,6.75425,0.98
8,Tobias Rotegaard,79,F,longbeach,281.56,4.26197,0.44,2.13098,0.21
9,Eddie Scott,78,G,longbeach,200.69,4.18556,0.15,2.79037,0.55
10,AJ Neal,73,G,longbeach,91.99,3.47864,0.32,6.08762,0.98
11,RJ Rhoden,75,G,longbeach,90.42,4.86618,0.07,3.98142,0.84
0,Elijah Pepper,75,G,ucdavis,815.5799999999999,2.69747,0.62,3.08983,0.64
1,Ezra Manjon,71,G,ucdavis,804.13,2.33793,0.76,3.87997,0.82
2,Kane Milling,76,G,ucdavis,667.95,1.85643,0.91,1.67677,0.2
