,Player,PTS,points/min,REB,rebounds/min,AST,assists/min,TO,turnovers/min,PF,fouls/min,BLK,blocks/min,STL,steals/min
0,ajare-sanni,224.0,0.38,59.0,0.1,64.0,0.11,31.0,0.05,41.0,0.07,0.0,0.0,23.0,0.04
1,ajay-mitchell,312.0,0.36,60.0,0.07,101.0,0.12,48.0,0.06,79.0,0.09,6.0,0.006928406466512702,22.0,0.03
2,amadou-sow,438.0,0.53,235.0,0.28,20.0,0.02,55.0,0.07,69.0,0.08,23.0,0.027644230769230768,21.0,0.03
3,ariel-bland,10.0,0.26,9.0,0.24,2.0,0.05,2.0,0.05,4.0,0.11,2.0,0.05263157894736842,0.0,0.0
4,calvin-wishart,182.0,0.25,75.0,0.11,72.0,0.1,42.0,0.06,60.0,0.08,4.0,0.0056022408963585435,30.0,0.04
5,cole-anderson,111.0,0.39,19.0,0.07,9.0,0.03,6.0,0.02,22.0,0.08,0.0,0.0,6.0,0.02
6,david-pickles,2.0,0.67,0.0,0.0,0.0,0.0,1.0,0.33,1.0,0.33,0.0,0.0,0.0,0.0
7,gage-gomez,3.0,0.27,3.0,0.27,2.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,jakov-kukic,22.0,0.61,11.0,0.31,5.0,0.14,6.0,0.17,3.0,0.08,0.0,0.0,1.0,0.03
9,jay-nagle,26.0,0.16,23.0,0.14,19.0,0.12,3.0,0.02,7.0,0.04,2.0,0.012195121951219513,4.0,0.02
10,josh-pierre-louis,228.0,0.34,107.0,0.16,81.0,0.12,66.0,0.1,52.0,0.08,1.0,0.0015105740181268882,32.0,0.05
11,max-sheldon,2.0,0.4,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,miles-norris,289.0,0.35,157.0,0.19,35.0,0.04,47.0,0.06,50.0,0.06,18.0,0.02187120291616039,23.0,0.03
13,robinson-idehen,147.0,0.37,90.0,0.22,5.0,0.01,28.0,0.07,58.0,0.14,24.0,0.05970149253731343,7.0,0.02
14,sekou-toure,70.0,0.23,69.0,0.23,23.0,0.08,20.0,0.07,37.0,0.12,2.0,0.006600660066006601,6.0,0.02
